Model,Holdout,bin,rows,fraud_rows,score_min,score_max,mean_score,observed_fraud_rate,abs_calibration_error
XGBoost[Raw all-history incumbent] Calibration Base,sampled,6,2007,0,1.520599653e-06,2.608013119e-06,2.008872137e-06,0.0,2.008872137e-06
XGBoost[Raw all-history incumbent] Calibration Base,sampled,7,2007,1,2.608182285e-06,4.760815045e-06,3.567821845e-06,0.000498256,0.000494688
XGBoost[Raw all-history incumbent] Calibration Base,sampled,8,2007,2,4.762590834e-06,1.023042478e-05,6.984356513e-06,0.000996512,0.000989528
XGBoost[Raw all-history incumbent] Calibration Base,sampled,9,2007,2,1.023180994e-05,3.240980732e-05,1.834899066e-05,0.000996512,0.000978163
XGBoost[Raw all-history incumbent] Calibration Base,sampled,10,2007,69,3.241391823e-05,0.999999523,0.030873986,0.034379671,0.003505685
XGBoost[Raw all-history incumbent] Calibration Base,full,1,5697,0,1.000000012e-07,1.000000012e-07,1.000000012e-07,0.0,1.000000012e-07
XGBoost[Raw all-history incumbent] Calibration Base,full,2,5697,0,1.000000012e-07,2.323207724e-07,1.543424646e-07,0.0,1.543424646e-07
XGBoost[Raw all-history incumbent] Calibration Base,full,3,5696,0,2.324320292e-07,4.726622649e-07,3.412055417e-07,0.0,3.412055417e-07
XGBoost[Raw all-history incumbent] Calibration Base,full,4,5696,0,4.727109797e-07,8.681143413e-07,6.533257988e-07,0.0,6.533257988e-07
XGBoost[Raw all-history incumbent] Calibration Base,full,5,5696,1,8.681358281e-07,1.511639539e-06,1.161036488e-06,0.000175562,0.000174401
XGBoost[Raw all-history incumbent] Calibration Base,full,6,5696,0,1.511705818e-06,2.602819904e-06,2.011579896e-06,0.0,2.011579896e-06
XGBoost[Raw all-history incumbent] Calibration Base,full,7,5696,1,2.602941777e-06,4.732261004e-06,3.54020963e-06,0.000175562,0.000172022
XGBoost[Raw all-history incumbent] Calibration Base,full,8,5696,2,4.732721663e-06,1.005279955e-05,6.909839883e-06,0.000351124,0.000344214
XGBoost[Raw all-history incumbent] Calibration Base,full,9,5696,2,1.005291324e-05,3.063378608e-05,1.758752224e-05,0.000351124,0.000333536
XGBoost[Raw all-history incumbent] Calibration Base,full,10,5696,69,3.063869735e-05,0.999999523,0.012862631,0.012113764,0.000748867
XGBoost[Raw all-history incumbent] Calibrated,sampled,1,2008,0,0.000254932,0.000254932,0.000254932,0.0,0.000254932
XGBoost[Raw all-history incumbent] Calibrated,sampled,2,2008,0,0.000254932,0.000254932,0.000254932,0.0,0.000254932
XGBoost[Raw all-history incumbent] Calibrated,sampled,3,2008,0,0.000254932,0.000254933,0.000254933,0.0,0.000254933
XGBoost[Raw all-history incumbent] Calibrated,sampled,4,2008,0,0.000254933,0.000254934,0.000254934,0.0,0.000254934
XGBoost[Raw all-history incumbent] Calibrated,sampled,5,2008,1,0.000254934,0.000254936,0.000254935,0.000498008,0.000243073
XGBoost[Raw all-history incumbent] Calibrated,sampled,6,2007,0,0.000254936,0.00025494,0.000254938,0.0,0.000254938
XGBoost[Raw all-history incumbent] Calibrated,sampled,7,2007,1,0.00025494,0.000254946,0.000254942,0.000498256,0.000243314
XGBoost[Raw all-history incumbent] Calibrated,sampled,8,2007,2,0.000254946,0.000254962,0.000254953,0.000996512,0.00074156
XGBoost[Raw all-history incumbent] Calibrated,sampled,9,2007,2,0.000254962,0.000255029,0.000254987,0.000996512,0.000741526
XGBoost[Raw all-history incumbent] Calibrated,sampled,10,2007,69,0.000255029,0.969217648,0.028694999,0.034379671,0.005684672
XGBoost[Raw all-history incumbent] Calibrated,full,1,5697,0,0.000254932,0.000254932,0.000254932,0.0,0.000254932
XGBoost[Raw all-history incumbent] Calibrated,full,2,5697,0,0.000254932,0.000254932,0.000254932,0.0,0.000254932
XGBoost[Raw all-history incumbent] Calibrated,full,3,5696,0,0.000254932,0.000254933,0.000254933,0.0,0.000254933
XGBoost[Raw all-history incumbent] Calibrated,full,4,5696,0,0.000254933,0.000254934,0.000254934,0.0,0.000254934
XGBoost[Raw all-history incumbent] Calibrated,full,5,5696,1,0.000254934,0.000254936,0.000254935,0.000175562,7.937340404e-05
XGBoost[Raw all-history incumbent] Calibrated,full,6,5696,0,0.000254936,0.00025494,0.000254938,0.0,0.000254938
XGBoost[Raw all-history incumbent] Calibrated,full,7,5696,1,0.00025494,0.000254946,0.000254942,0.000175562,7.938051324e-05
XGBoost[Raw all-history incumbent] Calibrated,full,8,5696,2,0.000254946,0.000254962,0.000254952,0.000351124,9.617121538e-05
XGBoost[Raw all-history incumbent] Calibrated,full,9,5696,2,0.000254962,0.000255023,0.000254984,0.000351124,9.613930525e-05
XGBoost[Raw all-history incumbent] Calibrated,full,10,5696,69,0.000255023,0.969217648,0.010994991,0.012113764,0.001118773
XGBoost[Raw],sampled,1,2008,0,1.000000012e-07,5.716148621e-07,3.627365072e-07,0.0,3.627365072e-07
