Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Holdout,Rows,Fraud Rate,Average Precision,Top 0.5% Alerts,Top 0.5% Precision,Top 0.5% Recall,Top 1% Alerts,Top 1% Precision,Top 1% Recall,CV/Validation Average Precision,ROC AUC,Log Loss,Brier Score,ECE Quantile 10,Shared Feature Prep Seconds,Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,full,56962,0.001316667251852112,0.789220635068822,285,0.21052631578947367,0.8,570,0.11228070175438597,0.8533333333333334,0.7894373196063951,0.9756408318244942,0.002684902602357774,0.0004075344773043701,0.00016092442478744047,373.1913336930006,373.1913336930006,450.30940547299997,0.0,0.8991120679997948,451.20851754099976,824.3998512340004,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN embeddings,TabPFN,sigmoid,full,56962,0.001316667251852112,0.789220635068822,285,0.21052631578947367,0.8,570,0.11228070175438597,0.8533333333333334,0.7894373196063951,0.9756408318244942,0.0033398827899559307,0.0004348657445008446,0.0005007592777120502,373.1913336930006,373.1913336930006,446.0188040380003,6.447253043999808,4.276961726000081,456.7430188080002,829.9343525010008,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
Dummy[Raw],Dummy,baseline,Raw,none,none,full,56962,0.001316667251852112,0.001316667251852112,285,0.0,0.0,570,0.0,0.0,,0.5,0.010063268088758511,0.0013149755956403425,0.0006378450124646141,0.0,0.0,0.07453697200026,0.0,0.22193848300003083,0.2964754550002908,0.2964754550002908,simple baseline fit on pre-holdout data,,
XGBoost[Raw all-history incumbent],XGBoost,classical_incumbent,Raw all-history incumbent,none,none,sampled,20075,0.0037359900373599006,0.8410975016873178,101,0.6237623762376238,0.84,201,0.31840796019900497,0.8533333333333334,0.7973692502289911,0.9832693333333333,0.0071464387856478165,0.0009870668920327974,0.0006675599662826423,0.0,0.0,166.30526136200024,0.0,0.08660408000014286,166.39186544200038,166.39186544200038,raw all-history rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw],XGBoost,classical,Raw,none,none,sampled,20075,0.0037359900373599006,0.8363659680371082,101,0.6138613861386139,0.8266666666666667,201,0.32338308457711445,0.8666666666666667,0.7796175963564582,0.984614,0.007561353500814062,0.0010704935006588907,0.0008771123091767412,0.0,0.0,139.0876122359996,0.0,0.08146689200020774,139.1690791279998,139.1690791279998,rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw + TabICL embeddings],XGBoost,classical,Raw + TabICL embeddings,TabICL,none,sampled,20075,0.0037359900373599006,0.8356543009762871,101,0.6039603960396039,0.8133333333333334,201,0.3283582089552239,0.88,0.7781695469540795,0.9811799999999999,0.005862658125371497,0.0010791982623136577,0.00027870058933442555,120.34909247299947,120.34909247299947,1011.6274721140003,0.0,0.7796814499997708,1012.407153564,1132.7562460369995,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,sampled,20075,0.0037359900373599006,0.8336632243180151,101,0.6039603960396039,0.8133333333333334,201,0.31840796019900497,0.8533333333333334,0.7973692502289911,0.9763553333333335,0.007638899653842412,0.001014986892189221,0.0006466811081760464,0.0,0.0,166.1238528050003,0.0,0.08225758299977315,166.20611038800007,166.20611038800007,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,sampled,20075,0.0037359900373599006,0.8336632243180151,101,0.6039603960396039,0.8133333333333334,201,0.31840796019900497,0.8533333333333334,0.7973692502289911,0.9763553333333334,0.008023192050261573,0.0009961224525434165,0.000892721728282304,0.0,0.0,164.20000373100038,2.238876770999923,0.24395372800017867,166.68283423000048,166.68283423000048,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,sampled,20075,0.0037359900373599006,0.8321825643252709,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7796175963564582,0.9782513333333334,0.007662048128082494,0.0010257005694546714,0.0008429767249418107,0.0,0.0,138.93387066499963,0.0,0.08129632700001821,139.01516699199965,139.01516699199965,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,sampled,20075,0.0037359900373599006,0.8321825643252709,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7796175963564582,0.9782513333333334,0.008341978107063212,0.0010729639285677627,0.0009680715353773718,0.0,0.0,137.25098695899987,2.012090084999727,0.23756052799990357,139.5006375719995,139.5006375719995,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,sampled,20075,0.0037359900373599006,0.8271764408134238,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7781695469540795,0.9730226666666668,0.006526973765860954,0.0010656210955359395,0.00035471601472273056,120.34909247299947,120.34909247299947,1011.2789577409999,0.0,1.0972157999995034,1012.3761735409994,1132.7252660139989,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,sampled,20075,0.0037359900373599006,0.8271764408134238,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7781695469540795,0.9730226666666668,0.008066813281256038,0.001139845488317593,0.0008396145772631154,120.34909247299947,120.34909247299947,1008.6306710909998,7.493950478000443,3.9072470190003514,1020.0318685880006,1140.380961061,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabPFN embeddings],XGBoost,classical,Raw + TabPFN embeddings,TabPFN,none,sampled,20075,0.0037359900373599006,0.8166084941770183,101,0.5841584158415841,0.7866666666666666,201,0.30845771144278605,0.8266666666666667,0.7894373196063951,0.9861646666666667,0.006610661447941754,0.0010535933261591876,0.0009542030499976959,373.1913336930006,373.1913336930006,451.23864132000017,0.0,0.33983209400003034,451.5784734140002,824.7698071070008,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,sampled,20075,0.0037359900373599006,0.8164230273437934,101,0.5841584158415841,0.7866666666666666,201,0.31343283582089554,0.84,0.7894373196063951,0.9758593333333333,0.007047973357785682,0.0011169521439438142,0.0009723374031553063,373.1913336930006,373.1913336930006,450.30940547299997,0.0,0.34775375199978953,450.65715922499976,823.8484929180004,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN embeddings,TabPFN,sigmoid,sampled,20075,0.0037359900373599006,0.8164230273437934,101,0.5841584158415841,0.7866666666666666,201,0.31343283582089554,0.84,0.7894373196063951,0.9758593333333333,0.008931937448887173,0.0012328910981108784,0.0012617224102146958,373.1913336930006,373.1913336930006,446.0188040380003,6.447253043999808,1.4978345760000593,453.9638916580002,827.1552253510008,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
Dummy[Raw],Dummy,baseline,Raw,none,none,sampled,20075,0.0037359900373599006,0.0037359900373599006,101,0.0,0.0,201,0.0,0.0,,0.5,0.025756292319067203,0.003726936382081723,0.0023194614726737943,0.0,0.0,0.07453697200026,0.0,0.08392878399990877,0.15846575600016877,0.15846575600016877,simple baseline fit on pre-holdout data,,
