Base Model,Calibration,Holdout,"('Average Precision', 'Raw')","('Average Precision', 'Raw + TabICL embeddings')","('Average Precision', 'Raw + TabPFN embeddings')","('Average Precision', 'Raw all-history incumbent')","('Top 1% Recall', 'Raw')","('Top 1% Recall', 'Raw + TabICL embeddings')","('Top 1% Recall', 'Raw + TabPFN embeddings')","('Top 1% Recall', 'Raw all-history incumbent')","('Brier Score', 'Raw')","('Brier Score', 'Raw + TabICL embeddings')","('Brier Score', 'Raw + TabPFN embeddings')","('Brier Score', 'Raw all-history incumbent')","('Workflow Seconds', 'Raw')","('Workflow Seconds', 'Raw + TabICL embeddings')","('Workflow Seconds', 'Raw + TabPFN embeddings')","('Workflow Seconds', 'Raw all-history incumbent')"
XGBoost,none,full,0.803442885,0.797029114,0.790861299,0.809653671,0.866666667,0.906666667,0.84,0.853333333,0.00040268,0.00045125,0.000380732,0.000424308,139.2481241,1134.148,825.341377,166.4774661
XGBoost,none,sampled,0.836365968,0.835654301,0.816608494,0.841097502,0.866666667,0.88,0.826666667,0.853333333,0.001070494,0.001079198,0.001053593,0.000987067,139.1690791,1132.756246,824.7698071,166.3918654
XGBoost,none_calibration_base,full,0.804719418,0.797778401,0.789220635,0.799657157,0.853333333,0.853333333,0.853333333,0.866666667,0.000396216,0.00044533,0.000407534,0.000447377,139.0929496,1133.785086,824.3998512,166.2776957
XGBoost,none_calibration_base,sampled,0.832182564,0.827176441,0.816423027,0.833663224,0.853333333,0.853333333,0.84,0.853333333,0.001025701,0.001065621,0.001116952,0.001014987,139.015167,1132.725266,823.8484929,166.2061104
XGBoost,sigmoid,full,0.804719418,0.797778401,0.789220635,0.799657157,0.853333333,0.853333333,0.853333333,0.866666667,0.000421954,0.000430493,0.000434866,0.000407216,139.8995143,1147.203436,829.9343525,167.074461
XGBoost,sigmoid,sampled,0.832182564,0.827176441,0.816423027,0.833663224,0.853333333,0.853333333,0.84,0.853333333,0.001072964,0.001139845,0.001232891,0.000996122,139.5006376,1140.380961,827.1552254,166.6828342
