Base Model,Feature Set,CV/Validation Average Precision,Best Params
XGBoost,Raw all-history incumbent,0.7973692502289911,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}"
XGBoost,Raw,0.7796175963564582,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}"
XGBoost,Raw + TabICL embeddings,0.7781695469540795,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}"
XGBoost,Raw + TabPFN embeddings,0.7894373196063951,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}"
