Model,Base Model,Feature Set,Calibration,Evaluation Window,Average Precision,ROC AUC,Brier Score,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Workflow Seconds
Rule[VIX z-score 252d],Rule,vix_zscore_252d,none,calibration,0.46202578071757716,0.7464833759590793,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,Raw all-history incumbent,none_calibration_base,calibration,0.4177810628028046,0.7094674826452321,0.19917599968621874,0.0,1611.1298367120003,0.0,0.009939626999994289,1611.1397763390003
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,Raw all-history incumbent,sigmoid,calibration,0.4177810628028046,0.7094674826452321,0.1666666080717152,0.0,1611.1298367120003,0.03115442799980883,0.004326531500055353,1611.1653176715001
Rule[VIX close],Rule,vix_close,none,calibration,0.3921756666260079,0.6403452685421994,,0.0,0.0,0.0,0.0,0.0
TabPFN[Direct all-history] Calibration Base,TabPFN,Raw all-history direct TFM context,none_calibration_base,calibration,0.3575732441972244,0.648303343076361,0.1928178111436634,0.0,8.305410435999875,0.0,36.462216192500364,44.76762662850024
TabICL[Direct all-history] Calibration Base,TabICL,Raw all-history direct TFM context,none_calibration_base,calibration,0.31938703221375014,0.5849241870661308,0.18622411950774864,0.0,3.825349605000156,0.0,18.531539414000235,22.35688901900039
Rule[SPY Parkinson realized volatility 20d],Rule,spy_parkinson_rv_20d,none,calibration,0.2958223095144873,0.5990363536719036,,0.0,0.0,0.0,0.0,0.0
Rule[SPY Garman-Klass realized volatility 20d],Rule,spy_garman_klass_rv_20d,none,calibration,0.29461235447456363,0.5869336865180855,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,Raw + TabPFN embeddings,none_calibration_base,calibration,0.2943878849123399,0.49584398976982097,0.21302585484775918,101.28040664399998,528.4156924630001,0.0,0.042273774499790306,629.7383728814999
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,Raw + TabPFN embeddings,sigmoid,calibration,0.2943878849123399,0.49584398976982097,0.17229432520253954,101.28040664399998,528.4156924630001,0.05141845399975864,0.011089319499888006,629.7586068804998
Rule[VIX/realized volatility gap 20d],Rule,vix_minus_spy_rv_20d,none,calibration,0.28944324122435594,0.517446108878334,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,Raw + TabICL embeddings,none_calibration_base,calibration,0.2842949434574026,0.5524068322981367,0.22292687913285483,74.64631477300009,684.3802502429994,0.0,0.03310940199980905,759.0596744179993
Rule[SPY realized volatility 20d],Rule,spy_rv_20d,none,calibration,0.26482223621086415,0.5642583120204604,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,Raw + TabICL embeddings,sigmoid,calibration,0.2405043608386423,0.4475931677018634,0.17292945405511984,74.64631477300009,684.3802502429994,0.04377455700068822,0.008902631000182737,759.0792422040004
XGBoost[Raw] Calibration Base,XGBoost,Raw,none_calibration_base,calibration,0.2274746375075391,0.4442363902082572,0.21883003831447667,0.0,383.0419691410002,0.0,0.025033104999920397,383.06700224600013
XGBoost[Raw] Calibrated,XGBoost,Raw,sigmoid,calibration,0.2274746375075391,0.4442363902082572,0.17282342649902555,0.0,383.0419691410002,0.04212694099987857,0.0077798840000014025,383.0918759660001
TabICL[Direct all-history] Calibration Base,TabICL,Raw all-history direct TFM context,none_calibration_base,holdout,0.6904934043344477,0.8549509103689091,0.11783995866260294,0.0,3.825349605000156,0.0,18.531539414000235,22.35688901900039
TabPFN[Direct all-history],TabPFN,Raw all-history direct TFM context,none,holdout,0.6635733606425451,0.83015214384509,0.12330870241809196,0.0,9.818754949000322,0.0,47.299650824999844,57.118405774000166
TabPFN[Direct all-history] Calibration Base,TabPFN,Raw all-history direct TFM context,none_calibration_base,holdout,0.6502674760328623,0.8217026052649479,0.13018811458648602,0.0,8.305410435999875,0.0,36.462216192500364,44.76762662850024
Rule[VIX close],Rule,vix_close,none,holdout,0.6326031416335401,0.8324388363603383,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,Raw all-history incumbent,none_calibration_base,holdout,0.6296068001275589,0.8219338820488402,0.13876653320343638,0.0,1611.1298367120003,0.0,0.009939626999994289,1611.1397763390003
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,Raw all-history incumbent,sigmoid,holdout,0.6296068001275589,0.8219338820488402,0.14052849192832267,0.0,1611.1298367120003,0.03115442799980883,0.004326531500055353,1611.1653176715001
Rule[SPY Parkinson realized volatility 20d],Rule,spy_parkinson_rv_20d,none,holdout,0.6278017233190802,0.8137360270276399,,0.0,0.0,0.0,0.0,0.0
TabICL[Direct all-history],TabICL,Raw all-history direct TFM context,none,holdout,0.6270072532356344,0.8103314967235788,0.13131377460719884,0.0,3.987189717999172,0.0,22.491090751999764,26.478280469998936
Rule[SPY Garman-Klass realized volatility 20d],Rule,spy_garman_klass_rv_20d,none,holdout,0.6230972653715359,0.8022515475137746,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw all-history incumbent],XGBoost,Raw all-history incumbent,none,holdout,0.6129948367240888,0.8121601705099426,0.13200418393679322,0.0,1611.4324676310002,0.0,0.016856982000263088,1611.4493246130005
Rule[SPY realized volatility 20d],Rule,spy_rv_20d,none,holdout,0.6014824651490764,0.80925333877514,,0.0,0.0,0.0,0.0,0.0
Rule[VIX z-score 252d],Rule,vix_zscore_252d,none,holdout,0.5991737949244991,0.8428383556674148,,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw + TabICL embeddings],XGBoost,Raw + TabICL embeddings,none,holdout,0.5435969158265281,0.7508536834228965,0.16517907876226473,74.64631477300009,686.0600286939994,0.0,0.05736644499938848,760.7637099119988
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,Raw + TabICL embeddings,none_calibration_base,holdout,0.542664577831093,0.7213885676711335,0.17562467019218025,74.64631477300009,684.3802502429994,0.0,0.03310940199980905,759.0596744179993
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,Raw + TabPFN embeddings,none_calibration_base,holdout,0.5338359697932431,0.7463868671065461,0.1593978330121133,101.28040664399998,528.4156924630001,0.0,0.042273774499790306,629.7383728814999
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,Raw + TabPFN embeddings,sigmoid,holdout,0.5338359697932431,0.7463868671065461,0.1549761473201019,101.28040664399998,528.4156924630001,0.05141845399975864,0.011089319499888006,629.7586068804998
XGBoost[Raw + TabPFN embeddings],XGBoost,Raw + TabPFN embeddings,none,holdout,0.5313075447156105,0.7458041403079155,0.156378499332305,101.28040664399998,536.0414034310006,0.0,0.07309415700001409,637.3949042320006
XGBoost[Raw],XGBoost,Raw,none,holdout,0.4559989845081834,0.7320975897331247,0.16979905685492236,0.0,386.7928802720003,0.0,0.04128092300015851,386.83416119500043
XGBoost[Raw] Calibration Base,XGBoost,Raw,none_calibration_base,holdout,0.45349622226543274,0.714482008026665,0.17377512846289891,0.0,383.0419691410002,0.0,0.025033104999920397,383.06700224600013
XGBoost[Raw] Calibrated,XGBoost,Raw,sigmoid,holdout,0.45349622226543274,0.714482008026665,0.16232572098971498,0.0,383.0419691410002,0.04212694099987857,0.0077798840000014025,383.0918759660001
Rule[VIX/realized volatility gap 20d],Rule,vix_minus_spy_rv_20d,none,holdout,0.2348011834528706,0.42451307167312885,,0.0,0.0,0.0,0.0,0.0
Dummy[Prior probability],Dummy,Raw,none,holdout,0.23297262889879058,0.5,0.17958065740630574,0.0,0.0,0.0,0.0,0.0
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,Raw + TabICL embeddings,sigmoid,holdout,0.15648505063466964,0.27861143232886654,0.20826990969818154,74.64631477300009,684.3802502429994,0.04377455700068822,0.008902631000182737,759.0792422040004
