date,Buy and hold SPY,Rule[SPY Garman-Klass realized volatility 20d],Rule[SPY Parkinson realized volatility 20d],Rule[SPY realized volatility 20d],Rule[VIX close],Rule[VIX z-score 252d],Rule[VIX/realized volatility gap 20d],TabICL[Direct all-history] Calibration Base,TabPFN[Direct all-history] Calibration Base,XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost[Raw all-history incumbent] Calibrated,XGBoost[Raw all-history incumbent] Calibration Base,XGBoost[Raw] Calibrated,XGBoost[Raw] Calibration Base
2020-01-02,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084,0.9924274546579084
2020-01-03,0.9962137787246929,0.9962137787246929,0.9962137787246929,0.9962137787246929,0.9962137787246929,0.9962137787246929,0.9942709953185677,0.9962137787246929,0.9962137787246929,0.9962137787246929,0.9962137787246929,0.9962137787246929,0.9962137787246929,0.9942709953185677,0.9942709953185677,0.9962137787246929,0.9962137787246929
2020-01-06,0.9934126081764658,0.9934126081764658,0.9934126081764658,0.9934126081764658,0.9934126081764658,0.9934126081764658,0.9928731414198753,0.9934126081764658,0.9934126081764658,0.9934126081764658,0.9947633827616431,0.9947633827616431,0.9947633827616431,0.9928731414198753,0.9928731414198753,0.9934126081764658,0.9934126081764658
2020-01-07,0.9987073971728027,0.9987073971728027,0.9987073971728027,0.9987073971728027,0.9987073971728027,0.9987073971728027,0.9955190982663454,0.9987073971728027,0.9987073971728027,0.9987073971728027,1.0000156330811285,1.0000156330811285,1.0000156330811285,0.9955190982663454,0.9955190982663454,0.9987073971728027,0.9987073971728027
2020-01-08,1.005479094115157,1.005479094115157,1.005479094115157,1.005479094115157,1.005479094115157,1.005479094115157,0.9988941376687117,1.005479094115157,1.005479094115157,1.005479094115157,1.006796200466543,1.006796200466543,1.006796200466543,1.0022194011161645,1.0022194011161645,1.005479094115157,1.005479094115157
2020-01-09,1.0025856168203038,1.0025856168203038,1.0025856168203038,1.0025856168203038,1.0025856168203038,1.0025856168203038,0.9959696652623241,1.0025856168203038,1.0025856168203038,1.0025856168203038,1.0038989329215047,1.0038989329215047,1.0038989329215047,0.9993353042726165,0.9993353042726165,1.0025856168203038,1.0025856168203038
2020-01-10,1.0094805607439552,1.0094805607439552,1.0094805607439552,1.0094805607439552,1.0094805607439552,1.0094805607439552,1.0028191102138893,1.0094805607439552,1.0094805607439552,1.0094805607439552,1.0108029087330266,1.0108029087330266,1.0108029087330266,1.0027216330059048,1.0027216330059048,1.0094805607439552,1.0094805607439552
2020-01-13,1.007941566745641,1.007941566745641,1.007941566745641,1.007941566745641,1.007941566745641,1.007941566745641,1.0012902718666936,1.007941566745641,1.007941566745641,1.007941566745641,1.0092618987616488,1.0092618987616488,1.0092618987616488,1.0011428071850104,1.0011428071850104,1.007941566745641,1.007941566745641
2020-01-14,1.0102195286743503,1.0102195286743503,1.0102195286743503,1.0102195286743503,1.0102195286743503,1.0102195286743503,1.0035532017766722,1.0102195286743503,1.0102195286743503,1.0102195286743503,1.0115428446590375,1.0115428446590375,1.0115428446590375,1.0022240483635267,1.0022240483635267,1.0102195286743503,1.0102195286743503
2020-01-15,1.0186228347360768,1.0186228347360768,1.0186228347360768,1.0186228347360768,1.0186228347360768,1.0186228347360768,1.0119010553514505,1.0186228347360768,1.0186228347360768,1.0186228347360768,1.0199571584561327,1.0199571584561327,1.0199571584561327,1.0063924470044998,1.0063924470044998,1.0186228347360768,1.0186228347360768
2020-01-16,1.021793129479331,1.021793129479331,1.021793129479331,1.021793129479331,1.021793129479331,1.021793129479331,1.0150504296704597,1.021793129479331,1.021793129479331,1.021793129479331,1.0231316060608104,1.0231316060608104,1.0231316060608104,1.0094743570706934,1.0094743570706934,1.021793129479331,1.021793129479331
2020-01-17,1.0197920877905,1.0197920877905,1.0197920877905,1.0197920877905,1.0197920877905,1.0197920877905,1.0130625926343353,1.0197920877905,1.0197920877905,1.0197920877905,1.021127943149188,1.021127943149188,1.021127943149188,1.0074974400079082,1.0074974400079082,1.0197920877905,1.0197920877905
2020-01-21,1.0199156431462288,1.0199156431462288,1.0199156431462288,1.0199156431462288,1.0199156431462288,1.0199156431462288,1.013185332661942,1.0199156431462288,1.0199156431462288,1.0199156431462288,1.021251660353676,1.021251660353676,1.021251660353676,1.0075080980200057,1.0075080980200057,1.0199156431462288,1.0199156431462288
2020-01-22,1.021085204575084,1.021085204575084,1.021085204575084,1.021085204575084,1.021085204575084,1.021085204575084,1.01434717628433,1.020449428078499,1.021085204575084,1.021085204575084,1.022422753825112,1.022422753825112,1.022422753825112,1.0086130560180402,1.0086130560180402,1.021085204575084,1.021085204575084
2020-01-23,1.0120050166352585,1.0120050166352585,1.0120050166352585,1.0120050166352585,1.0120050166352585,1.0120050166352585,1.0053269075000753,1.015912160988288,1.0120050166352585,1.0120050166352585,1.013330671482631,1.013330671482631,1.013330671482631,0.9996437789526491,0.9996437789526491,1.0120050166352585,1.0120050166352585
2020-01-24,0.9957828768518011,0.9957828768518011,0.9957828768518011,0.9957828768518011,0.9957828768518011,0.9957828768518011,0.9972190953157674,1.0077697759149113,0.9957828768518011,0.9957828768518011,0.9970872818457782,0.9970872818457782,0.9970872818457782,0.9915818003559415,0.9915818003559415,0.9957828768518011,0.9957828768518011
2020-01-27,1.0062177536711203,1.0062177536711203,1.0062177536711203,1.0062177536711203,1.0062177536711203,1.0009505261176181,1.0024440588411452,1.0130500200918104,1.0062177536711203,1.0062177536711203,1.0075358276141737,1.0075358276141737,1.0075358276141737,1.001923074717537,1.001923074717537,1.0062177536711203,1.0062177536711203
2020-01-28,1.0053865817855763,1.0053865817855763,1.0053865817855763,1.0053865817855763,1.0053865817855763,1.0000736576242857,1.0015658819596809,1.0126316123007144,1.0053865817855763,1.0053865817855763,1.0067035669523676,1.0067035669523676,1.0067035669523676,1.0010954503905511,1.0010954503905511,1.0053865817855763,1.0053865817855763
2020-01-29,1.0086494916498883,1.0086494916498883,1.0086494916498883,1.0086494916498883,1.0086494916498883,1.0033193247752292,1.0048163920174147,1.0142748238456814,1.0086494916498883,1.0086494916498883,1.009970750997348,1.009970750997348,1.009970750997348,1.004344433696451,1.004344433696451,1.0086494916498883,1.0086494916498883
2020-01-30,0.9903345173883602,0.9903345173883602,0.9903345173883602,0.9903345173883602,0.9903345173883602,0.9851011352441027,0.9865710188628042,1.0050662645559407,0.9903345173883602,0.9903345173883602,0.991631785417585,0.991631785417585,0.991631785417585,0.9861076303220987,0.9861076303220987,0.9903345173883602,0.9903345173883602
2020-01-31,0.9976915090025288,0.9976915090025288,0.9976915090025288,0.9976915090025288,0.9976915090025288,0.9887109371341846,0.9901862069903749,1.0087994799241788,0.9976915090025288,0.9976915090025288,0.9952655182041974,0.9989984141693518,0.9989984141693518,0.9934332212608848,0.9934332212608848,0.9976915090025288,0.9976915090025288
2020-02-03,1.0128971438668488,1.0128971438668488,1.0128971438668488,1.0128971438668488,1.0128971438668488,0.9962453189349543,1.0052279456011735,1.0164869446387874,1.0128971438668488,1.0128971438668488,1.002849848594055,1.0142239673376663,1.0142239673376663,1.0085739563360792,1.0085739563360792,1.0128971438668488,1.0128971438668488
2020-02-04,1.024594505610513,1.024594505610513,1.024594505610513,1.024594505610513,1.024594505610513,1.0077005661427916,1.0168367402213734,1.0281749385626384,1.024594505610513,1.024594505610513,1.014381037458529,1.0259366517961808,1.0259366517961808,1.020221392093932,1.020221392093932,1.024594505610513,1.024594505610513
2020-02-05,1.0280418233851227,1.0280418233851227,1.0280418233851227,1.0280418233851227,1.0280418233851227,1.01109104311112,1.0202579564676508,1.0316343029469939,1.0280418233851227,1.0280418233851227,1.0177939913261413,1.0293884853127515,1.0293884853127515,1.0236539962312212,1.0236539962312212,1.0280418233851227,1.0280418233851227
2020-02-06,1.0225630376443977,1.0225630376443977,1.0225630376443977,1.0225630376443977,1.0225630376443977,1.0057025938636648,1.0148206536103115,1.0261363716565939,1.0225630376443977,1.0225630376443977,1.0123698197799762,1.0239025227510072,1.0239025227510072,1.0181985947189358,1.0181985947189358,1.0225630376443977,1.0225630376443977
2020-02-07,1.0301965383325353,1.0301965383325353,1.0301965383325353,1.0301965383325353,1.0301965383325353,1.0132102302241623,1.022396356889706,1.0337965475194022,1.0301965383325353,1.0301965383325353,1.0199272274227777,1.0315460227840327,1.0315460227840327,1.0257995145520566,1.0257995145520566,1.0301965383325353,1.0301965383325353
2020-02-10,1.0319820262934434,1.0319820262934434,1.0319820262934434,1.0319820262934434,1.0319820262934434,1.0149662783185018,1.0241683259447152,1.0355882748461236,1.0319820262934434,1.0319820262934434,1.0216949170992673,1.0333338496076256,1.0333338496076256,1.0275773817991185,1.0275773817991185,1.0319820262934434,1.0319820262934434
2020-02-11,1.0386307846289327,1.0386307846289327,1.0386307846289327,1.0386307846289327,1.0386307846289327,1.0215054091669802,1.0307667428944043,1.042260267186192,1.0386307846289327,1.0386307846289327,1.0282773985992495,1.039991317345313,1.039991317345313,1.0341977622985115,1.0341977622985115,1.0386307846289327,1.0386307846289327
2020-02-12,1.0375224869205555,1.0375224869205555,1.0375224869205555,1.0375224869205555,1.0375224869205555,1.0204153855312192,1.0296668367141448,1.041148096545046,1.0375224869205555,1.0375224869205555,1.0271801487378844,1.038881567845487,1.038881567845487,1.033094194960698,1.033094194960698,1.0375224869205555,1.0375224869205555
2020-02-13,1.0391847279001665,1.0391847279001665,1.0391847279001665,1.0391847279001665,1.0391847279001665,1.0220502187916432,1.0313164919581606,1.0428161462054035,1.0391847279001665,1.0391847279001665,1.0288258199962903,1.0405459862429722,1.0405459862429722,1.0347493412619206,1.0347493412619206,1.0391847279001665,1.0391847279001665
2020-02-14,1.0365069071247137,1.0365069071247137,1.0365069071247137,1.0365069071247137,1.0365069071247137,1.019416551036569,1.0286589464283942,1.040128967818045,1.0365069071247137,1.0365069071247137,1.026174692548839,1.0378646577120905,1.0378646577120905,1.0320829498023232,1.0320829498023232,1.0365069071247137,1.0365069071247137
