Embedding Source,Matrix,Rows,Embedding Columns,Approx Memory MB
TabPFN,X_tune,2013,192,1.4744911193847656
TabPFN,X_calibration,503,192,0.3685340881347656
TabPFN,X_holdout,1571,192,1.1507606506347656
TabPFN,X_fair_final_train,2516,192,1.8428993225097656
TabICL,X_tune,2013,512,3.9317665100097656
TabICL,X_calibration,503,512,0.9825477600097656
TabICL,X_holdout,1571,512,3.0684852600097656
TabICL,X_fair_final_train,2516,512,4.914188385009766
