Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
XGBoost[Raw all-history incumbent],holdout,top_rate,0.1,158,0.7468354430379747,0.3224043715846995
XGBoost[Raw all-history incumbent],holdout,top_rate,0.2,315,0.6476190476190476,0.5573770491803278
XGBoost[Raw all-history incumbent],holdout,top_rate,0.3,472,0.5211864406779662,0.6721311475409836
XGBoost[Raw all-history incumbent],holdout,target_recall,0.5,275,0.6654545454545454,0.5
XGBoost[Raw all-history incumbent],holdout,target_recall,0.7,525,0.4895238095238095,0.7021857923497268
XGBoost[Raw all-history incumbent],holdout,target_recall,0.8,701,0.41797432239657634,0.8005464480874317
XGBoost[Raw all-history incumbent],holdout,target_recall,0.9,1037,0.31822565091610416,0.9016393442622951
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.05,79,0.8860759493670886,0.1912568306010929
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.1,158,0.7341772151898734,0.31693989071038253
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.2,315,0.6603174603174603,0.5683060109289617
XGBoost[Raw all-history incumbent] Calibration Base,holdout,top_rate,0.3,472,0.5233050847457628,0.674863387978142
XGBoost[Raw all-history incumbent] Calibration Base,holdout,target_recall,0.5,265,0.690566037735849,0.5
XGBoost[Raw all-history incumbent] Calibration Base,holdout,target_recall,0.7,505,0.5089108910891089,0.7021857923497268
XGBoost[Raw all-history incumbent] Calibration Base,holdout,target_recall,0.8,660,0.44393939393939397,0.8005464480874317
XGBoost[Raw all-history incumbent] Calibration Base,holdout,target_recall,0.9,1013,0.32576505429417574,0.9016393442622951
XGBoost[Raw all-history incumbent] Calibrated,holdout,top_rate,0.05,79,0.8860759493670886,0.1912568306010929
XGBoost[Raw all-history incumbent] Calibrated,holdout,top_rate,0.1,158,0.7341772151898734,0.31693989071038253
XGBoost[Raw all-history incumbent] Calibrated,holdout,top_rate,0.2,315,0.6603174603174603,0.5683060109289617
XGBoost[Raw all-history incumbent] Calibrated,holdout,top_rate,0.3,472,0.5233050847457628,0.674863387978142
XGBoost[Raw all-history incumbent] Calibrated,holdout,target_recall,0.5,265,0.690566037735849,0.5
XGBoost[Raw all-history incumbent] Calibrated,holdout,target_recall,0.7,505,0.5089108910891089,0.7021857923497268
XGBoost[Raw all-history incumbent] Calibrated,holdout,target_recall,0.8,660,0.44393939393939397,0.8005464480874317
