Model,Evaluation Window,bin,rows,high_vol_rows,score_min,score_max,mean_score,observed_high_vol_rate,abs_calibration_error
XGBoost[Raw] Calibrated,holdout,8,157,29,0.270993823069183,0.3230494591885287,0.2951648842469986,0.18471337579617833,0.11045150845082027
XGBoost[Raw] Calibrated,holdout,9,157,58,0.3238926096071229,0.5028491580522986,0.3987541815957064,0.36942675159235666,0.029327430003349753
XGBoost[Raw] Calibrated,holdout,10,157,93,0.5030550463390578,0.7406400627714684,0.6150145760236009,0.5923566878980892,0.022657888125511727
XGBoost[Raw + TabPFN embeddings],holdout,1,158,15,0.0023955453652888536,0.00911400280892849,0.005397344397121593,0.0949367088607595,0.0895393644636379
XGBoost[Raw + TabPFN embeddings],holdout,2,157,16,0.009178047999739647,0.017119407653808594,0.013488634649640436,0.10191082802547771,0.08842219337583727
XGBoost[Raw + TabPFN embeddings],holdout,3,157,11,0.01718769036233425,0.023497210815548897,0.019971878297484605,0.07006369426751592,0.05009181597003132
XGBoost[Raw + TabPFN embeddings],holdout,4,157,12,0.023525061085820198,0.034437213093042374,0.028677957879889544,0.07643312101910828,0.04775516313921874
XGBoost[Raw + TabPFN embeddings],holdout,5,157,29,0.03444827347993851,0.0562446191906929,0.04518614619211027,0.18471337579617833,0.13952722960406805
XGBoost[Raw + TabPFN embeddings],holdout,6,157,38,0.05628114193677902,0.09678629040718079,0.07481834766971078,0.24203821656050956,0.16721986889079876
XGBoost[Raw + TabPFN embeddings],holdout,7,157,41,0.09684882313013077,0.16765859723091125,0.12834400840245994,0.2611464968152866,0.13280248841282669
XGBoost[Raw + TabPFN embeddings],holdout,8,157,40,0.167810320854187,0.28748923540115356,0.23244308381323603,0.25477707006369427,0.022333986250458238
XGBoost[Raw + TabPFN embeddings],holdout,9,157,61,0.2876368761062622,0.4906100034713745,0.3709494211491506,0.3885350318471338,0.0175856106979832
XGBoost[Raw + TabPFN embeddings],holdout,10,157,103,0.4931679964065552,0.9692571759223938,0.740987976265561,0.6560509554140127,0.0849370208515483
XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration,1,51,33,0.0018973093247041106,0.0020812060683965683,0.0019924480595863332,0.6470588235294118,0.6450663754698255
XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration,2,51,12,0.0020860068034380674,0.004741230979561806,0.003560251309810316,0.23529411764705882,0.23173386633724852
XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration,3,51,2,0.004785771481692791,0.006068277172744274,0.00535801144353315,0.0392156862745098,0.03385767483097665
XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration,4,50,0,0.006096461322158575,0.006938118953257799,0.006550592361018062,0.0,0.006550592361018062
XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration,5,50,4,0.00696376571431756,0.00799468532204628,0.007473328858613968,0.08,0.07252667114138603
XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration,6,50,6,0.008000314235687256,0.009396992623806,0.008585217949002981,0.12,0.11141478205099702
XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration,7,50,8,0.009446153417229652,0.011658702045679092,0.010597153697162867,0.16,0.14940284630283712
XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration,8,50,12,0.011661157943308353,0.015349175781011581,0.013182488810271025,0.24,0.22681751118972895
XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration,9,50,12,0.015367540530860424,0.030582120642066002,0.020605418607592584,0.24,0.21939458139240742
XGBoost[Raw + TabPFN embeddings] Calibration Base,calibration,10,50,23,0.030632304027676582,0.5393639206886292,0.14529033426195384,0.46,0.31470966573804615
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,1,158,17,0.0018517069984227419,0.003464643144980073,0.002479842852924868,0.10759493670886076,0.1051150938559359
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,2,157,7,0.0034673819318413734,0.0049897851422429085,0.0042036413882449745,0.044585987261146494,0.04038234587290152
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,3,157,23,0.005000995937734842,0.009246217086911201,0.006346105354701637,0.1464968152866242,0.14015070993192255
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,4,157,11,0.009405615739524364,0.025879129767417908,0.017563891436928398,0.07006369426751592,0.05249980283058753
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,5,157,23,0.026008429005742073,0.043085042387247086,0.034205367895448285,0.1464968152866242,0.11229144739117591
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,6,157,31,0.04311208054423332,0.06172557920217514,0.051644963135195385,0.19745222929936307,0.14580726616416767
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,7,157,52,0.061742205172777176,0.12231618165969849,0.08770574857095245,0.33121019108280253,0.24350444251185008
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,8,157,36,0.12233356386423111,0.2031148374080658,0.16568345927698597,0.22929936305732485,0.06361590378033888
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,9,157,57,0.2031528353691101,0.36198344826698303,0.268148844314229,0.3630573248407643,0.09490848052653533
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,10,157,109,0.3639855682849884,0.9158396124839783,0.588463024159146,0.6942675159235668,0.10580449176442086
XGBoost[Raw + TabPFN embeddings] Calibrated,calibration,1,51,33,0.2130479477358886,0.21312535438920688,0.21308799190586333,0.6470588235294118,0.43397083162354844
