Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Evaluation Window,Rows,High Vol Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Top 10% Alerts,Top 10% Precision,Top 10% Recall,Top 20% Alerts,Top 20% Precision,Top 20% Recall,Alerts for 80% Recall,Precision at 80% Recall,Actual Recall at 80% Target,CV/Validation Average Precision,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
Rule[VIX/realized volatility gap 20d],Rule,domain_rule,vix_minus_spy_rv_20d,none,none,calibration,503,0.22266401590457258,raw_score,0.28944324122435594,0.517446108878334,,,,51,0.2549019607843137,0.11607142857142858,101,0.2376237623762376,0.21428571428571427,411,0.21897810218978103,0.8035714285714286,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,calibration,503,0.22266401590457258,probability,0.2842949434574026,0.5524068322981367,0.22292687913285483,1.894483691905385,0.22088791985676418,51,0.35294117647058826,0.16071428571428573,101,0.39603960396039606,0.35714285714285715,433,0.20785219399538107,0.8035714285714286,0.4507916077795864,74.64631477300009,684.3802502429994,0.0,0.03310940199980905,684.4133596449992,759.0596744179993,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.965794744159495, ""colsample_bytree"": 0.8543669599878991, ""gamma"": 0.000487916790365637, ""learning_rate"": 0.008668224398556848, ""max_bin"": 165, ""max_delta_step"": 3, ""max_depth"": 6, ""min_child_weight"": 0.07003590571021803, ""n_estimators"": 1313, ""reg_alpha"": 3.692525569632977e-05, ""reg_lambda"": 0.2665639151820219, ""scale_pos_weight"": 1.0, ""subsample"": 0.9525159689356304}",
Rule[SPY realized volatility 20d],Rule,domain_rule,spy_rv_20d,none,none,calibration,503,0.22266401590457258,raw_score,0.26482223621086415,0.5642583120204604,,,,51,0.13725490196078433,0.0625,101,0.31683168316831684,0.2857142857142857,443,0.20316027088036118,0.8035714285714286,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,calibration,503,0.22266401590457258,probability,0.2405043608386423,0.4475931677018634,0.17292945405511984,0.5294287079808129,0.09392026363210694,51,0.3137254901960784,0.14285714285714285,101,0.26732673267326734,0.24107142857142858,447,0.20134228187919462,0.8035714285714286,0.4507916077795864,74.64631477300009,684.3802502429994,0.04377455700068822,0.008902631000182737,684.4329274310003,759.0792422040004,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.965794744159495, ""colsample_bytree"": 0.8543669599878991, ""gamma"": 0.000487916790365637, ""learning_rate"": 0.008668224398556848, ""max_bin"": 165, ""max_delta_step"": 3, ""max_depth"": 6, ""min_child_weight"": 0.07003590571021803, ""n_estimators"": 1313, ""reg_alpha"": 3.692525569632977e-05, ""reg_lambda"": 0.2665639151820219, ""scale_pos_weight"": 1.0, ""subsample"": 0.9525159689356304}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,calibration,503,0.22266401590457258,probability,0.2274746375075391,0.4442363902082572,0.21883003831447667,1.4066276231566028,0.21376413203047767,51,0.3137254901960784,0.14285714285714285,101,0.25742574257425743,0.23214285714285715,436,0.20642201834862386,0.8035714285714286,0.5139222485335624,0.0,383.0419691410002,0.0,0.025033104999920397,383.06700224600013,383.06700224600013,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{""colsample_bylevel"": 0.743904900404369, ""colsample_bytree"": 0.9179496348098805, ""gamma"": 3.3676406817541684e-05, ""learning_rate"": 0.08850040653330693, ""max_bin"": 791, ""max_delta_step"": 0, ""max_depth"": 8, ""min_child_weight"": 0.0714293072131967, ""n_estimators"": 942, ""reg_alpha"": 0.007460669282028744, ""reg_lambda"": 87.46439286957852, ""scale_pos_weight"": 7.56595744680851, ""subsample"": 0.9534746183383094}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,calibration,503,0.22266401590457258,probability,0.2274746375075391,0.4442363902082572,0.17282342649902555,0.5294809584437046,0.07544175942279824,51,0.3137254901960784,0.14285714285714285,101,0.25742574257425743,0.23214285714285715,436,0.20642201834862386,0.8035714285714286,0.5139222485335624,0.0,383.0419691410002,0.04212694099987857,0.0077798840000014025,383.0918759660001,383.0918759660001,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{""colsample_bylevel"": 0.743904900404369, ""colsample_bytree"": 0.9179496348098805, ""gamma"": 3.3676406817541684e-05, ""learning_rate"": 0.08850040653330693, ""max_bin"": 791, ""max_delta_step"": 0, ""max_depth"": 8, ""min_child_weight"": 0.0714293072131967, ""n_estimators"": 942, ""reg_alpha"": 0.007460669282028744, ""reg_lambda"": 87.46439286957852, ""scale_pos_weight"": 7.56595744680851, ""subsample"": 0.9534746183383094}",
TabICL[Direct all-history] Calibration Base,TabICL,direct_tfm_calibration_base,Raw all-history direct TFM context,TabICL,none_calibration_base,holdout,1571,0.23297262889879058,probability,0.6904934043344477,0.8549509103689091,0.11783995866260294,0.38130655596076585,0.03879260712817197,158,0.7911392405063291,0.34153005464480873,315,0.6952380952380952,0.5983606557377049,585,0.5008547008547009,0.8005464480874317,,0.0,3.825349605000156,0.0,18.531539414000235,22.35688901900039,22.35688901900039,direct TFM base context excludes calibration-window labels,,
TabPFN[Direct all-history],TabPFN,direct_tfm,Raw all-history direct TFM context,TabPFN,none,holdout,1571,0.23297262889879058,probability,0.6635733606425451,0.83015214384509,0.12330870241809196,0.40092514726147765,0.043761513020604936,158,0.7468354430379747,0.3224043715846995,315,0.6698412698412698,0.5765027322404371,614,0.4771986970684039,0.8005464480874317,,0.0,9.818754949000322,0.0,47.299650824999844,57.118405774000166,57.118405774000166,direct TFM classifier fitted on all pre-holdout labels; no task-specific weight training claim is made,,
TabPFN[Direct all-history] Calibration Base,TabPFN,direct_tfm_calibration_base,Raw all-history direct TFM context,TabPFN,none_calibration_base,holdout,1571,0.23297262889879058,probability,0.6502674760328623,0.8217026052649479,0.13018811458648602,0.42316219393088206,0.06606437452848857,158,0.7468354430379747,0.3224043715846995,315,0.6444444444444445,0.5546448087431693,583,0.5025728987993139,0.8005464480874317,,0.0,8.305410435999875,0.0,36.462216192500364,44.76762662850024,44.76762662850024,direct TFM base context excludes calibration-window labels,,
Rule[VIX close],Rule,domain_rule,vix_close,none,none,holdout,1571,0.23297262889879058,raw_score,0.6326031416335401,0.8324388363603383,,,,158,0.7151898734177216,0.3087431693989071,315,0.6444444444444445,0.5546448087431693,611,0.4795417348608838,0.8005464480874317,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
