month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,FeatureSensitivity[full][TabPFN direct],FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[full][XGBoost light],FeatureSensitivity[full][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[identity_ablated][TabPFN direct],FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[identity_ablated][XGBoost light],FeatureSensitivity[identity_ablated][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[metadata_only][TabPFN direct],FeatureSensitivity[metadata_only][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[metadata_only][XGBoost light],FeatureSensitivity[metadata_only][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[strict_time_series][TabPFN direct],FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[strict_time_series][XGBoost light],FeatureSensitivity[strict_time_series][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[ticker_ablated][TabPFN direct],FeatureSensitivity[ticker_ablated][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[ticker_ablated][XGBoost light],FeatureSensitivity[ticker_ablated][XGBoost light] | inverse-vol capped top-k,Rule[6M momentum top-k],Rule[6M momentum top-k] | inverse-vol capped top-k,Rule[Risk-adjusted momentum top-k],Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] | inverse-vol capped top-k,TabPFN[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibration Base,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,0.9454514700720484,0.9217517381961722,0.9820452755587983,0.9610986866470391,0.9565903925503567,0.9915606196433674,0.9471343862781056,0.9507223455885445,0.9091365406519708,0.9095369257594028,0.9314639263660837,0.9346582570283279,0.9165303614150371,0.9181078630884438,0.9791030048370108,0.9824932266488225,0.9803568088345016,0.9821715817395561,0.9314639263660837,0.9346582570283279,0.9165303614150371,0.9181078630884438,0.9099984731261023,0.9103275124460183,0.9099984731261023,0.9103275124460183,0.9287558007248078,0.9273202178522766,0.9449629995862389,0.9450180180471847,0.9314639263660837,0.9346582570283279,0.9612827526318979,0.9712023540892152,0.9091365406519708,0.9095369257594028,0.9099984731261023,0.9103275124460183,0.9099984731261023,0.9103275124460183
2020-02,0.8084990677943846,0.7710003382809516,0.9196312171561993,0.8706934679574727,0.9102064868112868,0.9623814729523827,0.7626708944075331,0.771193997166471,0.6897147922146056,0.696705443712245,0.7346978243426577,0.7437949293805335,0.7061063573406192,0.7091367266679849,0.8888235090527961,0.9129636662331683,0.893777594879325,0.9145594698934245,0.7346978243426577,0.7437949293805335,0.7061063573406192,0.7091367266679849,0.6808376726624777,0.6845177598362889,0.6989778448601913,0.7006999065392924,0.8509390721229707,0.8637957507384941,0.9551741963426365,0.9453638377397461,0.7346978243426577,0.7437949293805335,0.7937777525202085,0.8263189382774896,0.7105936538397798,0.7137197545959332,0.7329495556650691,0.7386314326129217,0.7329495556650691,0.7386314326129217
2020-03,0.893619464730007,0.8870640519488201,1.0010286254471739,0.9106738437940519,0.9582413670974439,0.9811322679898812,0.7901961125406421,0.7944763195886971,0.7041231892094042,0.7043187227306033,0.7612134787687546,0.7662500748114909,0.7566401484846991,0.7233869411857174,0.9593708074976346,0.9745265552071639,0.9662719494751583,0.9789667462308246,0.7612134787687546,0.7662500748114909,0.7566401484846991,0.7233869411857174,0.7050603045202826,0.7045689620720235,0.749001470988606,0.7147805818240954,0.8881419817176744,0.881237894932335,0.9768544173109742,0.9596102553759089,0.7612134787687546,0.7662500748114909,0.8225843900700652,0.8514429672659981,0.7454031943143677,0.738947289594435,0.773746513381686,0.7669240291080639,0.773746513381686,0.7669240291080639
2020-04,0.9455596007945755,0.9439918471415776,1.0271629985929147,0.9353379655823999,0.9914338473136978,0.9988886682684965,0.8571021205052783,0.8737337249775119,0.74914145339534,0.7428930019193679,0.8293780244402759,0.8322886893361002,0.8048647674770221,0.7629600135455958,1.0261596624143385,1.0322877892443836,1.0321910720085536,1.0366092418051776,0.8293780244402759,0.8322886893361002,0.8048647674770221,0.7629600135455958,0.7582193917242677,0.7524744592149939,0.7967392372642287,0.753882841037673,0.9189062924327123,0.8989852440270397,1.0002438599201084,0.9742697669384411,0.8293780244402759,0.8322886893361002,0.8762639093083913,0.8957009944268048,0.7961617262287606,0.7843663698363137,0.8337763519403272,0.8179604429926417,0.8337763519403272,0.8179604429926417
2020-05,0.9644638758591152,0.966726559015541,1.0442889773462167,0.9444711285805063,1.0273661191111458,1.0082546763343367,0.87256980815476,0.889706433873132,0.7640173188639573,0.7552628281522533,0.8577401444212042,0.8590289198034575,0.8276843217574821,0.7813097314000941,1.0556638412275747,1.0575382112201963,1.060196232154275,1.061786152335066,0.8577401444212042,0.8590289198034575,0.8276843217574821,0.7813097314000941,0.7758498872116089,0.7688231520214678,0.8193284162254538,0.7720142465933878,0.9507885716936886,0.9193430926817224,1.0362953818764797,1.003170656033236,0.8577401444212042,0.8590289198034575,0.899170595913264,0.919162565356492,0.819616385826315,0.8036631889375119,0.8542735943698777,0.8388640395270198,0.8542735943698777,0.8388640395270198
2020-06,1.0201848006625855,1.025279684794046,1.099219983085978,0.9789909672051128,1.1566389787309965,1.0460585905522866,0.9395990955605549,0.9886755063287612,0.8025480171255485,0.7943071798497763,0.9302090942735994,0.9610623067422143,0.8787727933375343,0.8294364856536539,1.1781588023399199,1.1769314871578558,1.1857044056022104,1.1827113722293237,0.9302090942735994,0.9610623067422143,0.8787727933375343,0.8294364856536539,0.8406191293804145,0.8582926006962002,0.9090839211615384,0.8563296413340549,1.009751225447454,0.9669758914128995,1.1735360869034284,1.1377360558142755,0.9302090942735994,0.9610623067422143,0.9808573836918323,1.0324224484887916,0.8397943567617701,0.8288671985642856,0.87242812651816,0.8632194473225019,0.87242812651816,0.8632194473225019
2020-07,1.0574518882909107,1.0936374510726807,1.124233976028036,0.9953005523742211,1.2433608129363345,1.0426340458335017,0.9921846929848761,1.0499922137631588,0.8604632271415599,0.8570484196837337,0.9672782507886547,1.0001642839989617,0.9202388567969936,0.8718623339619588,1.2405961910155707,1.2122076135434245,1.2477805899777334,1.2191285504056741,0.9672782507886547,1.0001642839989617,0.9202388567969936,0.8718623339619588,0.8900175310923693,0.9112314414394475,0.9496812004766625,0.9022161480966174,1.0852578411180365,1.0125609188844236,1.2934864800146273,1.233179970100915,0.9672782507886547,1.0001642839989617,1.0314545664002692,1.0816800346447961,0.9067169456443399,0.8996330912399244,0.9416023050368576,0.9365276030445148,0.9416023050368576,0.9365276030445148
2020-08,1.0287205811186062,1.0587612868566274,1.1052761069495725,0.9833459870105765,1.1603834642856068,1.0415606287053556,0.9108753056449661,0.9851838395119161,0.7891781563607114,0.802460441189825,0.8805253868049594,0.9285510054524875,0.8438176265722014,0.8162604232693546,1.1703092706899898,1.1704297289985497,1.1759804824858069,1.1757769459917178,0.8805253868049594,0.9285510054524875,0.8438176265722014,0.8162604232693546,0.8112288232376997,0.84862726172827,0.8750996494594588,0.8577936847076589,1.0128317059837628,0.9610985911198855,1.2103692842912508,1.1743819875453578,0.8805253868049594,0.9285510054524875,0.9443194362715805,1.0092143775783604,0.830986625996875,0.8530258385227496,0.8627118185838587,0.8766503030799587,0.8627118185838587,0.8766503030799587
2020-09,1.0180576006545736,1.035278123592677,1.0806656374064914,0.9757807212443664,1.1347240857451018,1.0357072174426598,0.8912093319322707,0.9598789373144945,0.7692164743864276,0.7830849143997864,0.8698312375920585,0.9159178539980193,0.8224738793204966,0.7965516938580286,1.1475554424907706,1.144364734456981,1.1579593442509828,1.1532501613443207,0.8698312375920585,0.9159178539980193,0.8224738793204966,0.7965516938580286,0.7937142363190467,0.8267973979217605,0.8562060790710586,0.8357042770723716,0.9922627207536091,0.9389820016246838,1.1857886281126047,1.1473546497873548,0.8698312375920585,0.9159178539980193,0.9265596622404104,0.9872062857713874,0.8128792669767886,0.8308753781152282,0.8462330656439201,0.8610538430535289,0.8462330656439201,0.8610538430535289
2020-10,1.1061585529840294,1.1461734749144603,1.150151483884707,1.0252468319758798,1.1939403381530411,1.0489093156954044,0.9989622895382643,1.0832500653790236,0.869169969727001,0.8921873617883426,0.9749994456778206,1.033654685347872,0.9293477461731008,0.9075303855341692,1.1828168559976497,1.175250623597304,1.192684243578046,1.1838751798091063,0.9749994456778206,1.033654685347872,0.9293477461731008,0.9075303855341692,0.8968510188287355,0.941949747587226,0.9674631740302688,0.9520971338620217,1.0740685216180625,1.0284057394952242,1.2717390976929202,1.2405845681023429,0.9749994456778206,1.033654685347872,1.020827732621126,1.0858364937417821,0.9229225837343839,0.9529064199887008,0.9574152165677732,0.980878344218701,0.9574152165677732,0.980878344218701
