Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Rule[12M momentum top-k],calibration,2018-01,25,5,0.09846153846153846,0.4,-0.02166285232810481,-0.03704489963779191,0.015382047309687098
Rule[12M momentum top-k],calibration,2018-02,25,5,-0.7876923076923077,0.0,-0.03374101884563221,-0.004552230051418569,-0.02918878879421364
Rule[12M momentum top-k],calibration,2018-03,25,5,0.0723076923076923,0.0,-0.003793703066008347,0.002289898818431553,-0.0060836018844399
Rule[12M momentum top-k],calibration,2018-04,25,5,0.26384615384615384,0.4,0.03202522243985786,0.019812399225860734,0.012212823213997123
Rule[12M momentum top-k],calibration,2018-05,25,5,-0.4476923076923077,0.0,-0.010884690716751888,-0.005640191061034691,-0.005244499655717196
Rule[12M momentum top-k],calibration,2018-06,25,5,0.42538461538461536,0.0,0.01803084752917472,0.021385562605511988,-0.0033547150763372675
Rule[12M momentum top-k],calibration,2018-07,25,5,0.5323076923076923,0.6,0.031160262850219576,0.008831032687561913,0.022329230162657664
Rule[12M momentum top-k],calibration,2018-08,25,5,0.21846153846153843,0.0,0.007017559603978607,0.005639781073758545,0.001377778530220062
Rule[12M momentum top-k],calibration,2018-09,25,5,-0.6884615384615385,0.0,-0.07943295760545006,-0.046873461618516125,-0.03255949598693394
Rule[12M momentum top-k],calibration,2018-10,25,5,0.1453846153846154,0.2,0.034758577355539354,0.02175991534301079,0.012998662012528563
Rule[12M momentum top-k],calibration,2018-11,25,5,-0.49,0.0,-0.1173066017017943,-0.06980644580848909,-0.04750015589330521
Rule[12M momentum top-k],calibration,2018-12,25,5,-0.553076923076923,0.0,0.04280939051317421,0.07806338693150583,-0.03525399641833162
Rule[12M momentum top-k],calibration,2019-01,25,5,-0.22999999999999998,0.2,0.013336668021246778,0.021543347031132046,-0.008206679009885268
Rule[12M momentum top-k],calibration,2019-02,25,5,0.53,0.4,0.031505096855738525,0.016645345662241847,0.014859751193496678
