Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Turnover Cap,Constraint Source
75,0.1683013927406951,0.1497047050342638,1.1192766871337587,1.8664252881567849,-0.12249657129673563,0.013963415524923946,4.471347595037788,6.626666666666667,0.013972961234493089,2.6437360317680656,12M momentum top-k portfolio,0.5,post_score_turnover_cap
75,0.17594088225650006,0.1569122165502441,1.1177775202574802,1.5105446367101416,-0.149179432279688,0.014616079026136385,5.72097783945908,7.44,0.017878055748309626,2.7536536025600933,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.18253233907018518,0.1707510077355584,1.0745529447364186,1.3580420558202952,-0.17425154009377275,0.015290083181579608,5.3209223447095395,6.546666666666667,0.016627882327217312,2.8515527817995365,TabPFN[Direct allocation scorer] Calibration Base,0.5,post_score_turnover_cap
75,0.1878407717533015,0.1794185383648667,1.0556368594799048,1.45739966944245,-0.17854564504653925,0.015783401864330228,5.414532274706785,7.28,0.016920413358458702,2.932506106930162,FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.18841420479743554,0.18336886741102001,1.040526334975966,1.2930091033660105,-0.19337667824200055,0.015900011296323544,5.53536989356484,8.946666666666667,0.017298030917390125,2.941365292660749,FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.18841420479743554,0.18336886741102001,1.040526334975966,1.2930091033660105,-0.19337667824200055,0.015900011296323544,5.53536989356484,8.946666666666667,0.017298030917390125,2.941365292660749,FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.18841420479743554,0.18336886741102001,1.040526334975966,1.2930091033660105,-0.19337667824200055,0.015900011296323544,5.53536989356484,8.946666666666667,0.017298030917390125,2.941365292660749,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,0.5,post_score_turnover_cap
75,0.18691372574811282,0.18404658607344088,1.0298928578628253,1.3941415026051345,-0.1858584300128696,0.01579568870925604,4.784664420247973,6.16,0.01495207631327492,2.9182312308453904,FeatureSensitivity[full][TabPFN direct],0.5,post_score_turnover_cap
75,0.18962686342613466,0.1888115799355307,1.021988221397123,1.27085418384895,-0.20538283892635878,0.016080267563124476,5.034057312381365,7.32,0.01573142910119177,2.960174180280941,FeatureSensitivity[identity_ablated][TabPFN direct],0.5,post_score_turnover_cap
75,0.18962686342613466,0.1888115799355307,1.021988221397123,1.27085418384895,-0.20538283892635878,0.016080267563124476,5.034057312381365,7.32,0.01573142910119177,2.960174180280941,FeatureSensitivity[strict_time_series][TabPFN direct],0.5,post_score_turnover_cap
75,0.18962686342613466,0.1888115799355307,1.021988221397123,1.27085418384895,-0.20538283892635878,0.016080267563124476,5.034057312381365,7.32,0.01573142910119177,2.960174180280941,TabPFN[Direct allocation scorer],0.5,post_score_turnover_cap
75,0.1479550693181242,0.14691925264483294,1.0164750325215166,1.7410046734085372,-0.14113381041167083,0.012444979342516125,5.993481604471014,15.866666666666667,0.018729630013971918,2.368811833044019,Rule[Risk-adjusted momentum top-k],0.5,post_score_turnover_cap
