Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes,Objective,Target Column,Return Column,Portfolio Return Column,Horizon Months,Portfolio Diagnostic Caveat,Training Label Resolution Cutoff
ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,TabPFN,objective_specific_calibration_base,none_calibration_base,calibration,575,232,0.40347826086956523,probability,0.48685795016275174,0.5992824469689353,0.23401338353898016,0.654008907717117,0.07112700587523212,8.67965322999953,52.72100144600017,0.0,61.400654675999704,,,objective-specific direct TabPFN context excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,XGBoost,objective_specific_calibration_base,none_calibration_base,calibration,575,232,0.40347826086956523,probability,0.4619793187402004,0.6022921483864481,0.2357969880898382,0.6587391763098404,0.06542945920125301,1.1811210940004457,0.016446258000087255,0.0,1.197567352000533,0.4772795132520449,,objective-specific base model excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,XGBoost,objective_specific_calibrated,sigmoid,calibration,575,232,0.40347826086956523,probability,0.4619793187402004,0.6022921483864481,0.23160582504690752,0.653136654466271,0.024666320420445195,1.1811210940004457,0.004478558500068175,0.006848990999969828,1.1924486435004837,0.4772795132520449,,sigmoid calibration fitted on objective-specific calibration window,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],TabPFN,objective_specific,none,holdout,1875,792,0.4224,probability,0.465447219690745,0.5683788485035023,0.23784358551079282,0.6613999479435089,0.04604277879111468,9.74531879999995,71.63495796700045,0.0,81.3802767670004,,,objective-specific direct TabPFN rerun with training labels restricted to those resolved before holdout; separate from main one-month target,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],XGBoost,objective_specific,none,holdout,1875,792,0.4224,probability,0.4622384090498637,0.5381784138709347,0.247732498467908,0.683851867654936,0.08784197357296944,1.3036668889999419,0.027641546999802813,0.0,1.3313084359997447,0.4772795132520449,,objective-specific fixed GPU XGBoost; training labels restricted to those resolved before holdout; chronological fixed-model CV AP saved; no target-specific hyperparameter search,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,TabPFN,objective_specific_calibration_base,none_calibration_base,holdout,1875,792,0.4224,probability,0.45505702344922083,0.5610356799761231,0.2387547752700986,0.6632341721598852,0.04775633869438122,8.67965322999953,52.72100144600017,0.0,61.400654675999704,,,objective-specific direct TabPFN context excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,XGBoost,objective_specific_calibration_base,none_calibration_base,holdout,1875,792,0.4224,probability,0.44052445949761926,0.5092884057565498,0.25891716449521895,0.7086326791281929,0.12200476276278496,1.1811210940004457,0.016446258000087255,0.0,1.197567352000533,0.4772795132520449,,objective-specific base model excludes calibration-window labels,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,XGBoost,objective_specific_calibrated,sigmoid,holdout,1875,792,0.4224,probability,0.44052445949761926,0.5092884057565498,0.24949991047848605,0.6917028312216568,0.08620108821155953,1.1811210940004457,0.004478558500068175,0.006848990999969828,1.1924486435004837,0.4772795132520449,,sigmoid calibration fitted on objective-specific calibration window,benchmark_outperform_1m,target_outperform_benchmark_next_1m,forward_1m_vs_benchmark_return,forward_1m_vs_benchmark_return,1,benchmark-relative active-return diagnostic; not a benchmark-relative optimizer,2020-01-01
ObjectiveSpecific[top_k_next_3m][XGBoost light] Calibration Base,XGBoost,objective_specific_calibration_base,none_calibration_base,calibration,525,105,0.2,probability,0.2473052587675824,0.5466893424036281,0.20975779604826325,0.6071046038410385,0.1871940619746844,1.2152465989993289,0.01695789050017993,0.0,1.2322044894995088,0.2818565116654777,,objective-specific base model excludes calibration-window labels,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
ObjectiveSpecific[top_k_next_3m][XGBoost light] Calibrated,XGBoost,objective_specific_calibrated,sigmoid,calibration,525,105,0.2,probability,0.2473052587675824,0.5466893424036281,0.15893450604032053,0.4967974323793284,0.04538169508241872,1.2152465989993289,0.004449476500212768,0.009253911999621778,1.2289499874991634,0.2818565116654777,,sigmoid calibration fitted on objective-specific calibration window,top_k_next_3m,target_top_k_next_3m,forward_3m_return,forward_3m_return,3,3-month overlapping forward-return diagnostic; not a monthly executable backtest,2020-01-01
