Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Source,Max Asset Weight Cap
75,0.16575679760762174,0.14850815455766958,1.1122291790051606,1.974407022964304,-0.1283569254560294,0.013764591901604027,5.4719999999999995,5.0,0.0171,2.6079528077115803,12M momentum top-k portfolio,deterministic,
75,0.1671960468729159,0.1640292504758523,1.031286939179803,1.272112323004053,-0.17425154009377275,0.014096768638266578,6.751999999999999,5.0,0.021100000000000004,2.628141838215344,TabPFN[Direct allocation scorer] Calibration Base,model_score,
75,0.15307531671236996,0.15039073749941814,1.0274934188874554,1.4070509000795137,-0.149179432279688,0.01287712442019025,8.108877986147306,5.0,0.025340243706710328,2.435625274052151,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.14721525452938988,0.15400552180406174,0.9719080719997737,1.6980183062938274,-0.15672424093931758,0.01247326748115873,9.632,5.0,0.0301,2.359286634300256,Rule[Risk-adjusted momentum top-k],model_score,
75,0.17078123945821577,0.18348968150336156,0.9578367116678822,1.1693827186707741,-0.20420653882054107,0.01464609609634724,8.50138450645478,5.0,0.026566826582671187,2.6790046467712596,FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.17078123945821577,0.18348968150336156,0.9578367116678822,1.1693827186707741,-0.20420653882054107,0.01464609609634724,8.50138450645478,5.0,0.026566826582671187,2.6790046467712596,FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.17078123945821577,0.18348968150336156,0.9578367116678822,1.1693827186707741,-0.20420653882054107,0.01464609609634724,8.50138450645478,5.0,0.026566826582671187,2.6790046467712596,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.16475826842671792,0.1791072975540006,0.946497538310599,1.2811443466185075,-0.18883362661570402,0.01412705135236046,7.422152417189783,5.0,0.02319422630371807,2.594022646235179,FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.16847543068327808,0.18594715381240787,0.9376282788092657,1.122617205598895,-0.2112439316797471,0.014529109148217484,6.815999999999999,5.0,0.021300000000000003,2.6461984225781676,FeatureSensitivity[identity_ablated][TabPFN direct],model_score,
75,0.16847543068327808,0.18594715381240787,0.9376282788092657,1.122617205598895,-0.2112439316797471,0.014529109148217484,6.815999999999999,5.0,0.021300000000000003,2.6461984225781676,FeatureSensitivity[strict_time_series][TabPFN direct],model_score,
75,0.16847543068327808,0.18594715381240787,0.9376282788092657,1.122617205598895,-0.2112439316797471,0.014529109148217484,6.815999999999999,5.0,0.021300000000000003,2.6461984225781676,TabPFN[Direct allocation scorer],model_score,
75,0.13970941842983153,0.15245017676874345,0.9376021163202501,1.442736967542141,-0.21196975032289422,0.011911467364314176,0.16,5.0,0.0005,2.264453243630532,FeatureSensitivity[metadata_only][TabPFN direct],model_score,
75,0.12895365424553762,0.14031631266239772,0.937048738859482,1.6373367751157004,-0.1623853138479079,0.010956935318476049,11.10295411665882,5.0,0.0346967316145588,2.1341537815077936,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.12265829510421722,0.1347885110816859,0.9287228922802783,1.4777909828811415,-0.20745917218136167,0.010431764654827974,1.0785005154285938,5.0,0.003370314110714356,2.060854994737574,FeatureSensitivity[metadata_only][TabPFN direct] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.16151836091560035,0.18132964352416334,0.922260422938043,1.210729011332326,-0.1947595764054636,0.013936096143983289,5.919999999999999,5.0,0.0185,2.5492533349892548,FeatureSensitivity[full][TabPFN direct],model_score,
75,0.13466307368038066,0.1516110701352041,0.9123904928617953,1.392160575326003,-0.21553153845762274,0.011527374916996926,0.16,5.0,0.0005,2.202511877960856,FeatureSensitivity[metadata_only][XGBoost light],model_score,
75,0.11921961470923859,0.1337452071800309,0.9117966702935918,1.4660457679660857,-0.21400271422798645,0.010162369547873232,1.0865060185374156,5.0,0.003395331307929423,2.021718589680526,FeatureSensitivity[metadata_only][XGBoost light] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.15336578988200422,0.17820435615159289,0.8941413591813109,1.2618637659838667,-0.233129020498404,0.013278323768451306,0.16,1.0,0.0005,2.4394625764961115,SPY only,deterministic,
75,0.11223413383269376,0.13666087488916587,0.850257331660578,1.1347195506323413,-0.16752140055402487,0.009683075902138523,0.16,25.0,0.0005,1.9441347810636749,Equal weight universe,deterministic,
75,0.14996186312709847,0.19749639468641636,0.8127186807097151,0.9647975016315978,-0.2318911893785881,0.013375750777872458,10.847999999999999,5.0,0.033900000000000007,2.3948123349886865,FeatureSensitivity[ticker_ablated][XGBoost light],model_score,
75,0.13252580647791334,0.1882182557616954,0.7621738733800132,0.844002673133104,-0.24135180869532624,0.011954586419560117,11.040000000000003,5.0,0.0345,2.176710480049519,FeatureSensitivity[full][XGBoost light],model_score,
75,0.1350244362026689,0.198880688290067,0.7438519823223584,0.7873294040180875,-0.25182547798832267,0.01232814951918345,8.159999999999998,5.0,0.0255,2.206899584221051,FeatureSensitivity[ticker_ablated][TabPFN direct],model_score,
75,0.06452761862945655,0.09171403321768196,0.7293636321740335,0.9814550798850062,-0.14282779578292715,0.0055744066990815406,1.1787364652857968,25.0,0.0036835514540181154,1.478191954568039,Inverse volatility universe,deterministic,
75,0.12445889639173413,0.18784172107409194,0.7237803660990505,0.8447009399543259,-0.23027712888020246,0.011329679137306835,12.576422024141259,5.0,0.03930131882544144,2.0816006031257825,FeatureSensitivity[ticker_ablated][XGBoost light] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.12172932950181092,0.18464723746679332,0.7201882084092843,0.8145433581033249,-0.22958759789423988,0.011081730261577797,11.552000000000003,5.0,0.03610000000000001,2.050220025370919,FeatureSensitivity[identity_ablated][XGBoost light],model_score,
75,0.12172932950181092,0.18464723746679332,0.7201882084092843,0.8145433581033249,-0.22958759789423988,0.011081730261577797,11.552000000000003,5.0,0.03610000000000001,2.050220025370919,FeatureSensitivity[strict_time_series][XGBoost light],model_score,
75,0.12686662642051938,0.19606949940586701,0.7137039616778307,0.7803442285963825,-0.24805330995982577,0.011661298207513032,9.860558956132735,5.0,0.030814246737914802,2.109615125643978,FeatureSensitivity[ticker_ablated][TabPFN direct] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.09995787683652169,0.14995620777730784,0.7121940123206301,1.1421807025333506,-0.13249624727292686,0.008899826107442246,7.392,5.0,0.0231,1.8138456920238504,Rule[6M momentum top-k],model_score,
75,0.11398942332114692,0.18106434978380803,0.6923161217331998,0.7637565081414142,-0.2339998256469441,0.01044614736887246,12.411767406410434,5.0,0.038786773145032614,1.963390438880002,FeatureSensitivity[full][XGBoost light] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.09951509290922389,0.17782084672185086,0.6270622424175205,0.7127652386085105,-0.22761065972956185,0.009292061574498835,13.030207051608167,5.0,0.04071939703627553,1.8092870314560778,FeatureSensitivity[identity_ablated][XGBoost light] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.09951509290922389,0.17782084672185086,0.6270622424175205,0.7127652386085105,-0.22761065972956185,0.009292061574498835,13.030207051608167,5.0,0.04071939703627553,1.8092870314560778,FeatureSensitivity[strict_time_series][XGBoost light] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.0763536060720893,0.1343993900345601,0.6156383181660553,1.051414871608413,-0.16756488058552121,0.006895117870285025,8.928343842604107,5.0,0.02790107450813784,1.5838664644130702,Rule[6M momentum top-k] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.07161109395200316,0.12847141529258546,0.6033573909981449,0.9990014434579076,-0.24937008388270487,0.006459514829064462,0.16,2.0,0.0005,1.540751170930622,60/40 SPY/TLT,deterministic,
75,0.09610797257670711,0.18215956316272527,0.5992389267012336,0.7019652116912425,-0.2183862136591821,0.009096425093166422,9.248,5.0,0.028900000000000002,1.774530032574813,XGBoost[GPU allocation scorer],model_score,
75,0.08510259230374406,0.17418475117435547,0.5597833762202715,0.6409466579096014,-0.21529326145826932,0.008125477341539051,11.000793916748462,5.0,0.03437748098983894,1.6660671686626054,XGBoost[GPU allocation scorer] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.08432870861132291,0.17561656452069865,0.5517936541792786,0.6669362626770416,-0.19455957640546362,0.008075342155940616,10.016000000000002,5.0,0.03130000000000001,1.6586546734490903,XGBoost[GPU allocation scorer] Calibrated,model_score,
75,0.08432870861132291,0.17561656452069865,0.5517936541792786,0.6669362626770416,-0.19455957640546362,0.008075342155940616,10.016000000000002,5.0,0.03130000000000001,1.6586546734490903,XGBoost[GPU allocation scorer] Calibration Base,model_score,
75,0.027437102376741018,0.06277536456371104,0.4625749214375431,0.7690065758905206,-0.11138408255441468,0.0024198591109393136,1.952,5.0,0.0060999999999999995,1.1843233164574059,Low volatility top-k portfolio,deterministic,
75,0.06171931808275488,0.16510563884575558,0.44731106558177797,0.545680917306131,-0.18860912966560262,0.006154464937137928,11.76378516664409,5.0,0.03676182864576278,1.4539877468217115,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.06171931808275488,0.16510563884575558,0.44731106558177797,0.545680917306131,-0.18860912966560262,0.006154464937137928,11.76378516664409,5.0,0.03676182864576278,1.4539877468217115,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
