Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Base Transaction Cost Bps,Tax Drag Bps Per Turnover
75,0.16575679760762174,0.14850815455766958,1.1122291790051606,1.974407022964304,-0.1283569254560294,0.013764591901604027,5.4719999999999995,5.0,0.0171,2.6079528077115803,12M momentum top-k portfolio,5.0,0.0
75,0.1671960468729159,0.1640292504758523,1.031286939179803,1.272112323004053,-0.17425154009377275,0.014096768638266578,6.751999999999999,5.0,0.021100000000000004,2.628141838215344,TabPFN[Direct allocation scorer] Calibration Base,5.0,0.0
75,0.15307531671236996,0.15039073749941814,1.0274934188874554,1.4070509000795137,-0.149179432279688,0.01287712442019025,8.108877986147306,5.0,0.025340243706710328,2.435625274052151,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,5.0,0.0
75,0.14721525452938988,0.15400552180406174,0.9719080719997737,1.6980183062938274,-0.15672424093931758,0.01247326748115873,9.632,5.0,0.0301,2.359286634300256,Rule[Risk-adjusted momentum top-k],5.0,0.0
75,0.17078123945821577,0.18348968150336156,0.9578367116678822,1.1693827186707741,-0.20420653882054107,0.01464609609634724,8.50138450645478,5.0,0.026566826582671187,2.6790046467712596,FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,5.0,0.0
75,0.17078123945821577,0.18348968150336156,0.9578367116678822,1.1693827186707741,-0.20420653882054107,0.01464609609634724,8.50138450645478,5.0,0.026566826582671187,2.6790046467712596,FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,5.0,0.0
75,0.17078123945821577,0.18348968150336156,0.9578367116678822,1.1693827186707741,-0.20420653882054107,0.01464609609634724,8.50138450645478,5.0,0.026566826582671187,2.6790046467712596,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,5.0,0.0
75,0.16475826842671792,0.1791072975540006,0.946497538310599,1.2811443466185075,-0.18883362661570402,0.01412705135236046,7.422152417189783,5.0,0.02319422630371807,2.594022646235179,FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,5.0,0.0
75,0.16847543068327808,0.18594715381240787,0.9376282788092657,1.122617205598895,-0.2112439316797471,0.014529109148217484,6.815999999999999,5.0,0.021300000000000003,2.6461984225781676,FeatureSensitivity[identity_ablated][TabPFN direct],5.0,0.0
75,0.16847543068327808,0.18594715381240787,0.9376282788092657,1.122617205598895,-0.2112439316797471,0.014529109148217484,6.815999999999999,5.0,0.021300000000000003,2.6461984225781676,FeatureSensitivity[strict_time_series][TabPFN direct],5.0,0.0
