stage,device_index,device_name,allocated_mb,reserved_mb,max_allocated_mb,free_mb,total_mb
after_imports_and_configuration,0,Tesla T4,0.0,0.0,0.0,14807.8125,14912.6875
after_imports_and_configuration,1,Tesla T4,0.0,0.0,0.0,14807.8125,14912.6875
after_FeatureSensitivity[full][XGBoost light]_prediction,0,Tesla T4,0.0,0.0,0.0,14785.8125,14912.6875
after_FeatureSensitivity[full][XGBoost light]_prediction,1,Tesla T4,0.0,0.0,0.0,14807.8125,14912.6875
after_FeatureSensitivity[full][TabPFN direct]_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14761.8125,14912.6875
after_FeatureSensitivity[full][TabPFN direct]_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_FeatureSensitivity[ticker_ablated][XGBoost light]_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14761.8125,14912.6875
after_FeatureSensitivity[ticker_ablated][XGBoost light]_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_FeatureSensitivity[ticker_ablated][TabPFN direct]_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14761.8125,14912.6875
after_FeatureSensitivity[ticker_ablated][TabPFN direct]_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_FeatureSensitivity[identity_ablated][XGBoost light]_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14761.8125,14912.6875
after_FeatureSensitivity[identity_ablated][XGBoost light]_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_FeatureSensitivity[identity_ablated][TabPFN direct]_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14761.8125,14912.6875
after_FeatureSensitivity[identity_ablated][TabPFN direct]_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_FeatureSensitivity[metadata_only][XGBoost light]_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14761.8125,14912.6875
after_FeatureSensitivity[metadata_only][XGBoost light]_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_FeatureSensitivity[metadata_only][TabPFN direct]_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14761.8125,14912.6875
after_FeatureSensitivity[metadata_only][TabPFN direct]_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_FeatureSensitivity[strict_time_series][XGBoost light]_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14761.8125,14912.6875
after_FeatureSensitivity[strict_time_series][XGBoost light]_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_FeatureSensitivity[strict_time_series][TabPFN direct]_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14761.8125,14912.6875
after_FeatureSensitivity[strict_time_series][TabPFN direct]_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_xgboost_final_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14745.8125,14912.6875
after_xgboost_final_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_xgboost_workflow,0,Tesla T4,9.125,14.0,4421.0380859375,14745.8125,14912.6875
after_xgboost_workflow,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
after_TabPFN[Direct allocation scorer]_final_prediction,0,Tesla T4,9.125,14.0,4421.0380859375,14745.8125,14912.6875
after_TabPFN[Direct allocation scorer]_final_prediction,1,Tesla T4,9.125,14.0,4421.91796875,14765.8125,14912.6875
