month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,FeatureSensitivity[full][TabPFN direct],FeatureSensitivity[full][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[full][XGBoost light],FeatureSensitivity[full][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[identity_ablated][TabPFN direct],FeatureSensitivity[identity_ablated][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[identity_ablated][XGBoost light],FeatureSensitivity[identity_ablated][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[metadata_only][TabPFN direct],FeatureSensitivity[metadata_only][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[metadata_only][XGBoost light],FeatureSensitivity[metadata_only][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[strict_time_series][TabPFN direct],FeatureSensitivity[strict_time_series][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[strict_time_series][XGBoost light],FeatureSensitivity[strict_time_series][XGBoost light] | inverse-vol capped top-k,FeatureSensitivity[ticker_ablated][TabPFN direct],FeatureSensitivity[ticker_ablated][TabPFN direct] | inverse-vol capped top-k,FeatureSensitivity[ticker_ablated][XGBoost light],FeatureSensitivity[ticker_ablated][XGBoost light] | inverse-vol capped top-k,Rule[6M momentum top-k],Rule[6M momentum top-k] | inverse-vol capped top-k,Rule[Risk-adjusted momentum top-k],Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] | inverse-vol capped top-k,TabPFN[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibration Base,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-02,0.0,0.0,0.0,0.20806764550165766,0.8,0.4,0.8,0.9919093235759813,1.2000000000000002,1.3930006469398322,0.8,0.9922858688369782,0.8,1.0159743376317376,0.0,0.12992308563407667,0.0,0.1475615120126344,0.8,0.9922858688369782,0.8,1.0159743376317376,1.2000000000000002,1.3708475026828668,0.8,1.0000126030980323,0.8,0.9252229814262654,1.6,1.8068745163097024,0.8,0.9922858688369782,0.4,0.44321507774415014,0.8,1.0139058673416792,0.4,0.5429154233729578,0.4,0.5429154233729578
2020-03,0.0,0.0,0.0,0.49880368044303813,0.4,0.4,1.6,1.769080434903968,1.2000000000000002,1.5870885267874055,1.6,1.7690804349039682,1.6,1.9104043311305299,0.0,0.2101744928870412,0.0,0.20682638343583856,1.6,1.7690804349039682,1.6,1.9104043311305299,1.6,1.7690804349039682,1.6,1.9104043311305299,1.2000000000000002,1.6463220915032466,0.0,0.2799407580579971,1.6,1.7690804349039682,1.2000000000000002,1.3394973124162322,1.2000000000000002,1.5348365174090408,1.2000000000000002,1.539481466725466,1.2000000000000002,1.539481466725466
2020-04,0.0,0.0,0.0,0.042083240499120336,0.4,0.4,1.6,1.7690804349039684,0.8,1.2898365420004736,1.2000000000000002,1.3394973124162322,1.2000000000000002,1.415741816362985,0.0,0.029201451476048898,0.0,0.02914410469595137,1.2000000000000002,1.3394973124162322,1.2000000000000002,1.415741816362985,0.8,0.989369085832555,1.2000000000000002,1.415741816362985,0.4,0.7000000000000002,0.8,0.936880751052797,1.2000000000000002,1.3394973124162322,0.4,0.7,0.8,0.8970231482330207,0.4,0.7,0.4,0.7
2020-05,0.0,0.0,0.0,0.029899140483255593,0.4,0.0,0.4,0.4092336671850967,1.2000000000000002,1.3469431937728857,0.4,0.7,0.8,0.8388408343770202,0.0,0.0189450756145062,0.0,0.01875834772759921,0.4,0.7,0.8,0.8388408343770202,1.2000000000000002,1.3722047169355518,0.8,0.8388408343770203,0.0,0.009683125414811256,0.8,0.9431595080086548,0.4,0.7,0.8,0.8866540109107914,0.8,1.0513326457490333,0.4,0.23878121656933152,0.4,0.23878121656933152
2020-06,0.0,0.0,0.0,0.2997937706064063,0.0,0.4,0.0,0.016790098852757424,0.8,1.0766453877851365,0.8,0.7601948327162777,1.6,1.7432404467152651,0.0,0.13866305742297852,0.0,0.1353711929168021,0.8,0.7601948327162777,1.6,1.7432404467152651,0.8,0.7694837999065772,0.4,0.6768825393007443,0.0,0.08812457443077297,0.4,0.4613087973208174,0.8,0.7601948327162777,0.4,0.32486338203379117,0.8,1.0617462588546622,1.2000000000000002,1.3446545448775746,1.2000000000000002,1.3446545448775746
2020-07,0.0,0.0,0.0,0.15947460862808704,0.0,0.4,0.4,0.6423542817476462,0.8,0.7729174645997027,0.4,0.6031383172101863,1.2000000000000002,1.3038609502561949,0.0,0.1274468861223913,0.0,0.1228441997647024,0.4,0.6031383172101863,1.2000000000000002,1.3038609502561949,0.8,0.9880360884638155,1.2000000000000002,1.4148358868255748,0.4,0.7000000000000001,0.0,0.14737619266383864,0.4,0.6031383172101863,0.4,0.44539926115271034,0.8,0.8379735342993735,1.6,1.7429957162927145,1.6,1.7429957162927145
2020-08,0.0,0.0,0.0,0.07707735522433481,0.4,0.4,0.4,0.6946252371581203,0.4,0.5582970820635693,0.8,1.125188882075156,0.8,0.7197667687311041,0.0,0.22939136116264808,0.0,0.22443806349287634,0.8,1.125188882075156,0.8,0.7197667687311041,0.8,1.0858034387971223,0.8,0.8961204545573314,0.4,0.6745590512048095,0.4,0.7072947900022709,0.8,1.125188882075156,0.0,0.17729887591858023,0.8,1.1897939602993008,0.4,0.6373603325033534,0.4,0.6373603325033534
2020-09,0.0,0.0,0.0,0.1090155054768023,0.0,0.0,0.4,0.641058437039628,0.4,0.46149146223444293,0.8,1.1320075953762188,0.4,0.46149146223444293,0.0,0.1007823746722943,0.0,0.11245157508466702,0.8,1.1320075953762188,0.4,0.46149146223444293,0.4,0.7176065691553717,0.4,0.7729792832475595,0.4,0.5762710242228343,0.4,0.5808992143050208,0.8,1.1320075953762188,0.8,0.9863151728825197,0.8,1.2039898943951841,1.2000000000000002,1.3905730437373203,1.2000000000000002,1.3905730437373203
2020-10,0.0,0.0,0.0,0.05937043864071147,0.0,0.0,0.4,0.5493259395720418,0.4,0.46474968929448535,0.4,0.5145529326745144,0.4,0.46474968929448535,0.0,0.01872924148105308,0.0,0.021800321913678436,0.4,0.5145529326745144,0.4,0.46474968929448535,0.4,0.5622139006397783,0.4,0.5622139006397783,0.4,0.5660213821673448,1.2,1.4435367269588149,0.4,0.5145529326745144,0.4,0.5564302227878024,0.8,1.0928542663161402,1.2000000000000002,1.3720397693698843,1.2000000000000002,1.3720397693698843
