month,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,top_k_next_3m | ObjectiveSpecific[top_k_next_3m][XGBoost light],top_k_next_3m | ObjectiveSpecific[top_k_next_3m][XGBoost light] Calibration Base,top_k_next_3m | ObjectiveSpecific[top_k_next_3m][XGBoost light] Calibrated,top_k_next_3m | ObjectiveSpecific[top_k_next_3m][TabPFN direct],top_k_next_3m | ObjectiveSpecific[top_k_next_3m][TabPFN direct] Calibration Base,top_k_next_6m | ObjectiveSpecific[top_k_next_6m][XGBoost light],top_k_next_6m | ObjectiveSpecific[top_k_next_6m][XGBoost light] Calibration Base,top_k_next_6m | ObjectiveSpecific[top_k_next_6m][XGBoost light] Calibrated,top_k_next_6m | ObjectiveSpecific[top_k_next_6m][TabPFN direct],top_k_next_6m | ObjectiveSpecific[top_k_next_6m][TabPFN direct] Calibration Base
2020-01,-0.007897012049692875,-0.026752069441460594,-0.026752069441460594,-0.013074201282374121,-0.003373770933340003,-0.22682866176103458,-0.1720322786151988,-0.1720322786151988,-0.08820485543702629,-0.16963553603388956,-0.03521015290514956,0.034643777414692795,0.034643777414692795,0.07707321029534485,0.04219982358895215
2020-02,-0.05429648952820629,-0.03428227338153329,-0.03428227338153329,-0.06056405117205072,-0.049821919930828316,0.04459636829497766,-0.007788766846918186,-0.007788766846918186,0.006678805650411919,0.04479636829497766,0.35718495351264534,0.17412271242772753,0.17412271242772753,0.22704263460792884,0.11101035185112229
2020-03,-0.045062874694077326,-0.10221381763513858,-0.10221381763513858,-0.0994270680149832,-0.10221381763513858,0.2469783764073632,0.20404880139315848,0.20404880139315848,0.2943283317017984,0.24623089708832593,0.41383437637705084,0.4099758095112685,0.4099758095112685,0.44094784732889647,0.44094784732889647
2020-04,-0.00032651933878799933,-0.008479898748697456,-0.008479898748697456,0.014126267811877893,0.017449966297059222,0.19388206961620777,0.2339512929039235,0.2339512929039235,0.24427361747942228,0.23244160324594149,0.18789127834180244,0.25632371589397124,0.25632371589397124,0.25883351442273933,0.25883351442273933
2020-05,-0.0183820328369124,-0.0022679301316870233,-0.0022679301316870233,0.007287536252160786,0.0062695079539908175,0.05566201699509843,0.16059319691484195,0.16059319691484195,0.18538623819569236,0.15916581423834625,0.15713092101086132,0.15616803602264862,0.15616803602264862,0.24087778122850984,0.24087778122850984
2020-06,-0.01641625611342943,-0.016989869989765705,-0.016989869989765705,-0.006078911254481678,-0.00802190533359812,-0.013187963411812387,-0.006632927892398202,-0.006632927892398202,0.039742734252898995,0.04293360202355542,0.13292816938701735,0.22127058936710775,0.22127058936710775,0.2389056069541296,0.2049024287139776
2020-07,-0.04667386035263885,-0.047690996376964556,-0.047690996376964556,0.0053230973520083545,-0.001238978364163003,-0.04020274428421666,-0.04040274428421666,-0.04040274428421666,-0.03522396056927464,-0.03523670045146641,0.13994032166555886,0.17687818657748727,0.17687818657748727,0.14366294497755774,0.14386294497755775
2020-08,-0.007792834631623144,-0.007592834631623143,-0.007592834631623143,0.0036571536916848685,-0.0020227467231738617,-0.03170652226408533,-0.03170652226408533,-0.03170652226408533,0.001139325095492838,0.021373039405590565,0.07523433769565264,0.17882711408417104,0.17882711408417104,0.08856519828030993,0.14011750841611834
2020-09,-0.005817311633719013,0.003626649425056352,0.003626649425056352,0.006753012506333092,0.005954238815598357,0.14409778353596353,0.19107233275318947,0.19107233275318947,0.1431272626500074,0.16916618785551624,0.2478100163584168,0.29761837976671435,0.29761837976671435,0.18499474293082502,0.2355101312670442
2020-10,0.04219922904122331,0.042685659948932655,0.042685659948932655,0.0534121848500513,0.024839725243534835,0.17629689630977444,0.21127693153825006,0.21127693153825006,0.1922386054238126,0.21826093215416947,0.3381867905519307,0.35632828387494303,0.35632828387494303,0.2722260886016383,0.30977478392158336
2020-11,0.015859072495625282,0.009772589918276474,0.009772589918276474,0.004552809802238933,0.01507204151943957,0.06739266832531342,0.050539609269656526,0.050539609269656526,0.07450276413132548,0.11047208498213021,0.21674165178897742,0.23597811898278692,0.23597811898278692,0.15754043287078082,0.15627267565917832
2020-12,-0.0022152636463129713,0.005850880207488518,0.005850880207488518,0.019209030768691873,0.014428813632938797,-0.0036598673245941903,0.02723665760075986,0.02723665760075986,0.027479223996108804,-0.003467038071648354,0.17581720273483126,0.14272789886932832,0.14272789886932832,0.08947352188319531,0.11914493111566635
2021-01,-0.03932568148613276,-0.045884084210745364,-0.045884084210745364,-0.024702104126879454,-0.013269554865706738,0.0707061386525265,0.05123999604653324,0.05123999604653324,0.040110785422874676,0.01975330939563255,0.13682677686923428,0.190395136880823,0.190395136880823,0.1957106295654238,0.1971023281219786
2021-02,-0.032696125555345915,-0.04211251858516864,-0.04211251858516864,-0.008864177062327807,-0.04173432241919033,0.07320677719217616,0.0833230184569868,0.0833230184569868,0.05532803870938661,0.05552803870938661,0.10639480113724942,0.09655886207884061,0.09655886207884061,0.13378797423462602,0.15830662974937476
2021-03,-0.005292419087124256,-0.0034470207348819434,-0.0034470207348819434,-0.011480027804293446,-0.02647844542795004,0.036916931861585074,0.03671693186158507,0.03671693186158507,0.08437299290776018,0.07627835377192574,0.027825493571068435,0.03576316017054793,0.03576316017054793,0.09836887590681756,0.07222283118299166
2021-04,0.005943778602737494,0.01654704169787442,0.01654704169787442,-0.016027120887612555,0.023239656170010718,0.03301805961313012,0.03301805961313012,0.03301805961313012,0.02496659372984813,0.025166593729848127,0.01665349526600075,0.0350094817212826,0.0350094817212826,0.10003891555396523,0.09980980761423179
2021-05,-0.037083761643406904,-0.013971060093324916,-0.013971060093324916,-0.03739243554159927,-0.05059051440783156,0.008553582122084988,0.011913731638840467,0.011913731638840467,0.03419433701849315,-0.011873322552879345,0.043899042111783505,0.026087002864714902,0.026087002864714902,0.14603850297792575,0.07878436777489728
2021-06,-0.01125594160357861,-0.0014860724890015666,-0.0014860724890015666,0.010861654978939496,0.005764589934893216,0.009778342755410209,0.008707925021694419,0.008707925021694419,-0.023499945835127333,-0.03434503025268927,0.047156014294907345,0.11105340875828952,0.11105340875828952,0.1261410810950016,0.09608265355679814
2021-07,-0.010302970829459922,-0.021486132308246832,-0.021486132308246832,0.0015089227396951404,-0.009172987018500443,-0.01063439157409907,-0.00028785322343842805,-0.00028785322343842805,0.031957078896931536,0.032157078896931535,-0.025012645414466576,-0.012926161550716153,-0.012926161550716153,0.028798129456405013,-0.022298870942068814
2021-08,0.01919343973021732,-0.004645576357267588,-0.004645576357267588,0.0007187862492699101,0.004150636539131369,-0.03179946768208058,-0.019288735333910578,-0.019288735333910578,0.044838344789985905,0.03440591533075466,0.0022921681587047896,-0.00035575261966900256,-0.00035575261966900256,-0.050799870946591705,0.04962032824238537
2021-09,-0.012278848657172636,0.005605107906490625,0.005605107906490625,0.008764388336256144,0.007491644017401589,0.09995494528534297,0.09975494528534298,0.09975494528534298,0.047926507362770716,0.057533517912460586,0.08270764306983078,0.08270764306983078,0.08270764306983078,0.055422007168919436,0.028115715504011266
2021-10,-0.024354644385737714,-0.024554644385737713,-0.024554644385737713,0.010531660795574152,0.0032106103546798003,-0.007176781579627601,-0.015085031724976087,-0.015085031724976087,0.024345804632518363,-0.015396696664739374,0.004304564010228269,0.004304564010228269,0.004304564010228269,-0.08867502322192575,-0.1428632975088354
2021-11,0.04355976311663434,0.017917250654276032,0.017917250654276032,-0.010921328858719794,-0.023193343144018396,0.03835909334441252,0.006319133629370845,0.006319133629370845,0.08421940888596713,0.08401940888596712,0.0011960304984209404,-0.04497921482329362,-0.04497921482329362,-0.13249531642957943,-0.03518962583360702
2021-12,0.030210929920463012,0.030210929920463012,0.030210929920463012,-0.007360112830034503,0.017951094954361164,-0.012464509360101371,0.07892685892103045,0.07892685892103045,0.06756902657423834,0.06597350988255016,-0.1160716157466927,-0.15375143350774767,-0.15375143350774767,-0.15590469360659076,-0.2497449176942332
2022-01,0.003986152859069026,0.004272983133517672,0.004272983133517672,0.02961570925487589,-0.003076055798715971,-0.018159434094791926,-0.03600417545424326,-0.03600417545424326,-0.07779364872477526,-0.0864854610082518,-0.03633514020403871,-0.06007640076951982,-0.06007640076951982,-0.11040043098830264,-0.10999385557998989
2022-02,0.005993871536039609,-0.003733986745793438,-0.003733986745793438,0.0031867299820216295,-0.00494180048720796,-0.061250286657794056,-0.048704809359850956,-0.048704809359850956,-0.09005267151444336,-0.09811869847499946,-0.11324825413299179,-0.148997505536938,-0.148997505536938,-0.15410625755282398,-0.17404643233364261
2022-03,0.07786200213666976,0.045187906836101875,0.045187906836101875,0.05225885185984745,0.037443944655921935,-0.12998760595166522,-0.160458142987956,-0.160458142987956,-0.1918932081948095,-0.13359562995467117,-0.13429027743606478,-0.13891171856283455,-0.13891171856283455,-0.20968587767041577,-0.17969730419887922
2022-04,0.011140657186611946,0.017031082276008292,0.017031082276008292,-0.0020728343178106224,-0.011169807580841962,-0.018366255185776767,-0.018166255185776768,-0.018166255185776768,-0.023617608040952563,-0.02381760804095256,-0.08370153412220097,-0.11605831177571457,-0.11605831177571457,-0.0991173631682606,-0.09209204606021777
2022-05,0.006190763865611726,-0.004217910243478951,-0.004217910243478951,0.01753535274485336,0.01753535274485336,-0.0741196354077089,-0.06551535135804398,-0.06551535135804398,-0.07391963540770889,-0.09179470433889599,-0.040360222861296036,-0.037142775269476805,-0.037142775269476805,-0.02885150644784982,-0.029051506447849818
2022-06,0.02256415364151514,0.011173055706321034,0.011173055706321034,0.03733264436405448,-0.009855662497835605,-0.024788661303114787,-0.024091587877647716,-0.024091587877647716,-0.019487482873463045,-0.0045407833224472725,0.01855609214733145,0.03611338451952861,0.03611338451952861,0.03631338451952861,0.03631338451952861
2022-07,-0.003945634680902521,-0.005371503103271678,-0.005371503103271678,0.0089506600487286,3.479551530274357e-05,-0.05347073265683758,-0.06788063510309851,-0.06788063510309851,-0.07610757103677791,0.002828845393987621,0.02641942935310553,0.01888096172940506,0.01888096172940506,0.013480827803984276,0.013480827803984276
2022-08,-0.016659296993300425,-0.013012729938671109,-0.013012729938671109,-0.0022194494349069287,-0.0026194494349069284,0.0659182051126256,0.05891253582301434,0.05891253582301434,0.0993316710159113,0.0993316710159113,0.0432040111617432,0.0434040111617432,0.0434040111617432,0.0436040111617432,0.0436040111617432
2022-09,0.011836113755399256,-0.017864967172270128,-0.017864967172270128,-0.0009727432619543343,-0.0010805582849016337,0.06099882260758791,0.08607777840936898,0.08607777840936898,0.05729426495886288,0.10980332971279527,0.15794043587318035,0.172073560633673,0.172073560633673,0.1736892754292857,0.1736892754292857
2022-10,0.020588231340354902,0.005595675437480187,0.005595675437480187,-0.024981102468557802,-0.007355940131675109,0.10303620656224163,0.11257508167315466,0.11257508167315466,0.09492254105602835,0.08951269100829981,0.13610039933961882,0.11424033854083869,0.11424033854083869,0.16684542323057733,0.16684542323057733
2022-11,-0.0006297087525606092,0.004722558499538889,0.004722558499538889,-0.006978643758804527,0.00022789017785440553,-0.04045620039425973,-0.03141029336260928,-0.03141029336260928,-0.009224142327123722,-0.023078861737783354,0.11473723428213144,0.05975588296443829,0.05975588296443829,0.11493723428213144,0.11493723428213144
2022-12,0.01893941472148604,-0.008968692429319082,-0.008968692429319082,-0.015347558351464242,0.007311881233148212,0.07606470444564677,0.07025337302928647,0.07025337302928647,0.11594628869974295,0.11574628869974295,0.15547049910579921,0.09404004644840325,0.09404004644840325,0.21530435518601454,0.16361925360624627
2023-01,-0.008992165868698268,-0.028047044832623727,-0.028047044832623727,-0.002728133243634966,-0.00945369109933072,0.04887172238211934,0.03716798025029235,0.03716798025029235,0.06535679413875287,0.0554249342832855,0.16973840744574875,0.10741657120714973,0.10741657120714973,0.1634987025536307,0.16993840744574876
2023-02,0.011381670312802706,0.01635739959304681,0.01635739959304681,-0.02593319994003254,-0.018892941863587365,0.07027423457074182,0.06617449371814431,0.06617449371814431,0.12522988048227576,0.1009057820316793,0.16476376212234572,0.1691107753513604,0.1691107753513604,0.20417352801346234,0.20397352801346233
2023-03,-0.013502818919056225,-0.015444249077077156,-0.015444249077077156,-0.012600716738107231,-0.02677265751344735,0.012541206960525922,-0.013149556990442578,-0.013149556990442578,-0.02514891640744581,-0.0028281182965499466,-0.007707531359637088,-0.013638961405424734,-0.013638961405424734,0.02665758837797954,0.03951782954190555
2023-04,-0.02532472882097496,-0.005898908708277674,-0.005898908708277674,0.015313254306131972,-0.029837234854248076,0.03329614131051056,0.028697465201008687,0.028697465201008687,0.015874397496023887,0.03927098759725722,-0.03904221365464832,-0.020739765146445554,-0.020739765146445554,0.0009754519707757103,-0.0005928225045033203
2023-05,-0.01553721586860135,-0.01233992339454313,-0.01233992339454313,0.014711950008338184,0.014711950008338184,0.0769591427358908,0.0771591427358908,0.0771591427358908,0.04026104420365755,0.07873848687234028,0.07057794443811988,0.06787206976900764,0.06787206976900764,0.0592007622965876,0.09519403833811045
2023-06,-0.010564085833968393,-0.009881770640245757,-0.009881770640245757,0.007607660101325609,0.007607660101325609,-0.04844162762037761,-0.04844162762037761,-0.04844162762037761,-0.08255102182539986,-0.03262518666917807,0.04729398055469021,0.03549093386557822,0.03549093386557822,0.06589928851997906,0.050422720368619084
2023-07,-0.004385172842154738,-0.004612522036169419,-0.004612522036169419,-0.013645899963738372,-0.011538094830171474,-0.04876139468673649,-0.05966279062329532,-0.05966279062329532,-0.08107745888228665,-0.042957838725747544,-0.009673701105416007,-0.004208003905545695,-0.004208003905545695,0.042986197164748656,0.032566959256622764
2023-08,1.4958838709744425e-05,-0.0029648186103198525,-0.0029648186103198525,0.010648754119849804,0.004682585347289426,0.029038748330264035,0.027910634626597375,0.027910634626597375,0.010939484995837011,0.014748879733574327,-0.002278179188157203,-0.011332277407178638,-0.011332277407178638,0.039607361257414535,0.06750150328447173
2023-09,-0.010554797376204773,-0.013598293531271179,-0.013598293531271179,-0.018566740697074577,-0.012379798081724737,0.1273258421066918,0.1275258421066918,0.1275258421066918,0.11702027901394084,0.11269903104499532,0.15991750899490492,0.16539000308034202,0.16539000308034202,0.21530732547100265,0.1456664202516988
2023-10,0.02075686132046355,0.01015176567271028,0.01015176567271028,0.019149485514015185,0.013136501318590434,0.12616333753839534,0.11249749662047175,0.11249749662047175,0.10707036859016442,0.03266076128692465,0.12968822396714894,0.1296946025263991,0.1296946025263991,0.1646228724276036,0.17418163963918426
2023-11,-0.0017177989081949233,0.020674164194103953,0.020674164194103953,0.019845529191752555,0.02855444935195315,0.02105209724625663,0.032056951195559666,0.032056951195559666,0.0510163682183618,0.009822831633410602,0.09264336871585588,0.09284336871585587,0.09284336871585587,0.11396893868367867,0.14566604575219114
2023-12,-0.042022055153497065,-0.05227777562360008,-0.05227777562360008,-0.0376342102409575,-0.022937435547863226,0.034019229592832025,0.06824089804582008,0.06824089804582008,0.08238119920691733,0.08388942654933795,0.07096825204903157,0.06215068120743035,0.06215068120743035,0.10206225024514783,0.15208745554263386
2024-01,-0.00392407994811066,-0.003571552518886678,-0.003571552518886678,-0.010322133442931558,-0.0022268305847081182,0.028150149272716238,0.02770958421960685,0.02770958421960685,0.03521797645466845,0.09026509214669401,0.12338925120169932,0.1044880220170248,0.1044880220170248,0.15515181088121235,0.08771124625888102
2024-02,-0.021395567442464982,-0.012417337003710349,-0.012417337003710349,0.002322837409037048,-0.012499033058620391,0.029012393284005598,0.08493070176375273,0.08493070176375273,0.0796426869978642,0.12805484324331565,0.11664962414310454,0.10881251777624676,0.10881251777624676,0.14341824389626578,0.07515513507070304
2024-03,-0.004632399418406164,-0.010883406584630008,-0.010883406584630008,-0.025618763708665317,-0.023980644091422754,0.02967822874402644,0.034045868987593486,0.034045868987593486,0.04782180148083644,0.07291759515731566,0.11981690247943623,0.11842869140118757,0.11842869140118757,0.11942853316756319,0.09537843206682922
2024-04,-0.01310049222076437,-0.010961178659820625,-0.010961178659820625,-0.019882505913473694,-0.007141761523470437,0.050793211465277335,0.05570908965647002,0.05570908965647002,0.09634637685677261,0.05058806575828614,0.17950157937864725,0.13159614154124807,0.13159614154124807,0.17011871203309778,0.17537340144362656
2024-05,-0.025516643351444435,-0.013986422696210222,-0.013986422696210222,-0.009137994572433406,-0.026973465895381812,0.022842852905922473,0.03096829263927614,0.03096829263927614,0.0418634842756327,0.01189099958619073,0.11841676930026099,0.08072447224116693,0.08072447224116693,0.12898297301712372,0.06349198156348868
2024-06,0.014275921573290915,0.0035660740253148147,0.0035660740253148147,0.0069848436647440785,0.025620613508063973,0.05537214469663252,0.0514190225615464,0.0514190225615464,0.08135662916195975,0.0353095160307007,0.07230343291544582,0.07308480641921007,0.07308480641921007,0.09553972975534852,0.043613346266455195
