month,rows,positive_rows,mean_forward_return
2006-01,23,5,-0.0004173363288634317
2006-02,23,5,0.017171948105436617
2006-03,24,5,0.017733651679307846
2006-04,24,5,-0.036406195525137956
2006-05,24,5,0.008328284793841664
2006-06,24,5,0.0028600768018610715
2006-07,24,5,0.028524561866937855
2006-08,24,5,0.0015552433558443473
2006-09,24,5,0.04152124733109649
2006-10,24,5,0.030676073075559473
2006-11,24,5,0.003334031761329829
2006-12,24,5,0.019408280437856057
2007-01,24,5,-0.015181353566380304
2007-02,24,5,0.01604756085929498
2007-03,25,5,0.028197807999861036
2007-04,25,5,0.02141024831656971
2007-05,25,5,-0.016878017239954267
2007-06,25,5,-0.024955997757479823
2007-07,25,5,0.016601479468609175
2007-08,25,5,0.049190512787507676
2007-09,25,5,0.0169087460621684
2007-10,25,5,-0.017748278137568664
2007-11,25,5,-0.0011404947931969423
2007-12,25,5,-0.023064293108049708
2008-01,25,5,-0.005313770933786057
2008-02,25,5,0.0009763658093962757
2008-03,25,5,0.027378426961942544
2008-04,25,5,0.014455017240923781
2008-05,25,5,-0.05293477455316605
2008-06,25,5,-0.001209803040496915
2008-07,25,5,-0.008036356539843493
2008-08,25,5,-0.07629623144547265
2008-09,25,5,-0.15949418024746528
2008-10,25,5,-0.07269377197778823
2008-11,25,5,0.07843091731969543
2008-12,25,5,-0.07981759206088183
2009-01,25,5,-0.08419461224491519
2009-02,25,5,0.06812917935322574
2009-03,25,5,0.10165235468282503
2009-04,25,5,0.0739414478330288
2009-05,25,5,-0.015238819736752417
2009-06,25,5,0.07263522872326493
2009-07,25,5,0.01687821946473851
2009-08,25,5,0.043685141395866406
2009-09,25,5,-0.010696185242984413
2009-10,25,5,0.06204886599407141
2009-11,25,5,0.0137897146665156
2009-12,25,5,-0.03776587499371517
2010-01,25,5,0.025263270238474664
2010-02,25,5,0.050476690993368115
2010-03,25,5,0.021173608730188694
2010-04,25,5,-0.06282755011150547
2010-05,25,5,-0.02135198865986164
2010-06,25,5,0.06943501505648002
2010-07,25,5,-0.01865760785084173
2010-08,25,5,0.06577398983465103
2010-09,25,5,0.03411964691824953
2010-10,25,5,0.006472680578850923
2010-11,25,5,0.04458684463598713
2010-12,25,5,0.006535438005611751
2011-01,25,5,0.03470281933821963
2011-02,25,5,0.009535731732135027
2011-03,25,5,0.040366287541567854
2011-04,25,5,-0.016172011115954635
2011-05,25,5,-0.01827201016896351
2011-06,25,5,0.01362820034959491
2011-07,25,5,-0.03427840354971023
2011-08,25,5,-0.0801131462657634
2011-09,25,5,0.07191314465232868
2011-10,25,5,0.013517431989792326
2011-11,25,5,0.015369294703642029
2011-12,25,5,0.04351347255100636
2012-01,25,5,0.020301642483398212
2012-02,25,5,0.007478338982847506
2012-03,25,5,0.0007382214948250665
2012-04,25,5,-0.05899517373838146
2012-05,25,5,0.04494657424800048
2012-06,25,5,0.015246898492327495
2012-07,25,5,0.020006173085820297
2012-08,25,5,0.02386075434488309
2012-09,25,5,-0.01644219772194995
2012-10,25,5,0.008316300370111836
2012-11,25,5,0.018110408478620315
2012-12,25,5,0.023058154282193585
2013-01,25,5,-0.008923708631137077
2013-02,25,5,0.025250059355334437
2013-03,25,5,0.008412494351029936
2013-04,25,5,-0.004981467540875868
2013-05,25,5,-0.024334707542736988
2013-06,25,5,0.036038160946689636
2013-07,25,5,-0.009297061778216941
2013-08,25,5,0.0123444004619801
2013-09,25,5,0.03406601652664505
2013-10,25,5,0.0006257314845160211
2013-11,25,5,0.010695944083898193
2013-12,25,5,-0.013862955344633145
2014-01,25,5,0.03903508353904013
2014-02,25,5,0.00696568891916018
2014-03,25,5,0.00518799776043295
2014-04,25,5,0.0164701458746283
2014-05,25,5,0.024274677965906714
2014-06,25,5,-0.01952968924877861
2014-07,25,5,0.026982411847498913
2014-08,25,5,-0.030233289650615718
2014-09,25,5,0.01941989965992928
2014-10,25,5,0.009119138121776756
2014-11,25,5,-0.0008729049854959703
2014-12,25,5,0.004006343181028025
2015-01,25,5,0.02184161310271492
2015-02,25,5,-0.009016503629101301
2015-03,25,5,0.003749998004452273
2015-04,25,5,0.004692614489283642
2015-05,25,5,-0.02304525334680264
2015-06,25,5,-0.002110676600256256
2015-07,25,5,-0.054438932033744045
2015-08,25,5,0.000487776082307847
2015-09,25,5,0.05486645235129448
2015-10,25,5,-0.006928435652944325
2015-11,25,5,-0.02828907707624638
2015-12,25,5,-0.02605076922113718
2016-01,25,5,0.020605213418632477
2016-02,25,5,0.04364470407651543
2016-03,25,5,0.027192295381168973
2016-04,25,5,-0.0019716528255429733
2016-05,25,5,0.034738781337796676
2016-06,25,5,0.023833984154510032
2016-07,25,5,-0.005924383566220532
2016-08,25,5,0.0031926712249042578
2016-09,25,5,-0.01826416971381777
2016-10,25,5,0.004122469327508082
2016-11,25,5,0.02086711963255038
2016-12,25,5,0.01649586307510094
2017-01,25,5,0.029477646167174756
2017-02,25,5,-0.002676460964564131
2017-03,25,5,0.007472373313191296
2017-04,25,5,0.007954922000897592
2017-05,25,5,0.004309292008526779
2017-06,25,5,0.019065839771010094
2017-07,25,5,0.007004001345943145
2017-08,25,5,0.007608325923995545
2017-09,25,5,0.018808662567432206
2017-10,25,5,0.014261232355181525
2017-11,25,5,0.015455049749586825
2017-12,25,5,0.02139613758930581
2018-01,25,5,-0.03704489963779191
2018-02,25,5,-0.004552230051418569
2018-03,25,5,0.002289898818431553
2018-04,25,5,0.019812399225860734
2018-05,25,5,-0.005640191061034691
2018-06,25,5,0.021385562605511988
2018-07,25,5,0.008831032687561913
2018-08,25,5,0.005639781073758545
2018-09,25,5,-0.04687346161851614
2018-10,25,5,0.02175991534301079
2018-11,25,5,-0.06980644580848909
2018-12,25,5,0.07806338693150583
2019-01,25,5,0.021543347031132046
2019-02,25,5,0.016645345662241847
2019-03,25,5,0.015699569081849492
2019-04,25,5,-0.03643853479490926
2019-05,25,5,0.060205479334550116
2019-06,25,5,-0.0011611816915096807
2019-07,25,5,0.002745316719926154
2019-08,25,5,0.014529138597561114
2019-09,25,5,0.018755393553232396
2019-10,25,5,0.007860201265886428
2019-11,25,5,0.03226637546180773
2019-12,25,5,-0.007595580649954013
2020-01,25,5,-0.054048529927951616
2020-02,25,5,-0.144853973591291
2020-03,25,5,0.10528199762534535
2020-04,25,5,0.05812332666708572
2020-05,25,5,0.019992684806599163
2020-06,25,5,0.05777398842837513
2020-07,25,5,0.036529742066458
2020-08,25,5,-0.027170320929438132
2020-09,25,5,-0.01036528349849676
2020-10,25,5,0.08653827865221966
2020-11,25,5,0.034227788499490146
2020-12,25,5,0.0018480658552711394
2021-01,25,5,0.018249915477434556
2021-02,25,5,0.02019939166907704
2021-03,25,5,0.03918020186283756
2021-04,25,5,0.019048183223282264
2021-05,25,5,0.003434835956347926
2021-06,25,5,0.009919235951926942
2021-07,25,5,0.010399580419744958
2021-08,25,5,-0.029154407226359143
2021-09,25,5,0.048540064778787195
2021-10,25,5,-0.011524008669717421
2021-11,25,5,0.030873413268752748
2021-12,25,5,-0.028729881341377026
2022-01,25,5,-0.0089694777050356
2022-02,25,5,0.025654971260474682
2022-03,25,5,-0.059535586650356125
2022-04,25,5,0.010536842747959452
2022-05,25,5,-0.07287346936361745
2022-06,25,5,0.05655602416142594
2022-07,25,5,-0.03955625578342088
2022-08,25,5,-0.056923897344339495
2022-09,25,5,0.05320743137922002
2022-10,25,5,0.05679527962457159
2022-11,25,5,-0.030486299292534186
2022-12,25,5,0.0453518351253069
2023-01,25,5,-0.036788564173675604
2023-02,25,5,0.02800888677347048
2023-03,25,5,0.008176761269779696
2023-04,25,5,-0.022281771653133033
2023-05,25,5,0.04213858010973293
2023-06,25,5,0.024872318996855575
2023-07,25,5,-0.011716276714760401
2023-08,25,5,-0.05200131419392319
2023-09,25,5,-0.014257824729759769
2023-10,25,5,0.07028742850054791
2023-11,25,5,0.03833103377245285
2023-12,25,5,-0.0016680486093222412
2024-01,25,5,0.02200748883192737
2024-02,25,5,0.03547267737362383
2024-03,25,5,-0.03038393883022008
2024-04,25,5,0.03858234625200459
2024-05,25,5,0.005875100185899931
2024-06,25,5,0.030199185187228198
2024-07,25,5,0.013461795615944249
2024-08,25,5,0.030435552168564348
2024-09,25,5,-0.010666001655943193
2024-10,25,5,0.02855067300702422
2024-11,25,5,-0.03755688634105421
2024-12,25,5,0.016857356906338605
2025-01,25,5,0.018716185390149017
2025-02,25,5,-0.01761580618567086
2025-03,25,5,-0.011693638258600982
2025-04,25,5,0.028813096568311162
2025-05,25,5,0.030568332693022202
2025-06,25,5,0.006917584034977073
2025-07,25,5,0.021690475095598908
2025-08,25,5,0.03573151554994267
2025-09,25,5,0.011074812126935951
2025-10,25,5,0.013984383017208932
2025-11,25,5,0.020344472514725546
2025-12,25,5,0.030385954668528285
2026-01,25,5,0.03269640805459751
2026-02,25,5,-0.036566787634927475
2026-03,25,5,0.05167545879192893
