month,asset,weight,Strategy
2020-02,EEM,0.04,Equal weight universe
2020-03,EEM,0.04,Equal weight universe
2020-04,EEM,0.04,Equal weight universe
2020-05,EEM,0.04,Equal weight universe
2020-06,EEM,0.04,Equal weight universe
2020-07,EEM,0.04,Equal weight universe
2020-08,EEM,0.04,Equal weight universe
2020-09,EEM,0.04,Equal weight universe
2020-10,EEM,0.04,Equal weight universe
2020-11,EEM,0.04,Equal weight universe
2020-12,EEM,0.04,Equal weight universe
2021-01,EEM,0.04,Equal weight universe
2021-02,EEM,0.04,Equal weight universe
2021-03,EEM,0.04,Equal weight universe
2021-04,EEM,0.04,Equal weight universe
2021-05,EEM,0.04,Equal weight universe
2021-06,EEM,0.04,Equal weight universe
2021-07,EEM,0.04,Equal weight universe
2021-08,EEM,0.04,Equal weight universe
2021-09,EEM,0.04,Equal weight universe
2021-10,EEM,0.04,Equal weight universe
2021-11,EEM,0.04,Equal weight universe
2021-12,EEM,0.04,Equal weight universe
2022-01,EEM,0.04,Equal weight universe
2022-02,EEM,0.04,Equal weight universe
2022-03,EEM,0.04,Equal weight universe
2022-04,EEM,0.04,Equal weight universe
2022-05,EEM,0.04,Equal weight universe
2022-06,EEM,0.04,Equal weight universe
2022-07,EEM,0.04,Equal weight universe
2022-08,EEM,0.04,Equal weight universe
2022-09,EEM,0.04,Equal weight universe
2022-10,EEM,0.04,Equal weight universe
2022-11,EEM,0.04,Equal weight universe
2022-12,EEM,0.04,Equal weight universe
2023-01,EEM,0.04,Equal weight universe
2023-02,EEM,0.04,Equal weight universe
2023-03,EEM,0.04,Equal weight universe
2023-04,EEM,0.04,Equal weight universe
2023-05,EEM,0.04,Equal weight universe
2023-06,EEM,0.04,Equal weight universe
2023-07,EEM,0.04,Equal weight universe
2023-08,EEM,0.04,Equal weight universe
2023-09,EEM,0.04,Equal weight universe
2023-10,EEM,0.04,Equal weight universe
2023-11,EEM,0.04,Equal weight universe
2023-12,EEM,0.04,Equal weight universe
2024-01,EEM,0.04,Equal weight universe
2024-02,EEM,0.04,Equal weight universe
2024-03,EEM,0.04,Equal weight universe
2024-04,EEM,0.04,Equal weight universe
2024-05,EEM,0.04,Equal weight universe
2024-06,EEM,0.04,Equal weight universe
2024-07,EEM,0.04,Equal weight universe
2024-08,EEM,0.04,Equal weight universe
2024-09,EEM,0.04,Equal weight universe
2024-10,EEM,0.04,Equal weight universe
2024-11,EEM,0.04,Equal weight universe
2024-12,EEM,0.04,Equal weight universe
2025-01,EEM,0.04,Equal weight universe
2025-02,EEM,0.04,Equal weight universe
2025-03,EEM,0.04,Equal weight universe
2025-04,EEM,0.04,Equal weight universe
2025-05,EEM,0.04,Equal weight universe
2025-06,EEM,0.04,Equal weight universe
2025-07,EEM,0.04,Equal weight universe
2025-08,EEM,0.04,Equal weight universe
2025-09,EEM,0.04,Equal weight universe
2025-10,EEM,0.04,Equal weight universe
2025-11,EEM,0.04,Equal weight universe
2025-12,EEM,0.04,Equal weight universe
2026-01,EEM,0.04,Equal weight universe
2026-02,EEM,0.04,Equal weight universe
2026-03,EEM,0.04,Equal weight universe
2020-01,EFA,0.04,Equal weight universe
2020-02,EFA,0.04,Equal weight universe
2020-03,EFA,0.04,Equal weight universe
2020-04,EFA,0.04,Equal weight universe
2020-05,EFA,0.04,Equal weight universe
2020-06,EFA,0.04,Equal weight universe
2020-07,EFA,0.04,Equal weight universe
2020-08,EFA,0.04,Equal weight universe
2020-09,EFA,0.04,Equal weight universe
2020-10,EFA,0.04,Equal weight universe
2020-11,EFA,0.04,Equal weight universe
2020-12,EFA,0.04,Equal weight universe
2021-01,EFA,0.04,Equal weight universe
2021-02,EFA,0.04,Equal weight universe
2021-03,EFA,0.04,Equal weight universe
2021-04,EFA,0.04,Equal weight universe
2021-05,EFA,0.04,Equal weight universe
2021-06,EFA,0.04,Equal weight universe
2021-07,EFA,0.04,Equal weight universe
2021-08,EFA,0.04,Equal weight universe
2021-09,EFA,0.04,Equal weight universe
2021-10,EFA,0.04,Equal weight universe
2021-11,EFA,0.04,Equal weight universe
2021-12,EFA,0.04,Equal weight universe
2022-01,EFA,0.04,Equal weight universe
2022-02,EFA,0.04,Equal weight universe
2022-03,EFA,0.04,Equal weight universe
2022-04,EFA,0.04,Equal weight universe
2022-05,EFA,0.04,Equal weight universe
2022-06,EFA,0.04,Equal weight universe
2022-07,EFA,0.04,Equal weight universe
2022-08,EFA,0.04,Equal weight universe
2022-09,EFA,0.04,Equal weight universe
2022-10,EFA,0.04,Equal weight universe
2022-11,EFA,0.04,Equal weight universe
2022-12,EFA,0.04,Equal weight universe
2023-01,EFA,0.04,Equal weight universe
2023-02,EFA,0.04,Equal weight universe
2023-03,EFA,0.04,Equal weight universe
2023-04,EFA,0.04,Equal weight universe
2023-05,EFA,0.04,Equal weight universe
2023-06,EFA,0.04,Equal weight universe
2023-07,EFA,0.04,Equal weight universe
2023-08,EFA,0.04,Equal weight universe
2023-09,EFA,0.04,Equal weight universe
2023-10,EFA,0.04,Equal weight universe
2023-11,EFA,0.04,Equal weight universe
2023-12,EFA,0.04,Equal weight universe
2024-01,EFA,0.04,Equal weight universe
2024-02,EFA,0.04,Equal weight universe
2024-03,EFA,0.04,Equal weight universe
2024-04,EFA,0.04,Equal weight universe
2024-05,EFA,0.04,Equal weight universe
2024-06,EFA,0.04,Equal weight universe
2024-07,EFA,0.04,Equal weight universe
2024-08,EFA,0.04,Equal weight universe
2024-09,EFA,0.04,Equal weight universe
2024-10,EFA,0.04,Equal weight universe
2024-11,EFA,0.04,Equal weight universe
2024-12,EFA,0.04,Equal weight universe
2025-01,EFA,0.04,Equal weight universe
2025-02,EFA,0.04,Equal weight universe
2025-03,EFA,0.04,Equal weight universe
