date,Buy and hold SPY,Rule[SPY Garman-Klass realized volatility 20d],Rule[SPY Parkinson realized volatility 20d],Rule[SPY realized volatility 20d],Rule[VIX close],Rule[VIX z-score 252d],Rule[VIX/realized volatility gap 20d],TabICL[Direct all-history] Calibration Base,TabPFN[Direct all-history] Calibration Base,XGBoost[Raw all-history incumbent] Calibrated,XGBoost[Raw all-history incumbent] Calibration Base
2020-01-02,-0.007572032163045361,-0.007572032163045361,-0.007572032163045361,-0.007572032163045361,-0.007572032163045361,-0.007572032163045361,-0.007572032163045361,-0.007572032163045361,-0.007572032163045361,-0.007572032163045361,-0.007572032163045361
2020-01-03,0.003814902647065077,0.003814902647065077,0.003814902647065077,0.003814902647065077,0.003814902647065077,0.003814902647065077,0.0018574513235325386,0.003814902647065077,0.003814902647065077,0.0018574513235325386,0.0018574513235325386
2020-01-06,-0.0028116100540674926,-0.0028116100540674926,-0.0028116100540674926,-0.0028116100540674926,-0.0028116100540674926,-0.0028116100540674926,-0.0014058050270337463,-0.0028116100540674926,-0.0028116100540674926,-0.0014058050270337463,-0.0014058050270337463
2020-01-07,0.005329380110469906,0.005329380110469906,0.005329380110469906,0.005329380110469906,0.005329380110469906,0.005329380110469906,0.002664690055234953,0.005329380110469906,0.005329380110469906,0.002664690055234953,0.002664690055234953
2020-01-08,0.006780462781663221,0.006780462781663221,0.006780462781663221,0.006780462781663221,0.006780462781663221,0.006780462781663221,0.0033902313908316106,0.006780462781663221,0.006780462781663221,0.0067304627816632216,0.0067304627816632216
2020-01-09,-0.0028776084076708175,-0.0028776084076708175,-0.0028776084076708175,-0.0028776084076708175,-0.0028776084076708175,-0.0028776084076708175,-0.0029276084076708176,-0.0028776084076708175,-0.0028776084076708175,-0.0028776084076708175,-0.0028776084076708175
2020-01-10,0.006877265448830716,0.006877265448830716,0.006877265448830716,0.006877265448830716,0.006877265448830716,0.006877265448830716,0.006877265448830716,0.006877265448830716,0.006877265448830716,0.003388632724415358,0.003388632724415358
2020-01-13,-0.001524744151719326,-0.001524744151719326,-0.001524744151719326,-0.001524744151719326,-0.001524744151719326,-0.001524744151719326,-0.001524744151719326,-0.001524744151719326,-0.001524744151719326,-0.001574744151719326,-0.001574744151719326
2020-01-14,0.0022600143386135585,0.0022600143386135585,0.0022600143386135585,0.0022600143386135585,0.0022600143386135585,0.0022600143386135585,0.0022600143386135585,0.0022600143386135585,0.0022600143386135585,0.0010800071693067793,0.0010800071693067793
2020-01-15,0.008318603934878599,0.008318603934878599,0.008318603934878599,0.008318603934878599,0.008318603934878599,0.008318603934878599,0.008318603934878599,0.008318603934878599,0.008318603934878599,0.0041593019674392995,0.0041593019674392995
2020-01-16,0.0031121321182832062,0.0031121321182832062,0.0031121321182832062,0.0031121321182832062,0.0031121321182832062,0.0031121321182832062,0.0031121321182832062,0.0031121321182832062,0.0031121321182832062,0.003062132118283206,0.003062132118283206
2020-01-17,-0.00195816183279518,-0.00195816183279518,-0.00195816183279518,-0.00195816183279518,-0.00195816183279518,-0.00195816183279518,-0.00195816183279518,-0.00195816183279518,-0.00195816183279518,-0.00195816183279518,-0.00195816183279518
2020-01-21,0.00012095579267379364,0.00012095579267379364,0.00012095579267379364,0.00012095579267379364,0.00012095579267379364,0.00012095579267379364,0.00012095579267379364,0.00012095579267379364,0.00012095579267379364,1.0477896336896817e-05,1.0477896336896817e-05
