CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Weight,Annualized Turnover,Total Transaction Cost,Final Equity,Model,Threshold Source,Risk Action Rate in Holdout,Calibration Score Threshold,Target Action Rate,High-Risk Weight
0.09968943847191558,0.1298839617925146,0.7967931100071456,1.0388068819013176,-0.19941678247757466,0.7778485041374921,5.694462126034373,0.00355,1.8083511125669878,TabPFN[Direct all-history] Calibration Base,calibration_window_score_quantile,0.4443029917250159,0.08039341419935228,0.2,0.5
0.08776341476274552,0.12369799306846548,0.7421043065525782,0.9669373895733899,-0.19941678247757466,0.7485677912157861,9.383831954169318,0.005850000000000001,1.689508525081351,Rule[VIX close],calibration_window_score_quantile,0.5028644175684277,19.058,0.2,0.5
0.0974231465626676,0.13316495030504488,0.7649196379230939,1.0016670157131426,-0.199416782477575,0.8033099936346276,7.6995544239338,0.0048000000000000004,1.7852431111558709,TabICL[Direct all-history] Calibration Base,calibration_window_score_quantile,0.39338001273074474,0.13043709993362432,0.2,0.5
0.08838645585169136,0.12508327003168512,0.7398311385539179,0.9584819900257024,-0.21173245508737315,0.7148313176320815,8.902609802673457,0.00555,1.6955503663430747,XGBoost[Raw all-history incumbent] Calibrated,calibration_window_score_quantile,0.5703373647358371,0.21544890970906674,0.2,0.5
0.08838645585169136,0.12508327003168512,0.7398311385539179,0.9584819900257024,-0.21173245508737315,0.7148313176320815,8.902609802673457,0.00555,1.6955503663430747,XGBoost[Raw all-history incumbent] Calibration Base,calibration_window_score_quantile,0.5703373647358371,0.036748678982257844,0.2,0.5
0.11735867422974966,0.15297670928468585,0.802259192379185,1.0278133871096686,-0.23125939771984472,0.8965626989178866,3.2081476766390833,0.002,1.9972793795733763,Rule[SPY realized volatility 20d],calibration_window_score_quantile,0.2068746021642266,0.2081305457900913,0.2,0.5
0.10014860839324835,0.1464524987232353,0.7252346447778508,0.935127416498407,-0.23125939771984472,0.8736473583704647,1.7644812221514958,0.0011,1.8130634498927054,Rule[SPY Parkinson realized volatility 20d],calibration_window_score_quantile,0.25270528325907066,0.15945037751815133,0.2,0.5
0.08335508651370427,0.1440969822503598,0.6279427622205761,0.7983377909324212,-0.23125939771984472,0.8583704646721834,2.085295989815404,0.0013,1.6472736416848455,Rule[SPY Garman-Klass realized volatility 20d],calibration_window_score_quantile,0.2832590706556333,0.1530707295595797,0.2,0.5
0.12646639567069817,0.1575561493929531,0.8349128162906365,1.1070930373045629,-0.2569308139782065,0.9204328453214513,6.095480585614259,0.0038,2.100961426798555,Rule[VIX z-score 252d],calibration_window_score_quantile,0.15913430935709738,1.014863822415466,0.2,0.5
0.1364241997302056,0.20518853773208146,0.7262494952630237,0.8969257090588388,-0.33717277905478005,1.0,0.0,0.0,2.2194550982110983,Buy and hold SPY,none,0.0,,0.0,1.0
0.08731600920082627,0.17646105181755886,0.563218403532143,0.6560634934713335,-0.3386206278814644,0.8360916613621897,12.511775938892425,0.007800000000000001,1.6851810407933092,Rule[VIX/realized volatility gap 20d],calibration_window_score_quantile,0.32781667727562064,0.0619741257656649,0.2,0.5
