date,Buy and hold SPY,Rule[SPY Garman-Klass realized volatility 20d],Rule[SPY Parkinson realized volatility 20d],Rule[SPY realized volatility 20d],Rule[VIX close],Rule[VIX z-score 252d],Rule[VIX/realized volatility gap 20d],TabICL[Direct all-history] Calibration Base,TabPFN[Direct all-history] Calibration Base,XGBoost[Raw all-history incumbent] Calibrated,XGBoost[Raw all-history incumbent] Calibration Base
2020-01-02,0.9924279678369546,0.9924279678369546,0.9924279678369546,0.9924279678369546,0.9924279678369546,0.9924279678369546,0.9924279678369546,0.9924279678369546,0.9924279678369546,0.9924279678369546,0.9924279678369546
2020-01-03,0.9962139839184773,0.9962139839184773,0.9962139839184773,0.9962139839184773,0.9962139839184773,0.9962139839184773,0.9942713544793241,0.9962139839184773,0.9962139839184773,0.9942713544793241,0.9942713544793241
2020-01-06,0.9934130186652894,0.9934130186652894,0.9934130186652894,0.9934130186652894,0.9934130186652894,0.9934130186652894,0.9928736028109614,0.9934130186652894,0.9934130186652894,0.9928736028109614,0.9928736028109614
2020-01-07,0.9987072942484461,0.9987072942484461,0.9987072942484461,0.9987072942484461,0.9987072942484461,0.9987072942484461,0.9955193032264771,0.9987072942484461,0.9987072942484461,0.9955193032264771,0.9955193032264771
2020-01-08,1.0054789918868732,1.0054789918868732,1.0054789918868732,1.0054789918868732,1.0054789918868732,1.0054789918868732,0.9988943440184543,1.0054789918868732,1.0054789918868732,1.0022196088452702,1.0022196088452702
2020-01-09,1.0025856170860832,1.0025856170860832,1.0025856170860832,1.0025856170860832,1.0025856170860832,1.0025856170860832,0.9959699725385311,1.0025856170860832,1.0025856170860832,0.9993356132725245,0.9993356132725245
2020-01-10,1.0094806645099639,1.0094806645099639,1.0094806645099639,1.0094806645099639,1.0094806645099639,1.0094806645099639,1.0028195224187433,1.0094806645099639,1.0094806645099639,1.0027219946343333,1.0027219946343333
2020-01-13,1.0079414647704785,1.0079414647704785,1.0079414647704785,1.0079414647704785,1.0079414647704785,1.0079414647704785,1.0012904792167054,1.0079414647704785,1.0079414647704785,1.0011429640374825,1.0011429640374825
2020-01-14,1.0102194269333429,1.0102194269333429,1.0102194269333429,1.0102194269333429,1.0102194269333429,1.0102194269333429,1.0035534100568524,1.0102194269333429,1.0102194269333429,1.002224205616144,1.002224205616144
2020-01-15,1.0186230422333213,1.0186230422333213,1.0186230422333213,1.0186230422333213,1.0186230422333213,1.0186230422333213,1.0119015734026122,1.0186230422333213,1.0186230422333213,1.0063927587263783,1.0063927587263783
