metric,value
target_asset,SPY
target_horizon_trading_days,20
high_vol_quantile,0.8
high_vol_threshold_annualized_rv,0.20060250716667932
threshold_source_end_date,2017-12-29
threshold_source_rows,3020
rows_after_target_filter,5094
candidate_feature_count,300
retained_base_feature_count,293
dropped_sparse_feature_count,7
dropped_insufficient_precalibration_history_feature_count,7
feature_min_precalibration_observations,30
missing_indicator_feature_count,286
final_feature_count,579
