month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Dummy[Preholdout prior probability],Rule[12M momentum top-k],Rule[6M momentum top-k],Rule[Low volatility top-k],Rule[Risk-adjusted momentum top-k],TabICL[Direct allocation scorer],TabICL[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] Calibration Base,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibration Base
2020-01,-0.029343778717451818,-0.0796653865315951,-0.021493226794481717,-0.02373743050439872,-0.02499145176137583,-0.021314495725831904,-0.019504866729074533,-0.02499145176137583,-0.04920036557572051,-0.021314495725831904,-0.04920036557572051,-0.07656543372770343,-0.06276292010982462,-0.0735986532603182,-0.0735986532603182,-0.07656543372770343,-0.02808863394677561,-0.02808863394677561
2020-02,-0.08506994315246602,-0.12487131818980579,-0.04941593273634943,-0.06456163858743567,-0.004105167941489888,-0.02209245625030132,-0.08673476859997006,-0.004105167941489888,-0.05626385584091753,-0.02209245625030132,0.03225665181369063,-0.16084928383343114,-0.16084928383343114,-0.16051595050009781,-0.14877656514170526,-0.09033363357283618,-0.004105167941489888,-0.004105167941489888
2020-03,0.07941650510501942,0.12698339404081938,0.08106572417896359,0.056159383751762354,0.028850726586129118,0.041399707466246584,0.06499631838311384,0.028850726586129118,0.028517393252795786,0.041399707466246584,0.029184059919462452,0.07751244990072781,0.07751244990072781,0.12594487334180027,0.12561154000846694,0.05466124747398312,0.028850726586129118,0.028850726586129118
2020-04,0.029740988179304827,0.04764546469431363,0.021539596379252977,0.02073818118158326,0.00384575230942182,0.019540555154215006,0.028365268862342363,0.00384575230942182,0.02442372292844863,0.019540555154215006,0.00384575230942182,0.036077928125799276,0.024757056261781964,0.04975732694698606,0.03736705254991387,0.036077928125799276,0.02442372292844863,0.02442372292844863
2020-05,0.025614936007478536,0.01773452818797905,0.011987421383801156,0.016743983053962137,0.030870161477506985,0.007323118864683399,0.02919722625200675,0.030870161477506985,0.03120349481084032,0.007323118864683399,0.030870161477506985,0.04013819834319029,0.03120349481084032,0.04047153167652362,0.04013819834319029,0.029827486938780567,0.03120349481084032,0.03120349481084032
2020-06,0.054654805216869086,0.05889216271827702,0.05307585456476463,0.042399650576609785,0.07524049683873567,0.05326573855067936,0.08034319060423445,0.07524049683873567,0.07524049683873567,0.05326573855067936,0.07524049683873567,0.04635964257964679,0.08763018289655765,0.04635964257964679,0.04635964257964679,0.04602630924631346,0.05717269716583446,0.05717269716583446
2020-07,0.02263142292269365,0.06979658395640453,0.02169166813307512,0.0069027489026496965,0.01858196726558466,-0.00471913005354696,0.008471968265973665,0.01858196726558466,0.01858196726558466,-0.00471913005354696,0.04469556497760666,0.05621141019208371,0.055544743525417044,0.05621141019208371,0.05621141019208371,0.042661178001454414,0.05587807685875038,0.05587807685875038
2020-08,-0.0227342371236681,-0.03744347975017304,-0.019372362669161446,-0.012198684211427103,-0.04598134298983298,0.00023175539380234305,-0.020377986872029,-0.04598134298983298,-0.04598134298983298,0.00023175539380234305,-0.04328105607568144,-0.039014190495325354,-0.039014190495325354,-0.039014190495325354,-0.039014190495325354,-0.03399003634063357,-0.03399003634063357,-0.03399003634063357
2020-09,-0.010902924908533371,-0.024934214199823668,-0.02850170273114494,-0.01124816145569767,-0.020192477831601087,-0.014542235246825555,0.004300738437096996,-0.020192477831601087,-0.0114507032126806,-0.014542235246825555,-0.01410698802500913,-0.012811152276016775,-0.012811152276016775,-0.012811152276016775,-0.012811152276016775,-0.013144485609350108,-0.013144485609350108,-0.013144485609350108
2020-10,0.06550981509690891,0.10877723007305251,0.07192231894689155,0.03981404137129289,0.02460375335045328,0.01784554628845192,0.02311301227780075,0.02460375335045328,0.12787050953974852,0.01784554628845192,0.12787050953974852,0.1304827227976748,0.1304827227976748,0.1304827227976748,0.1304827227976748,0.07470144712237828,0.07987090361543939,0.07987090361543939
