Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Dummy[Preholdout prior probability],holdout,2020-01,9,3,,0.3333333333333333,-0.019004866729074532,-0.02884377871745182,0.009838911988377289
Dummy[Preholdout prior probability],holdout,2020-02,9,3,,0.3333333333333333,-0.08673476859997005,-0.08506994315246602,-0.0016648254475040286
Dummy[Preholdout prior probability],holdout,2020-03,9,3,,0.0,0.06499631838311386,0.07941650510501942,-0.014420186721905565
Dummy[Preholdout prior probability],holdout,2020-04,9,3,,0.0,0.028365268862342363,0.02974098817930483,-0.0013757193169624676
Dummy[Preholdout prior probability],holdout,2020-05,9,3,,0.3333333333333333,0.029197226252006752,0.025614936007478536,0.0035822902445282155
Dummy[Preholdout prior probability],holdout,2020-06,9,3,,0.6666666666666666,0.08034319060423445,0.054654805216869086,0.025688385387365363
Dummy[Preholdout prior probability],holdout,2020-07,9,3,,0.0,0.008471968265973665,0.02263142292269365,-0.014159454656719984
Dummy[Preholdout prior probability],holdout,2020-08,9,3,,0.3333333333333333,-0.020377986872029002,-0.022734237123668104,0.0023562502516391026
Dummy[Preholdout prior probability],holdout,2020-09,9,3,,0.6666666666666666,0.004300738437096996,-0.010902924908533371,0.015203663345630367
Dummy[Preholdout prior probability],holdout,2020-10,9,3,,0.0,0.023113012277800753,0.06550981509690891,-0.042396802819108154
Dummy[Preholdout prior probability],holdout,2020-11,9,3,,0.6666666666666666,0.053670751918064065,0.03846991871216665,0.015200833205897414
Dummy[Preholdout prior probability],holdout,2020-12,9,3,,0.3333333333333333,-0.001425851529370581,-0.001143939544780845,-0.00028191198458973584
Dummy[Preholdout prior probability],holdout,2021-01,9,3,,0.0,-0.01904592846121278,-0.0017059555872073811,-0.017339972874005398
Dummy[Preholdout prior probability],holdout,2021-02,9,3,,0.0,-0.002178453499380395,0.0050213834784184185,-0.0071998369777988135
Dummy[Preholdout prior probability],holdout,2021-03,9,3,,0.0,0.018002734084616796,0.03305073879845614,-0.015048004713839342
Dummy[Preholdout prior probability],holdout,2021-04,9,3,,0.6666666666666666,0.03122063670481216,0.011474743317426237,0.019745893387385922
Dummy[Preholdout prior probability],holdout,2021-05,9,3,,0.0,-0.01624206451389576,0.015089374801264068,-0.03133143931515983
Dummy[Preholdout prior probability],holdout,2021-06,9,3,,0.0,-0.01267472392559188,0.008889087058975028,-0.02156381098456691
Dummy[Preholdout prior probability],holdout,2021-07,9,3,,0.0,0.007006524315184485,0.01435519726738964,-0.007348672952205155
Dummy[Preholdout prior probability],holdout,2021-08,9,3,,0.3333333333333333,-0.024889774707912538,-0.03430728021684299,0.009417505508930453
Dummy[Preholdout prior probability],holdout,2021-09,9,3,,0.0,0.007469219864126371,0.03391958483630764,-0.026450364972181267
Dummy[Preholdout prior probability],holdout,2021-10,9,3,,0.0,-0.019813134407608308,-0.008143003900428757,-0.011670130507179551
Dummy[Preholdout prior probability],holdout,2021-11,9,3,,0.3333333333333333,0.023634529917687958,0.02478535195445313,-0.0011508220367651735
Dummy[Preholdout prior probability],holdout,2021-12,9,3,,0.6666666666666666,-0.014513646101101766,-0.0470651396652009,0.032551493564099136
Dummy[Preholdout prior probability],holdout,2022-01,9,3,,0.3333333333333333,0.003141431505069366,-0.01207936265387789,0.015220794158947257
Dummy[Preholdout prior probability],holdout,2022-02,9,3,,0.0,-0.011318996120340041,0.0032748364183403903,-0.014593832538680431
Dummy[Preholdout prior probability],holdout,2022-03,9,3,,0.6666666666666666,-0.04128559467718481,-0.0693304996999265,0.028044905022741685
Dummy[Preholdout prior probability],holdout,2022-04,9,3,,0.6666666666666666,-0.003393793545759564,-0.009449613679563096,0.0060558201338035324
Dummy[Preholdout prior probability],holdout,2022-05,9,3,,0.3333333333333333,-0.045911834260690156,-0.05431195837088159,0.008400124110191434
Dummy[Preholdout prior probability],holdout,2022-06,9,3,,0.0,0.012538679596298544,0.05565985682812175,-0.04312117723182321
Dummy[Preholdout prior probability],holdout,2022-07,9,3,,0.6666666666666666,-0.028594961575968563,-0.03801448884331856,0.009419527267349997
