Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Source
75,0.13886883800509842,0.13953217269791476,1.0058632080327274,1.7582471236723574,-0.2281801896648411,0.01169585657114176,6.0266666666666655,3.0,0.018833333333333337,2.2540351618338375,XGBoost[GPU allocation scorer] Calibrated,model_score
75,0.13886883800509842,0.13953217269791476,1.0058632080327274,1.7582471236723574,-0.2281801896648411,0.01169585657114176,6.0266666666666655,3.0,0.018833333333333337,2.2540351618338375,XGBoost[GPU allocation scorer] Calibration Base,model_score
75,0.12834266515683979,0.13347488023145723,0.9754165427859708,1.5417777003580035,-0.2787912058883816,0.010849467185344963,4.64,3.0,0.0145,2.1269452612456963,12M momentum top-k portfolio,deterministic
75,0.12834266515683979,0.13347488023145723,0.9754165427859708,1.5417777003580035,-0.2787912058883816,0.010849467185344963,4.64,3.0,0.0145,2.1269452612456963,Rule[12M momentum top-k],model_score
75,0.10802817200016723,0.11657872157287752,0.9410289976978987,1.4708330166264145,-0.20732257638688256,0.00914199645955228,0.16,3.0,0.0005,1.8986395197738364,Dummy[Preholdout prior probability],model_score
75,0.15362870610817358,0.17386140947397183,0.9127520502890176,1.487524526572455,-0.2392717197111236,0.013224363163625519,0.16,1.0,0.0005,2.4429402145744903,SPY only,deterministic
75,0.11467654602592292,0.13872487835583983,0.8544335622719246,1.4304378889031137,-0.26147950955203414,0.009877599332443303,7.413333333333332,3.0,0.02316666666666667,1.9709717295252993,Rule[Risk-adjusted momentum top-k],model_score
75,0.10949626450881778,0.15122859649172113,0.7641905326197452,1.4861529750400164,-0.2554303268058322,0.009630621808362076,6.24,3.0,0.0195,1.9144169346534279,Rule[6M momentum top-k],model_score
75,0.08845959997681407,0.12686578662566175,0.7332356004939311,1.1569985419886235,-0.23202987901660588,0.00775187593655017,0.16,9.0,0.0005,1.6985446319343152,Equal weight universe,deterministic
75,0.12121435513113132,0.18379289749184188,0.7169909472751662,1.0769020411659098,-0.2712636119535098,0.010981486972926937,3.786666666666667,3.0,0.011833333333333331,2.0443443921063906,TabPFN[Direct allocation scorer],model_score
75,0.1103612686397415,0.18080188350842394,0.6709881181422078,1.0303208521410805,-0.252991235701421,0.010109659630990338,5.493333333333332,3.0,0.01716666666666667,1.9237644838110919,TabPFN[Direct allocation scorer] Calibration Base,model_score
75,0.04840967062117518,0.07514880869206382,0.6672831765822108,1.196552087698904,-0.13361877867207472,0.004178794648367434,2.5066666666666664,3.0,0.007833333333333333,1.3437511970537066,Low volatility top-k portfolio,deterministic
75,0.04840967062117518,0.07514880869206382,0.6672831765822108,1.196552087698904,-0.13361877867207472,0.004178794648367434,2.5066666666666664,3.0,0.007833333333333333,1.3437511970537066,Rule[Low volatility top-k],model_score
75,0.11053600348513704,0.18956335970123125,0.6497892032662899,0.9708907824440328,-0.281292154512945,0.01026468537239535,3.8933333333333335,3.0,0.012166666666666666,1.9256573788856852,TabICL[Direct allocation scorer],model_score
75,0.0597484134115609,0.10217762639465186,0.6198372303353583,0.9655813716201354,-0.21344963181371923,0.0052777914122251685,1.1298268077960654,9.0,0.003530708774362704,1.4372004483497758,Inverse volatility universe,deterministic
75,0.09132589697988558,0.16850943346081898,0.6038227751759793,1.0094923353818903,-0.27719964694385124,0.008479152812970313,5.493333333333332,3.0,0.017166666666666667,1.7266940068546728,XGBoost[GPU allocation scorer],model_score
75,0.07008182043242472,0.13488629217742346,0.5701837668590238,1.0203926294805206,-0.2621194924327047,0.00640916451428085,0.16,2.0,0.0005,1.527060213148009,60/40 SPY/TLT,deterministic
75,0.08548322305261236,0.1806358730864851,0.5457766355669137,0.8222211965905498,-0.2824565712872217,0.008215569922986155,5.706666666666666,3.0,0.017833333333333336,1.6697231628981646,TabICL[Direct allocation scorer] Calibration Base,model_score
