feature,missing_rate_selection,non_null_selection,n_unique_selection
market_eem_downside_rv_63d,0.1288056206088993,1116,141
market_vnq_return_63d,0.1288056206088993,1116,141
market_qqq_volume_zscore_63d,0.1288056206088993,1116,141
market_qqq_ma_distance_63d,0.1288056206088993,1116,141
market_qqq_downside_rv_63d,0.1288056206088993,1116,141
market_iwm_return_63d,0.1288056206088993,1116,141
market_iwm_rv_63d,0.1288056206088993,1116,141
market_iwm_downside_rv_63d,0.1288056206088993,1116,141
market_tlt_drawdown_63d,0.1288056206088993,1116,122
market_tlt_ma_distance_63d,0.1288056206088993,1116,141
market_tlt_rv_63d,0.1288056206088993,1116,141
market_iwm_drawdown_63d,0.1288056206088993,1116,131
market_iwm_ma_distance_63d,0.1288056206088993,1116,141
market_qqq_rv_63d,0.1288056206088993,1116,141
market_qqq_return_63d,0.1288056206088993,1116,141
market_qqq_drawdown_63d,0.1288056206088993,1116,122
market_tlt_volume_zscore_63d,0.1288056206088993,1116,141
market_ief_return_63d,0.1288056206088993,1116,141
market_tlt_downside_rv_63d,0.1288056206088993,1116,141
market_eem_drawdown_63d,0.1288056206088993,1116,132
market_tlt_return_63d,0.1288056206088993,1116,141
market_iwm_volume_zscore_63d,0.1288056206088993,1116,141
market_vnq_downside_rv_63d,0.1288056206088993,1116,141
market_vnq_rv_63d,0.1288056206088993,1116,141
market_hyg_downside_rv_63d,0.11943793911007025,1128,130
market_iwm_return_21d,0.11787665886026542,1130,143
market_ief_return_21d,0.11787665886026542,1130,143
market_ief_rv_21d,0.11787665886026542,1130,143
market_qqq_return_21d,0.11787665886026542,1130,143
market_tlt_downside_rv_21d,0.11787665886026542,1130,143
market_tlt_rv_21d,0.11787665886026542,1130,143
market_tlt_return_21d,0.11787665886026542,1130,143
market_iwm_downside_rv_21d,0.11787665886026542,1130,143
market_qqq_downside_rv_21d,0.11787665886026542,1130,143
market_qqq_rv_21d,0.11787665886026542,1130,143
market_vnq_return_21d,0.11787665886026542,1130,143
market_eem_downside_rv_21d,0.11787665886026542,1130,143
market_eem_rv_21d,0.11787665886026542,1130,143
market_eem_return_21d,0.11787665886026542,1130,143
market_gld_return_21d,0.11787665886026542,1130,143
market_gld_rv_21d,0.11787665886026542,1130,143
market_gld_downside_rv_21d,0.11787665886026542,1130,143
market_spy_rv_21d,0.11787665886026542,1130,143
market_spy_downside_rv_21d,0.11787665886026542,1130,143
market_vnq_rv_21d,0.11787665886026542,1130,143
market_vnq_downside_rv_21d,0.11787665886026542,1130,143
market_spy_return_21d,0.11787665886026542,1130,143
market_ief_downside_rv_21d,0.11787665886026542,1130,143
market_iwm_rv_21d,0.11787665886026542,1130,143
market_hyg_downside_rv_21d,0.10694769711163153,1144,130
asset_drawdown_252d,0.08430913348946135,1173,1081
asset_return_252d,0.08430913348946135,1173,1173
market_treasury_10y_yield_zscore_252d,0.07494145199063232,1185,132
market_yield_curve_10y_2y_zscore_252d,0.07494145199063232,1185,132
market_fed_funds_rate_zscore_252d,0.07494145199063232,1185,132
market_t_bill_3m_zscore_252d,0.07494145199063232,1185,132
market_vix_zscore_252d,0.07494145199063232,1185,132
market_treasury_2y_yield_zscore_252d,0.07494145199063232,1185,132
asset_drawdown_126d,0.04215456674473068,1227,1104
asset_rv_126d,0.04215456674473068,1227,1227
asset_return_126d,0.04215456674473068,1227,1227
asset_ma_distance_126d,0.04215456674473068,1227,1227
asset_beta_to_spy_126d,0.03747072599531616,1233,1090
asset_return_63d,0.02107728337236534,1254,1254
asset_rv_63d,0.02107728337236534,1254,1254
asset_volume_zscore_63d,0.02107728337236534,1254,1254
asset_downside_rv_63d,0.01873536299765808,1257,1257
asset_return_21d,0.00702576112412178,1272,1272
asset_rv_21d,0.00702576112412178,1272,1272
asset_month_return,0.00702576112412178,1272,1272
market_vix_change_21d,0.00624512099921936,1273,137
market_treasury_2y_yield_change_21d,0.00624512099921936,1273,97
market_yield_curve_10y_2y_change_21d,0.00624512099921936,1273,101
market_treasury_10y_yield_change_21d,0.00624512099921936,1273,104
market_fed_funds_rate_change_21d,0.00624512099921936,1273,73
market_t_bill_3m_change_21d,0.00624512099921936,1273,81
asset_group_credit,0.0,1281,2
asset_group_commodity,0.0,1281,2
asset_is_vnq,0.0,1281,2
asset_is_eem,0.0,1281,2
asset_group_rates,0.0,1281,2
asset_group_real_estate,0.0,1281,2
asset_is_ief,0.0,1281,2
asset_is_tlt,0.0,1281,2
asset_is_iwm,0.0,1281,2
asset_is_qqq,0.0,1281,2
asset_is_spy,0.0,1281,2
asset_risk_bucket,0.0,1281,4
asset_is_gld,0.0,1281,2
asset_is_hyg,0.0,1281,2
asset_group_equity_us,0.0,1281,2
asset_group_equity_em,0.0,1281,2
market_vix_close,0.0,1281,141
market_treasury_10y_yield,0.0,1281,120
market_treasury_2y_yield,0.0,1281,95
market_t_bill_3m,0.0,1281,76
market_yield_curve_10y_2y,0.0,1281,107
market_fed_funds_rate,0.0,1281,60
