month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Rule[12M momentum top-k],Rule[6M momentum top-k],Rule[Low volatility top-k],Rule[Risk-adjusted momentum top-k],TabICL[Direct allocation scorer],TabICL[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] Calibration Base,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibration Base
2020-01,-0.0293439272708075,-0.0796653865315951,-0.02149325031965304,-0.023737612857243476,-0.02499156627270066,-0.021314655514656517,-0.02499156627270066,-0.04920046048273591,-0.021314655514656517,-0.04920046048273591,-0.07656546622345911,-0.07656546622345911,-0.06276318878943782,-0.05669928613523232,-0.028088686046840727,-0.028088686046840727,-0.028088686046840727
2020-02,-0.08506989051417753,-0.12487131818980579,-0.04941602423856466,-0.06456128591411849,-0.004105275443728811,-0.02209227032249602,-0.004105275443728811,-0.05626389070359098,-0.02209227032249602,0.032256703652320466,-0.1608493082340904,-0.1487765425304959,-0.1608493082340904,-0.1414922544553944,-0.004105275443728811,-0.004105275443728811,-0.004105275443728811
2020-03,0.0794165070282244,0.12698326523906678,0.08106569294744155,0.05615935356271299,0.028850764759790832,0.04139966021775369,0.028850764759790832,0.0285174314264575,0.04139966021775369,0.029184098093124167,0.08351586488195431,0.07751261548370654,0.09796359018332186,0.07751261548370654,0.09956913945309041,0.05780676292076522,0.05780676292076522
2020-04,0.02974093829903684,0.04764547013966447,0.02153968587989046,0.020738007042642448,0.0038456297765690657,0.01954027382987607,0.0038456297765690657,0.024423794789637774,0.01954027382987607,0.0038456297765690657,0.04942397235524287,0.02475712812297111,0.03736717495759393,0.02475712812297111,0.04942397235524287,0.008535387950629431,0.008535387950629431
2020-05,0.025614964322514668,0.01773431194013675,0.011987202280720232,0.01674401768357184,0.03087010958375058,0.007323169599414296,0.03087010958375058,0.031203442917083914,0.007323169599414296,0.03087010958375058,0.04047179449134715,0.03980512782468048,0.05105494324647486,0.05176424261942392,0.04047179449134715,0.01833089742542578,0.01833089742542578
2020-06,0.05465474859695905,0.058892288846601026,0.0530758006095982,0.04239988151971046,0.07524032355196364,0.05326575183652289,0.07524032355196364,0.07524032355196364,0.05326575183652289,0.07524032355196364,0.04635936143124667,0.06380154767288766,0.04602602809791334,0.08796341486666517,0.04635936143124667,0.05750581461073903,0.05750581461073903
2020-07,0.022631494531100815,0.06979690177341591,0.021691975973878504,0.006902888183237424,0.018582029660471063,-0.004719116230473237,0.018582029660471063,0.018582029660471063,-0.004719116230473237,0.04469559741223106,0.05621133996449545,0.055878006631162117,0.06402871920742058,0.06402871920742058,0.05621133996449545,0.02902071186229282,0.02902071186229282
2020-08,-0.02273416445909002,-0.03744376007984773,-0.01937261997705588,-0.012198747297319196,-0.045981297923139944,0.00023184801898038881,-0.045981297923139944,-0.045981297923139944,0.00023184801898038881,-0.04328087288955962,-0.03901397201104406,-0.03901397201104406,-0.044370967322152136,-0.03686781279590608,-0.03398995636627022,-0.03398995636627022,-0.03398995636627022
2020-09,-0.010902930113720935,-0.024933432660867005,-0.02850092793736896,-0.011248332761569595,-0.020192215013951707,-0.014542409371577986,-0.020192215013951707,-0.011450623422007903,-0.014542409371577986,-0.014106823905709978,-0.012811155581462359,-0.012811155581462359,-0.013144488914795692,0.0015478424351518993,-0.013144488914795692,0.0016925007110335526,0.0016925007110335526
2020-10,0.06550974655457839,0.10877686181546853,0.07192181897641071,0.03981436609466853,0.0246034340073169,0.017845421202412986,0.0246034340073169,0.1278706868381658,0.017845421202412986,0.1278706868381658,0.13048266232675446,0.13048266232675446,0.13048266232675446,0.12820402017149912,0.13048266232675446,0.13014932899342113,0.13014932899342113
