Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Transaction Cost Bps
75,0.1834235617605291,0.1768173147537814,1.045652347991078,1.8359918846012397,-0.2601166601786835,0.01540745336148075,4.319999999999999,3.0,0.0,2.865011196098103,XGBoost[GPU allocation scorer],0.0
75,0.13094917805205109,0.13340384799800628,0.993326532546575,1.5703483056569105,-0.2773087477720355,0.011042798480019161,4.64,3.0,0.0,2.157840341168452,12M momentum top-k portfolio,0.0
75,0.15372894314130536,0.1738182460685111,0.9134389155223187,1.4894464662817497,-0.2392718914524411,0.013231029182234361,0.16,1.0,0.0,2.4442671630545587,SPY only,0.0
75,0.1445804465836109,0.16650950908711803,0.8973639827161981,1.5246541821503514,-0.2647042739615798,0.012451636352877934,5.493333333333331,3.0,0.0,2.3256240761524247,XGBoost[GPU allocation scorer] Calibrated,0.0
75,0.1445804465836109,0.16650950908711803,0.8973639827161981,1.5246541821503514,-0.2647042739615798,0.012451636352877934,5.493333333333331,3.0,0.0,2.3256240761524247,XGBoost[GPU allocation scorer] Calibration Base,0.0
75,0.11877916667545141,0.13873647851898188,0.8810794066266221,1.472508832108923,-0.2569811646452621,0.010186487847580973,7.413333333333332,3.0,0.0,2.0167511629699755,Rule[Risk-adjusted momentum top-k],0.0
75,0.11296697401741129,0.15103749592243565,0.785814781467041,1.52717094306014,-0.2523866690329929,0.009890624737634824,6.24,3.0,0.0,1.9521547123090384,Rule[6M momentum top-k],0.0
75,0.08854928902825532,0.12684221482682534,0.7340025417236394,1.1579392667813648,-0.23202975371647983,0.007758542340062144,0.16,9.0,0.0,1.6994195714591651,Equal weight universe,0.0
75,0.04972402654708219,0.0750900751959846,0.6844957204313676,1.22690668043556,-0.1333233527619313,0.004283236259876754,2.5066666666666664,3.0,0.0,1.3543147556401371,Low volatility top-k portfolio,0.0
75,0.12011128825037098,0.19585048685078707,0.6793066807631036,1.0783685962359053,-0.31185211909862653,0.011086878679037172,3.6799999999999993,3.0,0.0,2.031806462809091,TabPFN[Direct allocation scorer],0.0
