Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
Dummy[Preholdout prior probability],holdout,"(0.336, 0.337]",675,0.3333333333333333,0.3366733466933868,0.3366733466933868,0.3366733466933868
XGBoost[GPU allocation scorer],holdout,"(0.229, 0.247]",68,0.22058823529411764,0.2375639999175773,0.23015528917312622,0.2466617226600647
XGBoost[GPU allocation scorer],holdout,"(0.247, 0.31]",67,0.2537313432835821,0.27126422435490055,0.2471778690814972,0.3089193105697632
XGBoost[GPU allocation scorer],holdout,"(0.31, 0.328]",68,0.3088235294117647,0.3202650389250587,0.30970004200935364,0.3281157910823822
XGBoost[GPU allocation scorer],holdout,"(0.328, 0.339]",67,0.22388059701492538,0.33360911082865585,0.32812878489494324,0.33879807591438293
XGBoost[GPU allocation scorer],holdout,"(0.339, 0.348]",68,0.36764705882352944,0.34310626107103687,0.3388642370700836,0.34762340784072876
XGBoost[GPU allocation scorer],holdout,"(0.348, 0.359]",67,0.26865671641791045,0.3533828463127364,0.3477039933204651,0.35867124795913696
XGBoost[GPU allocation scorer],holdout,"(0.359, 0.37]",67,0.4925373134328358,0.3640251173012292,0.35896000266075134,0.369739294052124
XGBoost[GPU allocation scorer],holdout,"(0.37, 0.389]",68,0.4117647058823529,0.3796553677495788,0.3698904514312744,0.38884875178337097
XGBoost[GPU allocation scorer],holdout,"(0.389, 0.407]",67,0.43283582089552236,0.39908606881525976,0.3889872431755066,0.4066445231437683
XGBoost[GPU allocation scorer],holdout,"(0.407, 0.43]",68,0.35294117647058826,0.4148450108135448,0.40668031573295593,0.4299966096878052
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.249, 0.265]",22,0.2727272727272727,0.2569889405911619,0.24955631792545319,0.2646593451499939
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.265, 0.279]",22,0.18181818181818182,0.27100719240578736,0.2651020288467407,0.2787693738937378
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.279, 0.299]",21,0.38095238095238093,0.2876156880742028,0.27934741973876953,0.29911932349205017
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.299, 0.314]",22,0.3181818181818182,0.30697209997610614,0.29957351088523865,0.3139036297798157
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.314, 0.327]",21,0.19047619047619047,0.31975583945001873,0.3139377534389496,0.3271248936653137
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.327, 0.341]",22,0.45454545454545453,0.3345476605675437,0.3277803659439087,0.3407759368419647
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.341, 0.366]",21,0.3333333333333333,0.3557987823372796,0.34189486503601074,0.365737646818161
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.366, 0.38]",22,0.36363636363636365,0.37266362526200036,0.36579427123069763,0.3795173168182373
