Feature,Selection Mean,Holdout Mean,Selection Std,Holdout Std,PSI
market_eem_beta_to_spy_126d,1.3611791,0.85033685,0.30528101325035095,0.21629567444324493,7.372157955554444
market_yield_curve_10y_2y,1.5198047,0.23866667,0.8156687021255493,0.6256427764892578,5.933036000597172
market_fed_funds_rate_change_21d,-0.025050743,0.023866663,0.17645041644573212,0.2806638181209564,4.1431794241613575
market_ief_beta_to_spy_126d,-0.17042664,-0.017009094,0.08198421448469162,0.11822105944156647,3.950914937746539
market_tlt_beta_to_spy_126d,-0.37108836,-0.045984074,0.19174540042877197,0.25172874331474304,3.777640359849432
market_treasury_10y_yield,2.8991725,3.0041335,1.0040514469146729,1.4086453914642334,3.610841973113178
market_iwm_rv_126d,0.21729454,0.24230103,0.10366660356521606,0.0830955058336258,2.9501396783401495
market_fed_funds_rate,1.1124825,2.7988002,1.781631350517273,2.1803784370422363,2.9416190821027275
market_treasury_2y_yield,1.3793677,2.7654667,1.4657843112945557,1.8381173610687256,2.939285815861801
market_qqq_beta_to_spy_126d,1.0635561,1.2089314,0.12735657393932343,0.12160777300596237,2.904473595736406
market_eem_downside_rv_126d,0.16126214,0.12513839,0.09171747416257858,0.05792530998587608,2.7460801969087862
market_eem_rv_126d,0.2675934,0.20453396,0.15433940291404724,0.07296012341976166,2.711833235591571
market_vnq_downside_rv_126d,0.14862019,0.13324599,0.12015877664089203,0.07915686815977097,2.5269271689867865
market_vnq_beta_to_spy_126d,1.0147479,0.81353915,0.38220036029815674,0.23053956031799316,2.518996322396373
market_iwm_rv_63d,0.21281715,0.23691623,0.11159907281398773,0.09818064421415329,1.8316392733676816
market_tlt_return_252d,0.074678585,-0.014703412,0.10674998909235,0.14683005213737488,1.7854719173047766
market_qqq_rv_126d,0.18454501,0.22723104,0.0807296559214592,0.08202233910560608,1.7766991540015669
market_eem_rv_63d,0.26106158,0.19979963,0.16522201895713806,0.08520835638046265,1.7587307160148802
market_vnq_rv_63d,0.24320309,0.20687701,0.2096613347530365,0.1144108697772026,1.7341962045878334
market_vnq_rv_126d,0.24786854,0.2117546,0.2028181552886963,0.10228060185909271,1.6967323712966644
market_eem_downside_rv_63d,0.15580048,0.120676994,0.09501346945762634,0.06407681107521057,1.654805772763075
market_qqq_downside_rv_126d,0.11210889,0.13942136,0.04967471957206726,0.056978773325681686,1.6389689189254988
market_spy_downside_rv_126d,0.10053017,0.11098591,0.05975903570652008,0.060220155864953995,1.636449714463201
market_iwm_downside_rv_126d,0.1311718,0.14603627,0.06526949256658554,0.06592530757188797,1.6306347585318264
market_iwm_rv_21d,0.20684557,0.23252913,0.11800304800271988,0.11303112655878067,1.590240005931349
market_gld_downside_rv_126d,0.112088576,0.10072302,0.03849836438894272,0.029676422476768494,1.5166085495883597
market_vnq_downside_rv_63d,0.14360584,0.12821983,0.12256410717964172,0.08511790633201599,1.462129192547792
market_gld_return_252d,0.076394446,0.17654608,0.15996424853801727,0.19266752898693085,1.391520497440195
market_spy_rv_126d,0.16410273,0.1794857,0.09498875588178635,0.08460354804992676,1.3408910696003862
