fold,train_rows,validation_rows,train_positive_rows,validation_positive_rows,train_start,train_end,validation_start,validation_end,used
1,435,135,150,45,2006-01,2010-02,2010-03,2011-05,True
2,570,144,195,48,2006-01,2011-05,2011-06,2012-09,True
3,714,144,243,48,2006-01,2012-09,2012-10,2014-01,True
4,858,135,291,45,2006-01,2014-01,2014-02,2015-04,True
5,993,144,336,48,2006-01,2015-04,2015-05,2016-08,True
6,1137,144,384,48,2006-01,2016-08,2016-09,2017-12,True
