split,rows,months,positive_rows,positive_rate,start,end
context,633,72,216,0.3412322274881517,2006-01-31,2011-12-31
model_selection,1281,144,432,0.3372365339578454,2006-01-31,2017-12-31
calibration,216,24,72,0.3333333333333333,2018-01-31,2019-12-31
preholdout,1497,168,504,0.3366733466933868,2006-01-31,2019-12-31
holdout,675,75,225,0.3333333333333333,2020-01-31,2026-03-31
