month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Rule[6M momentum top-k],Rule[Risk-adjusted momentum top-k],TabICL[Direct allocation scorer],TabICL[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] Calibration Base,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibration Base
2020-01,-0.02934377659663425,-0.07966548210937036,-0.021493233751753413,-0.023737518367110716,-0.02499155916874135,-0.02131431230532941,-0.049200514974247246,-0.049200514974247246,-0.07656562038829923,-0.07656562038829923,-0.06276321024541248,-0.05669913924418155,-0.028088746756951777,-0.028088746756951777,-0.028088746756951777
2020-02,-0.08506995831815597,-0.12487143090791397,-0.04941614515424959,-0.06456154536507319,-0.00410516597767078,-0.022092550484203707,-0.05626375766703862,0.03225642455088406,-0.16084917307809296,-0.14877628733194395,-0.16084917307809296,-0.14877628733194395,-0.00410516597767078,-0.00410516597767078,-0.00410516597767078
2020-03,0.07941650184345707,0.1269834103965053,0.08106586835040551,0.056159442866425324,0.028850935762192994,0.041399853967700885,0.028517602428859663,0.02918426909552633,0.08351577467420593,0.07751249826159942,0.09796333085599129,0.07751249826159942,0.09956906749994159,0.057806863525541353,0.057806863525541353
2020-04,0.029740945394446952,0.047645584428631205,0.021539449543118705,0.0207380714611897,0.003845472524163821,0.019540480138518758,0.024423564755768196,0.003845472524163821,0.04942404296112083,0.02475689808910153,0.05355921113333891,0.02475689808910153,0.04942404296112083,0.008535155247546406,0.008535155247546406
2020-05,0.02561496963872541,0.017734419096728793,0.011987356530720916,0.016743922017254186,0.030870137991887387,0.007322979548685105,0.031203471325220722,0.030870137991887387,0.04047184877855188,0.03980518211188521,0.04013851544521855,0.05176423709411097,0.04047184877855188,0.018330993054458178,0.018330993054458178
2020-06,0.054654838969312156,0.05889227622123783,0.05307601962052097,0.042400349258407834,0.0752405776337189,0.05326591647838807,0.0752405776337189,0.0752405776337189,0.046359483125838034,0.06380166847770848,0.046359483125838034,0.08796351622989099,0.046359483125838034,0.05750587104535905,0.05750587104535905
2020-07,0.02263147890283169,0.06979658395640453,0.021691791738647877,0.006902909560254089,0.01858214939099441,-0.004719208740933788,0.01858214939099441,0.04469571080058472,0.05621148711302843,0.0558781537796951,0.06402886556514541,0.06402886556514541,0.05621148711302843,0.02902074369642645,0.02902074369642645
2020-08,-0.02273435643270885,-0.037443763622935555,-0.019372668047062745,-0.012198702563710131,-0.0459814334930156,0.0002317364621260795,-0.0459814334930156,-0.04328121563855666,-0.03901437069129572,-0.03901437069129572,-0.0443713088901199,-0.0368680116874737,-0.0339902206576755,-0.0339902206576755,-0.0339902206576755
2020-09,-0.010902846733620507,-0.024933533417122122,-0.028501163605212154,-0.011248209465029874,-0.02019236213329515,-0.014542277665577547,-0.011450623000603509,-0.014106872326703193,-0.012811102260093372,-0.012811102260093372,-0.013144435593426705,-0.01580068491952639,-0.013144435593426705,0.0016927662646778472,0.0016927662646778472
2020-10,0.06550979782023876,0.10877688374900485,0.07192187979025988,0.03981410385343348,0.024603760096268443,0.017845281618450004,0.12787093185119047,0.12787093185119047,0.1304830187871529,0.1304830187871529,0.1304830187871529,0.12787093185119047,0.1304830187871529,0.13014968545381958,0.13014968545381958
