Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
XGBoost[Raw] Calibrated,holdout,top_rate,0.3,150,0.5133333333333333,0.6470588235294118
XGBoost[Raw] Calibrated,holdout,target_recall,0.5,82,0.7317073170731707,0.5042016806722689
XGBoost[Raw] Calibrated,holdout,target_recall,0.7,179,0.4692737430167598,0.7058823529411765
XGBoost[Raw] Calibrated,holdout,target_recall,0.8,218,0.44036697247706424,0.8067226890756303
XGBoost[Raw] Calibrated,holdout,target_recall,0.9,299,0.3612040133779264,0.907563025210084
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.05,25,0.88,0.18487394957983194
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.1,50,0.7,0.29411764705882354
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.2,100,0.57,0.4789915966386555
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.3,150,0.44,0.5546218487394958
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.5,120,0.5,0.5042016806722689
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.7,251,0.3346613545816733,0.7058823529411765
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.8,327,0.29357798165137616,0.8067226890756303
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.9,392,0.2755102040816326,0.907563025210084
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.05,25,0.8,0.16806722689075632
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.1,50,0.78,0.3277310924369748
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.2,100,0.65,0.5462184873949579
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.3,150,0.5333333333333333,0.6722689075630253
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.5,86,0.6976744186046512,0.5042016806722689
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.7,168,0.5,0.7058823529411765
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.8,254,0.3779527559055118,0.8067226890756303
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.9,370,0.2918918918918919,0.907563025210084
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.05,25,0.8,0.16806722689075632
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.1,50,0.78,0.3277310924369748
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.2,100,0.65,0.5462184873949579
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.3,150,0.5333333333333333,0.6722689075630253
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.5,86,0.6976744186046512,0.5042016806722689
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.7,168,0.5,0.7058823529411765
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.8,254,0.3779527559055118,0.8067226890756303
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.9,370,0.2918918918918919,0.907563025210084
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.05,25,0.56,0.11764705882352941
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.1,50,0.58,0.24369747899159663
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.2,100,0.52,0.4369747899159664
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.3,150,0.44666666666666666,0.5630252100840336
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.5,130,0.46153846153846156,0.5042016806722689
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.7,235,0.3574468085106383,0.7058823529411765
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.8,330,0.2909090909090909,0.8067226890756303
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.9,402,0.26865671641791045,0.907563025210084
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.05,25,0.76,0.15966386554621848
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.1,50,0.82,0.3445378151260504
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.2,100,0.7,0.5882352941176471
