Embedding Source,Matrix,Rows,Embedding Columns,Approx Memory MB
TabPFN,X_tune,900,192,0.6593055725097656
TabPFN,X_calibration,350,192,0.2564735412597656
TabPFN,X_holdout,500,192,0.3663368225097656
TabPFN,X_fair_final_train,1250,192,0.9156532287597656
TabICL,X_tune,900,512,1.7579383850097656
TabICL,X_calibration,350,512,0.6837196350097656
TabICL,X_holdout,500,512,0.9766883850097656
TabICL,X_fair_final_train,1250,512,2.4415321350097656
