Feature,Preholdout Mean,Holdout Mean,Preholdout Std,Holdout Std,PSI
yield_curve_10y_2y,1.2869384615384614,0.24037999999999998,0.8676073687081783,0.6227211405096787,4.390897406751408
computed_yield_curve_10y_2y,1.2869384615384614,0.24037999999999998,0.8676073687081783,0.6227211405096787,4.377608493223957
fed_funds_rate,1.239702564102564,2.7823599999999997,1.606147794429628,2.1842914385624335,4.045464206358547
corr_spy_tlt_126d,-0.3929309362769912,-0.042530050435894924,0.20171690516737872,0.23802880483808972,3.077600962397189
iwm_rv_126d,0.20658020153505938,0.2496861936602165,0.09856016999612807,0.08551321298604453,2.57299022641547
corr_spy_eem_126d,0.8018893887299471,0.695928102998997,0.09545411120124767,0.10599581869349957,2.5638126394890075
corr_qqq_tlt_126d,-0.33640894504210844,-0.0033822580720182316,0.20024973896191417,0.2224008362942136,2.3083142876779252
treasury_10y_yield,2.7898102564102563,3.00442,0.9360659765557661,1.4020172496573182,2.0066191591983107
vnq_rv_126d,0.22616663462925485,0.21677617438864683,0.1900560253532747,0.10785155339314556,1.9941436169660032
vnq_volume_volatility_20d,0.4132969238473766,0.3021201607727756,0.1565354773098305,0.08069964705229904,1.8937119636211626
iwm_rv_60d,0.20208459203166038,0.24374005948534574,0.1047525112341872,0.10209296908374867,1.884277153590286
qqq_rv_126d,0.1851949412310617,0.23534656811761864,0.07683550219397058,0.08380360744130658,1.7778673276700683
corr_qqq_tlt_60d,-0.33214948078361517,0.009740287699849894,0.23087013396605344,0.23289512442597482,1.7038445414409413
treasury_2y_yield,1.502871794871795,2.7640399999999996,1.3669480257322237,1.8342282477733942,1.6977544344932733
corr_spy_tlt_60d,-0.3860310747218853,-0.03149277343031357,0.24135221348614636,0.26837981725983573,1.691500423724261
vnq_rv_60d,0.21985588179388363,0.20992955778715866,0.19491201413873838,0.1213091393412337,1.6466916065462103
tlt_volume_volatility_20d,0.45600367620066934,0.3733038494838846,0.11748397215852852,0.07327658201420686,1.6105933704631545
gld_rv_126d,0.16736111594477865,0.16140421869633526,0.06370799897566354,0.03834821530971468,1.601975719303499
vnq_downside_rv_126d,0.13618053547488485,0.13630344908819533,0.11264949441737523,0.08394105338481173,1.5940260519025709
spy_downside_rv_126d,0.09918250279214405,0.1148058165314432,0.05603030709973564,0.06316788051770607,1.5469007342745673
spy_rv_126d,0.1595302047494342,0.18503174798628277,0.08879141957818196,0.08836091622683166,1.4932877207821174
vnq_downside_rv_60d,0.1302358633939898,0.12922316181206997,0.11427030274040496,0.09037958831550524,1.4063787873968507
