Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Evaluation Window,Rows,High Vol Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Top 10% Alerts,Top 10% Precision,Top 10% Recall,Top 20% Alerts,Top 20% Precision,Top 20% Recall,Alerts for 80% Recall,Precision at 80% Recall,Actual Recall at 80% Target,CV/Validation Average Precision,Shared Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
TabICL[Direct all-history] Calibration Base,TabICL,direct_tfm_calibration_base,Raw all-history direct TFM context,TabICL,none_calibration_base,calibration,350,0.22285714285714286,probability,0.2895506267003807,0.5385086726998491,0.19006769306552912,0.6565533653530078,0.13323954569674762,35,0.42857142857142855,0.19230769230769232,70,0.38571428571428573,0.34615384615384615,313,0.2012779552715655,0.8076923076923077,,0.0,2.927054021999993,0.0,2.556028718499988,5.483082740499981,5.483082740499981,direct TFM base context excludes calibration-window labels,,
Rule[SPY realized volatility 20d],Rule,domain_rule,spy_rv_20d,none,none,calibration,350,0.22285714285714286,raw_score,0.26732343426784066,0.5623114630467572,,,,35,0.11428571428571428,0.05128205128205128,70,0.32857142857142857,0.2948717948717949,308,0.20454545454545456,0.8076923076923077,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
TabICL[Direct all-history] Calibration Base,TabICL,direct_tfm_calibration_base,Raw all-history direct TFM context,TabICL,none_calibration_base,holdout,500,0.238,probability,0.6858265009032922,0.8266944573104833,0.12352948839399427,0.40140061149842265,0.04074658411741256,50,0.82,0.3445378151260504,100,0.65,0.5462184873949579,224,0.42857142857142855,0.8067226890756303,,0.0,2.927054021999993,0.0,2.556028718499988,5.483082740499981,5.483082740499981,direct TFM base context excludes calibration-window labels,,
TabPFN[Direct all-history],TabPFN,direct_tfm,Raw all-history direct TFM context,TabPFN,none,holdout,500,0.238,probability,0.6744350064630438,0.834998566355676,0.12521247942459532,0.40311677687971226,0.046140495716594156,50,0.78,0.3277310924369748,100,0.68,0.5714285714285714,204,0.47058823529411764,0.8067226890756303,,0.0,2.1398527250000825,0.0,5.007168746000048,7.14702147100013,7.14702147100013,direct TFM classifier fitted on all pre-holdout labels; no task-specific weight training claim is made,,
TabPFN[Direct all-history] Calibration Base,TabPFN,direct_tfm_calibration_base,Raw all-history direct TFM context,TabPFN,none_calibration_base,holdout,500,0.238,probability,0.659553517422478,0.8188645536954939,0.13502090088237295,0.4451538548765073,0.0764044316476211,50,0.76,0.31932773109243695,100,0.67,0.5630252100840336,198,0.48484848484848486,0.8067226890756303,,0.0,1.9472288299999718,0.0,3.9501664544999926,5.897395284499964,5.897395284499964,direct TFM base context excludes calibration-window labels,,
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,holdout,500,0.238,probability,0.6437404376104081,0.7777851297999514,0.15870028970009167,0.5985021717760113,0.15305056425370273,50,0.82,0.3445378151260504,100,0.7,0.5882352941176471,307,0.3127035830618892,0.8067226890756303,0.8068027210884354,13.430263835000005,25.666317369000012,0.0,0.02382221950000485,25.690139588500017,39.12040342350002,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,holdout,500,0.238,probability,0.6437404376104081,0.7777851297999514,0.14308254577032498,0.4579671131502952,0.1145097097504052,50,0.82,0.3445378151260504,100,0.7,0.5882352941176471,307,0.3127035830618892,0.8067226890756303,0.8068027210884354,13.430263835000005,25.666317369000012,0.03175818400006847,0.006723795500022334,25.704799348500103,39.13506318350011,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,holdout,500,0.238,probability,0.6421300287344884,0.8297381944903945,0.18525864807450454,0.7078935920542764,0.19034214663505555,50,0.84,0.35294117647058826,100,0.67,0.5630252100840336,218,0.44036697247706424,0.8067226890756303,0.8243902439024391,0.0,13.688940093000042,0.0,0.013081773000010344,13.702021866000052,13.702021866000052,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(4.898979485566356), 'subsample': np.float64(0.952672307692442)}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,holdout,500,0.238,probability,0.6421300287344884,0.8297381944903945,0.15731909649598214,0.48961475868280635,0.14778825046904911,50,0.84,0.35294117647058826,100,0.67,0.5630252100840336,218,0.44036697247706424,0.8067226890756303,0.8243902439024391,0.0,13.688940093000042,0.01947470200002499,0.003505850500005181,13.711920645500072,13.711920645500072,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(4.898979485566356), 'subsample': np.float64(0.952672307692442)}",
Rule[VIX close],Rule,domain_rule,vix_close,none,none,holdout,500,0.238,raw_score,0.6405026074495641,0.8310174463486182,,,,50,0.72,0.3025210084033613,100,0.66,0.5546218487394958,197,0.4873096446700508,0.8067226890756303,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
Rule[SPY realized volatility 20d],Rule,domain_rule,spy_rv_20d,none,none,holdout,500,0.238,raw_score,0.6157605507459528,0.8121264253732988,,,,50,0.7,0.29411764705882354,100,0.62,0.5210084033613446,212,0.4528301886792453,0.8067226890756303,,0.0,0.0,0.0,0.0,0.0,0.0,deterministic domain-rule score; not a probability,,
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,holdout,500,0.238,probability,0.6139057833200445,0.8013630649110037,0.15648934274837759,0.6259293557206747,0.1391221764907241,50,0.78,0.3277310924369748,100,0.65,0.5462184873949579,254,0.3779527559055118,0.8067226890756303,0.8060975609756098,15.348615895999956,19.382822846000067,0.0,0.022011709499963672,19.40483455550003,34.75345045149999,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; base model excludes calibration-window labels,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN embeddings,TabPFN,sigmoid,holdout,500,0.238,probability,0.6139057833200445,0.8013630649110037,0.14811620439084403,0.46988035906870884,0.11995969740120632,50,0.78,0.3277310924369748,100,0.65,0.5462184873949579,254,0.3779527559055118,0.8067226890756303,0.8060975609756098,15.348615895999956,19.382822846000067,0.022656702999938716,0.004368105499963804,19.40984765449997,34.758463550499926,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; sigmoid calibration fitted on calibration window,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
TabICL[Direct all-history],TabICL,direct_tfm,Raw all-history direct TFM context,TabICL,none,holdout,500,0.238,probability,0.5995026016474783,0.7759434482454399,0.142097739779079,0.44591564425870933,0.04983745367941447,50,0.76,0.31932773109243695,100,0.59,0.4957983193277311,273,0.3516483516483517,0.8067226890756303,,0.0,3.1262071030000698,0.0,3.1526524990000553,6.278859602000125,6.278859602000125,direct TFM classifier fitted on all pre-holdout labels; no task-specific weight training claim is made,,
XGBoost[Raw all-history incumbent],XGBoost,classical_incumbent,Raw all-history incumbent,none,none,holdout,500,0.238,probability,0.5988353410623106,0.7906438165817509,0.13994187661483584,0.45346121578939713,0.07739740662276748,50,0.7,0.29411764705882354,100,0.67,0.5630252100840336,272,0.35294117647058826,0.8067226890756303,0.5683446602631866,0.0,43.452133793999906,0.0,0.024620976000051087,43.47675476999996,43.47675476999996,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; tuned chronologically and refit on final pre-holdout labels,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(2.1343747458109497), 'subsample': np.float64(0.952672307692442)}",
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,holdout,500,0.238,probability,0.5834708180730921,0.7765279340082489,0.15028165059605947,0.507931551384922,0.10434932207874956,50,0.7,0.29411764705882354,100,0.64,0.5378151260504201,265,0.3622641509433962,0.8067226890756303,0.5683446602631866,0.0,42.501939931999914,0.0,0.013950832999967133,42.51589076499988,42.51589076499988,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; base model excludes calibration-window labels,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(2.1343747458109497), 'subsample': np.float64(0.952672307692442)}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,holdout,500,0.238,probability,0.5834708180730921,0.7765279340082489,0.15430028284715636,0.5051441283868384,0.11431333789056757,50,0.7,0.29411764705882354,100,0.64,0.5378151260504201,265,0.3622641509433962,0.8067226890756303,0.5683446602631866,0.0,42.501939931999914,0.043763884999975744,0.00447560700001759,42.55017942399991,42.55017942399991,raw all-history incumbent uses all pre-holdout raw labels available to the classical workflow; sigmoid calibration fitted on calibration window,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(2.1343747458109497), 'subsample': np.float64(0.952672307692442)}",
XGBoost[Raw + TabPFN embeddings],XGBoost,classical,Raw + TabPFN embeddings,TabPFN,none,holdout,500,0.238,probability,0.5606118074767639,0.723350757625885,0.1572495945757186,0.5424554307053521,0.09918936743959783,50,0.7,0.29411764705882354,100,0.57,0.4789915966386555,327,0.29357798165137616,0.8067226890756303,0.8060975609756098,15.348615895999956,20.98688451299995,0.0,0.04008460500006095,21.02696911800001,36.37558501399997,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; tuned chronologically and refit on final pre-holdout labels,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
XGBoost[Raw],XGBoost,classical,Raw,none,none,holdout,500,0.238,probability,0.5327690137482813,0.7352830896137983,0.17725930739764026,0.5802999506084745,0.14288426058553164,50,0.68,0.2857142857142857,100,0.56,0.47058823529411764,330,0.2909090909090909,0.8067226890756303,0.8243902439024391,0.0,14.434968384999934,0.0,0.023226966000038374,14.458195350999972,14.458195350999972,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; tuned chronologically and refit on final pre-holdout labels,"{'colsample_bylevel': np.float64(0.6955303037866204), 'colsample_bytree': np.float64(0.5502298482834342), 'gamma': np.float64(0.34054025892686846), 'learning_rate': np.float64(0.01788820529615122), 'max_bin': 693, 'max_delta_step': 1, 'max_depth': 5, 'min_child_weight': np.float64(0.17928063051726983), 'n_estimators': 1102, 'reg_alpha': np.float64(7.8703386917029325), 'reg_lambda': np.float64(1.5262366889033188), 'scale_pos_weight': np.float64(4.898979485566356), 'subsample': np.float64(0.952672307692442)}",
XGBoost[Raw + TabICL embeddings],XGBoost,classical,Raw + TabICL embeddings,TabICL,none,holdout,500,0.238,probability,0.4617946943441098,0.7100288934471428,0.2005555641135082,0.7467650744741042,0.1823641806044616,50,0.58,0.24369747899159663,100,0.52,0.4369747899159664,330,0.2909090909090909,0.8067226890756303,0.8068027210884354,13.430263835000005,28.284621961000084,0.0,0.04388452699993195,28.328506488000016,41.75877032300002,fair raw-vs-embedding workflow excludes TFM context labels from downstream fitting; tuned chronologically and refit on final pre-holdout labels,"{'colsample_bylevel': np.float64(0.6872700594236812), 'colsample_bytree': np.float64(0.9728928685254539), 'gamma': np.float64(0.24658329458549094), 'learning_rate': np.float64(0.037069753392781075), 'max_bin': 742, 'max_delta_step': 1, 'max_depth': 4, 'min_child_weight': np.float64(0.09974583075316967), 'n_estimators': 1882, 'reg_alpha': np.float64(11.567327199145982), 'reg_lambda': np.float64(4.822460609377511), 'scale_pos_weight': 24.0, 'subsample': np.float64(0.5592630224331111)}",
Dummy[Prior probability],Dummy,baseline,Raw,none,none,holdout,500,0.238,probability,0.238,0.5,0.18388686390532546,0.5565639860589965,0.15000000000000002,50,0.34,0.14285714285714285,100,0.28,0.23529411764705882,392,0.24489795918367346,0.8067226890756303,,0.0,0.0,0.0,0.0,0.0,0.0,prior probability from all pre-holdout labels,,
