month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,FeatureSensitivity[Logistic full],FeatureSensitivity[Logistic full] | inverse-vol capped top-k,FeatureSensitivity[Logistic identity_ablated],FeatureSensitivity[Logistic identity_ablated] | inverse-vol capped top-k,FeatureSensitivity[Logistic metadata_only],FeatureSensitivity[Logistic metadata_only] | inverse-vol capped top-k,FeatureSensitivity[Logistic strict_time_series],FeatureSensitivity[Logistic strict_time_series] | inverse-vol capped top-k,FeatureSensitivity[Logistic ticker_ablated],FeatureSensitivity[Logistic ticker_ablated] | inverse-vol capped top-k,Rule[6M momentum top-k],Rule[6M momentum top-k] | inverse-vol capped top-k,Rule[Risk-adjusted momentum top-k],Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] | inverse-vol capped top-k,TabPFN[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibration Base,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-02,0.0,0.0,0.0,0.20806883989622169,0.8,0.4,1.6,1.7440763226627765,1.6,1.7440763226627765,0.0,0.12992626159037643,1.6,1.7440763226627765,1.6,1.7440763226627765,0.8,0.9252229875956485,1.6,1.8068749298940519,0.8,0.9242701352989051,0.4,0.4807637576149393,0.8,0.9524737676944159,1.2000000000000002,1.3852251600580079,1.2000000000000002,1.3852251600580079
2020-03,0.0,0.0,0.0,0.49880920159495906,0.4,0.4,1.2000000000000002,1.3039967773632044,1.2000000000000002,1.3039967773632044,0.0,0.21017775578021797,1.2000000000000002,1.3039967773632044,1.2000000000000002,1.3039967773632044,1.2000000000000002,1.6463221637645227,0.0,0.2799419041272015,1.2000000000000002,1.4797116332037148,0.8,1.050128104253378,1.2000000000000002,1.4662280521723998,1.6,1.711716599589241,1.6,1.711716599589241
2020-04,0.0,0.0,0.0,0.04208568156368486,0.4,0.4,1.2000000000000002,0.8088764077954568,1.2000000000000002,0.8088764077954568,0.0,0.029201382100838197,1.2000000000000002,0.8088764077954568,1.2000000000000002,0.8088764077954568,0.4,0.6999999999999998,0.8,0.9368807049047024,0.4,0.7,0.4,0.7,0.8,1.2720396033197199,0.4,0.57203960331972,0.4,0.57203960331972
2020-05,0.0,0.0,0.0,0.029895739783745934,0.4,0.0,1.6,1.8391165725534888,1.6,1.8391165725534888,0.0,0.018945224969997856,1.6,1.8391165725534888,1.6,1.8391165725534888,0.0,0.009683356177381683,0.8,0.9431596797320859,0.8,0.8935396908833136,0.8,0.8935396908833138,0.8,0.7987632463554754,0.8,1.0436129675923116,0.8,1.0436129675923116
2020-06,0.0,0.0,0.0,0.29980040520695145,0.0,0.4,1.6,1.7377592965440274,1.6,1.7377592965440274,0.0,0.1386639357588914,1.6,1.7377592965440274,1.6,1.7377592965440274,0.0,0.08812495528640431,0.4,0.4613083316009854,0.4,0.7,0.0,0.015458293541249848,0.8,0.8098742088187663,0.8,0.7133196437485153,0.8,0.7133196437485153
2020-07,0.0,0.0,0.0,0.15947677776913127,0.0,0.4,0.8,1.2593249702584663,0.8,1.2593249702584663,0.0,0.1274491536504372,0.8,1.2593249702584663,0.8,1.2593249702584663,0.4,0.7000000000000001,0.0,0.14737584349737434,0.8,0.9113708897172208,0.4,0.5019403225874497,1.2000000000000002,1.314860496649834,0.8,0.9224819016131645,0.8,0.9224819016131645
2020-08,0.0,0.0,0.0,0.07707670803884123,0.4,0.4,0.4,0.6597442782394043,0.4,0.6597442782394043,0.0,0.22939288733218366,0.4,0.6597442782394043,0.4,0.6597442782394043,0.4,0.6745575070181499,0.4,0.7072950184298354,0.4,0.6533458911873424,0.0,0.20248305511439807,0.4,0.6915607834828847,0.4,0.3372213523951306,0.4,0.3372213523951306
2020-09,0.0,0.0,0.0,0.10901557994265815,0.0,0.0,0.4,0.6597442782394042,0.4,0.6597442782394042,0.0,0.10078350109296168,0.4,0.6597442782394042,0.4,0.6597442782394042,0.4,0.5762693284564346,0.4,0.580897658599717,0.8,1.071118836246185,0.4,0.7216731694222256,0.8,1.096534371480233,0.4,0.6915607834828847,0.4,0.6915607834828847
2020-10,0.0,0.0,0.0,0.059371081514853,0.0,0.0,0.8,1.0893619455802601,0.8,1.0893619455802601,0.0,0.01872943028695999,0.8,1.0893619455802601,0.8,1.0893619455802601,0.4,0.5660213956602287,1.2,1.443537066731324,0.4,0.36641236338073996,0.0,0.015038066542022069,0.0,0.03174705055208628,0.8,1.0708810981042585,0.8,1.0708810981042585
