month,Equal weight universe | turnover_cap_1,SPY only | turnover_cap_1,60/40 SPY/TLT | turnover_cap_1,Inverse volatility universe | turnover_cap_1,12M momentum top-k portfolio | turnover_cap_1,Low volatility top-k portfolio | turnover_cap_1,FeatureSensitivity[Logistic full] | turnover_cap_1,FeatureSensitivity[Logistic full] | inverse-vol capped top-k | turnover_cap_1,FeatureSensitivity[Logistic identity_ablated] | turnover_cap_1,FeatureSensitivity[Logistic identity_ablated] | inverse-vol capped top-k | turnover_cap_1,FeatureSensitivity[Logistic metadata_only] | turnover_cap_1,FeatureSensitivity[Logistic metadata_only] | inverse-vol capped top-k | turnover_cap_1,FeatureSensitivity[Logistic strict_time_series] | turnover_cap_1,FeatureSensitivity[Logistic strict_time_series] | inverse-vol capped top-k | turnover_cap_1,FeatureSensitivity[Logistic ticker_ablated] | turnover_cap_1,FeatureSensitivity[Logistic ticker_ablated] | inverse-vol capped top-k | turnover_cap_1,Rule[6M momentum top-k] | turnover_cap_1,Rule[6M momentum top-k] | inverse-vol capped top-k | turnover_cap_1,Rule[Risk-adjusted momentum top-k] | turnover_cap_1,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k | turnover_cap_1,TabPFN[Direct allocation scorer] | turnover_cap_1,TabPFN[Direct allocation scorer] | inverse-vol capped top-k | turnover_cap_1,TabPFN[Direct allocation scorer] Calibration Base | turnover_cap_1,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k | turnover_cap_1,XGBoost[GPU allocation scorer] | turnover_cap_1,XGBoost[GPU allocation scorer] | inverse-vol capped top-k | turnover_cap_1,XGBoost[GPU allocation scorer] Calibrated | turnover_cap_1,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k | turnover_cap_1,XGBoost[GPU allocation scorer] Calibration Base | turnover_cap_1,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k | turnover_cap_1,Equal weight universe | turnover_cap_0.5,SPY only | turnover_cap_0.5,60/40 SPY/TLT | turnover_cap_0.5,Inverse volatility universe | turnover_cap_0.5,12M momentum top-k portfolio | turnover_cap_0.5,Low volatility top-k portfolio | turnover_cap_0.5,FeatureSensitivity[Logistic full] | turnover_cap_0.5,FeatureSensitivity[Logistic full] | inverse-vol capped top-k | turnover_cap_0.5,FeatureSensitivity[Logistic identity_ablated] | turnover_cap_0.5,FeatureSensitivity[Logistic identity_ablated] | inverse-vol capped top-k | turnover_cap_0.5,FeatureSensitivity[Logistic metadata_only] | turnover_cap_0.5,FeatureSensitivity[Logistic metadata_only] | inverse-vol capped top-k | turnover_cap_0.5,FeatureSensitivity[Logistic strict_time_series] | turnover_cap_0.5,FeatureSensitivity[Logistic strict_time_series] | inverse-vol capped top-k | turnover_cap_0.5,FeatureSensitivity[Logistic ticker_ablated] | turnover_cap_0.5,FeatureSensitivity[Logistic ticker_ablated] | inverse-vol capped top-k | turnover_cap_0.5,Rule[6M momentum top-k] | turnover_cap_0.5,Rule[6M momentum top-k] | inverse-vol capped top-k | turnover_cap_0.5,Rule[Risk-adjusted momentum top-k] | turnover_cap_0.5,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k | turnover_cap_0.5,TabPFN[Direct allocation scorer] | turnover_cap_0.5,TabPFN[Direct allocation scorer] | inverse-vol capped top-k | turnover_cap_0.5,TabPFN[Direct allocation scorer] Calibration Base | turnover_cap_0.5,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k | turnover_cap_0.5,XGBoost[GPU allocation scorer] | turnover_cap_0.5,XGBoost[GPU allocation scorer] | inverse-vol capped top-k | turnover_cap_0.5,XGBoost[GPU allocation scorer] Calibrated | turnover_cap_0.5,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k | turnover_cap_0.5,XGBoost[GPU allocation scorer] Calibration Base | turnover_cap_0.5,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k | turnover_cap_0.5
2020-01,-0.05454846589056889,-0.07824875075996068,-0.017954954619769554,-0.03890135602092371,-0.04340951969189545,-0.008439333977597918,-0.06894755812331355,-0.07119153028276642,-0.06894755812331355,-0.07119153028276642,-0.0208970355399866,-0.017506848815996914,-0.06894755812331355,-0.07119153028276642,-0.06894755812331355,-0.07119153028276642,-0.07124430154067286,-0.07267987918790265,-0.05503705420020756,-0.054981987564777346,-0.04370906562568293,-0.03698385570480468,-0.038717149649664696,-0.028797515942975947,-0.07669758160606242,-0.07388474164848342,-0.0580105888725366,-0.05471810651810885,-0.0580105888725366,-0.05471810651810885,-0.05454846589056889,-0.07824875075996068,-0.017954954619769554,-0.03890135602092371,-0.04340951969189545,-0.008439333977597918,-0.06894755812331355,-0.07119153028276642,-0.06894755812331355,-0.07119153028276642,-0.0208970355399866,-0.017506848815996914,-0.06894755812331355,-0.07119153028276642,-0.06894755812331355,-0.07119153028276642,-0.07124430154067286,-0.07267987918790265,-0.05503705420020756,-0.054981987564777346,-0.04370906562568293,-0.03698385570480468,-0.038717149649664696,-0.028797515942975947,-0.07669758160606242,-0.07388474164848342,-0.0580105888725366,-0.05471810651810885,-0.0580105888725366,-0.05471810651810885
2020-02,-0.14485390904387144,-0.16354859531727128,-0.06355479485252381,-0.0940642993259792,-0.04848857073837694,-0.029427475767875258,-0.17738915241113865,-0.160521596486783,-0.17738915241113865,-0.160521596486783,-0.09220609046682816,-0.07076791049601006,-0.17738915241113865,-0.160521596486783,-0.17738915241113865,-0.160521596486783,-0.08378570734090866,-0.06850260844164534,-0.035399583606125586,-0.049531573843666854,-0.16735639249921458,-0.13870130352879423,-0.14156536398294578,-0.10383545791205313,-0.19721716120564797,-0.1733386406502301,-0.18176272257082648,-0.16158579130827636,-0.18176272257082648,-0.16158579130827636,-0.14485390904387144,-0.16354859531727128,-0.06355479485252381,-0.0940642993259792,-0.05902636930703191,-0.029427475767875258,-0.16246005736542787,-0.15396309297104036,-0.16246005736542787,-0.15396309297104036,-0.09220609046682816,-0.07076791049601006,-0.16246005736542787,-0.15396309297104036,-0.16246005736542787,-0.15396309297104036,-0.09896632102773553,-0.09468607884326087,-0.07390431294633466,-0.0804518834845873,-0.16295489554124937,-0.13890870200239627,-0.14156536398294578,-0.10383545791205313,-0.20194175931428796,-0.1866773211020572,-0.181268174416492,-0.16661624433425595,-0.181268174416492,-0.16661624433425595
2020-03,0.10528192565396918,0.15053660514150402,0.08851092612651605,0.045917331574473814,0.052773552110761825,0.019483687570130373,0.10832249647154257,0.08382813496834997,0.10832249647154257,0.08382813496834997,0.07937151051243199,0.06743191416159172,0.10832249647154257,0.08382813496834997,0.10832249647154257,0.08382813496834997,0.05443740757421975,0.05153198420848631,0.02239753551787341,0.014830342702275512,0.04909050075851296,0.05107032564599466,0.036490388042920846,0.03354891787084388,0.023308380192815916,0.031615051045319406,0.052104185487520556,0.04113139800565613,0.052104185487520556,0.04113139800565613,0.10528192565396918,0.15053660514150402,0.08851092612651605,0.045917331574473814,0.06282741599647347,0.019483687570130373,0.1227264975968384,0.11251184401021724,0.1227264975968384,0.11251184401021724,0.07937151051243199,0.06743191416159172,0.1227264975968384,0.11251184401021724,0.1227264975968384,0.11251184401021724,0.09071301517939584,0.08662882288939863,0.058418333277699824,0.05828518025355802,0.0835027797958914,0.07937226042590866,0.06542601598369502,0.06346914393872115,0.07792501499609215,0.07294912180139856,0.07721072165369426,0.06607405742932394,0.07721072165369426,0.06607405742932394
2020-04,0.05812336290824614,0.06417563380504232,0.026107545494459306,0.027083330753057768,0.034638821546781516,0.01809785983821761,0.06931378996355947,0.0547449111964454,0.06931378996355947,0.0547449111964454,0.0696172903722041,0.059271074461324146,0.06931378996355947,0.0547449111964454,0.06931378996355947,0.0547449111964454,0.03460548821344818,0.02011861875148179,0.023943502151655686,0.015276343008602056,0.055935809396792574,0.046887451564880035,0.05596914273012591,0.04690580830973383,0.0735711673794756,0.06194532300248609,0.05940513802139576,0.04137177921069594,0.05940513802139576,0.04137177921069594,0.05812336290824614,0.06417563380504232,0.026107545494459306,0.027083330753057768,0.03461739297535294,0.01809785983821761,0.07964054454829259,0.06648455567634198,0.07964054454829259,0.06648455567634198,0.0696172903722041,0.059271074461324146,0.07964054454829259,0.06648455567634198,0.07964054454829259,0.06648455567634198,0.036718251075981145,0.02956374280343836,0.02548201632907089,0.022865360017655267,0.05698160789103151,0.04843714484633021,0.05596914273012591,0.047006985226945804,0.0689880951868524,0.06290632354075579,0.057819870116280904,0.04373353027586053,0.057819870116280904,0.04373353027586053
2020-05,0.01999273641633628,0.024083804976337664,0.01667339659677749,0.009764223173493609,0.03624280499015369,0.009376396932598086,0.01940457730648297,0.016310001955270027,0.01940457730648297,0.016310001955270027,0.028752161224284437,0.024460780084070204,0.01940457730648297,0.016310001955270027,0.01940457730648297,0.016310001955270027,0.034696014247577935,0.022645534791833226,0.03604280499015369,0.02966427092364978,0.017267792492696585,0.018994419988898507,0.010139115871907878,0.013531985084008354,0.03436487132259592,0.03232474249434435,0.028801325868295712,0.02407813064772677,0.028801325868295712,0.02407813064772677,0.01999273641633628,0.024083804976337664,0.01667339659677749,0.009764223173493609,0.03624280499015369,0.009376396932598086,0.020224034286590278,0.01834008376020499,0.020224034286590278,0.01834008376020499,0.028752161224284437,0.024460780084070204,0.020224034286590278,0.01834008376020499,0.020224034286590278,0.01834008376020499,0.034572866099429785,0.022354263259758183,0.02749091648759939,0.02103880004417741,0.016759359516912844,0.017341131255464794,0.013221361689114527,0.015684622905366895,0.03001823078220177,0.02891644350883097,0.023968393717202455,0.019879358841623167,0.023968393717202455,0.019879358841623167
2020-06,0.05777397312960613,0.060568107729919385,0.05260086781843394,0.03654942901791328,0.12582929989663044,0.03749434770859035,0.046682579738676226,0.04451832278886562,0.046682579738676226,0.04451832278886562,0.11603582248462622,0.11289717090770811,0.046682579738676226,0.04451832278886562,0.046682579738676226,0.04451832278886562,0.06201439197863419,0.05181168314536842,0.1324339653024569,0.13414004442744662,0.07661828576551288,0.1108962801253502,0.09104684903288722,0.12337542137096916,0.11033898372850356,0.10901586540382058,0.12134828154420137,0.10990770037033361,0.12134828154420137,0.10990770037033361,0.05777397312960613,0.060568107729919385,0.05260086781843394,0.03654942901791328,0.12582929989663044,0.03749434770859035,0.0645196791391326,0.06179203626730911,0.0645196791391326,0.06179203626730911,0.11603582248462622,0.11289717090770811,0.0645196791391326,0.06179203626730911,0.0645196791391326,0.06179203626730911,0.06201439197863419,0.05180479324603029,0.11839856939440152,0.11008193916793511,0.08295617080978464,0.10806369691644677,0.09089684903288722,0.12318638067229812,0.10537271828950137,0.10214764771372808,0.11845508109534271,0.10573700386887858,0.11845508109534271,0.10573700386887858
2020-07,0.036529708015603554,0.06667241125666723,0.022756059700349374,0.01665950583019915,0.0749771970159947,-0.0032737908186361688,0.04141912823081333,0.04013832986744345,0.04141912823081333,0.04013832986744345,0.05299560717477236,0.02997298042522239,0.04141912823081333,0.04013832986744345,0.04141912823081333,0.04013832986744345,0.0747771970159947,0.04714180681096165,0.10221267605082206,0.08388921802787143,0.06527224378796202,0.0703392321190452,0.05783451778561828,0.05491521986293239,0.061550455993626144,0.06913422727203876,0.06953763103038527,0.05466206260541706,0.06953763103038527,0.05466206260541706,0.036529708015603554,0.06667241125666723,0.022756059700349374,0.01665950583019915,0.0749771970159947,-0.0032737908186361688,0.04209237522003295,0.036585659697199464,0.04209237522003295,0.036585659697199464,0.05299560717477236,0.02997298042522239,0.04209237522003295,0.036585659697199464,0.04209237522003295,0.036585659697199464,0.0747771970159947,0.037779801955883034,0.1020696508660837,0.08372035799030846,0.056992611754383894,0.06073197111778726,0.05783451778561828,0.05490423007294761,0.06377090067367253,0.06079055745396218,0.06550272243873195,0.04831771981444853,0.06550272243873195,0.04831771981444853
2020-08,-0.02717035640383174,-0.03188986732147259,-0.016862806004914764,-0.012011011423171652,-0.06673630957636748,-0.0010295248180070883,-0.01773798103034569,-0.014565274915850739,-0.01773798103034569,-0.014565274915850739,-0.056655817911895084,-0.034464388875815995,-0.01773798103034569,-0.014565274915850739,-0.01773798103034569,-0.014565274915850739,-0.06673630957636748,-0.050823905038788454,-0.06425819604557434,-0.0476798888456892,-0.08467799964898355,-0.06723173128312898,-0.08901142552678135,-0.06904829258715939,-0.05368821401628375,-0.03649149430914447,-0.053654880682950414,-0.036361132152930596,-0.053654880682950414,-0.036361132152930596,-0.02717035640383174,-0.03188986732147259,-0.016862806004914764,-0.012011011423171652,-0.06673630957636748,-0.0010295248180070883,-0.028386185236684788,-0.023766814928003418,-0.028386185236684788,-0.023766814928003418,-0.056655817911895084,-0.034464388875815995,-0.028386185236684788,-0.023766814928003418,-0.028386185236684788,-0.023766814928003418,-0.06673630957636748,-0.046635646658659255,-0.06425819604557434,-0.050076036247652805,-0.08113620028783337,-0.0681782601555309,-0.08901142552678135,-0.06904923663223479,-0.054586690757850984,-0.04148966282417833,-0.06068068767280567,-0.04267052340630501,-0.06068068767280567,-0.04267052340630501
2020-09,-0.010365286670362833,-0.022180523411653885,-0.02226645338729467,-0.007693247976542611,-0.022112852484255208,-0.00561950306525787,-0.010664814943069747,-0.014742144563273954,-0.010664814943069747,-0.014742144563273954,-0.019442365117299555,-0.022269269974153672,-0.010664814943069747,-0.014742144563273954,-0.010664814943069747,-0.014742144563273954,-0.020308414903256564,-0.023011850459061213,-0.020308414903256564,-0.023014164624132857,-0.014425069025948355,-0.016682767037318778,-0.01191285804473803,-0.016422585311251545,-0.018738401234400227,-0.02256259845978649,-0.02425162606182982,-0.02890994235268779,-0.02425162606182982,-0.02890994235268779,-0.010365286670362833,-0.022180523411653885,-0.02226645338729467,-0.007693247976542611,-0.022112852484255208,-0.00561950306525787,-0.013102743164162723,-0.016255040573899975,-0.013102743164162723,-0.016255040573899975,-0.019442365117299555,-0.022269269974153672,-0.013102743164162723,-0.016255040573899975,-0.013102743164162723,-0.016255040573899975,-0.020308414903256564,-0.02348309308469679,-0.020308414903256564,-0.023809276680608796,-0.007276085047872289,-0.007585392037183086,-0.01191285804473803,-0.016723951193151163,-0.022169005378174712,-0.025091689177753014,-0.024373244261553236,-0.028399543418550832,-0.024373244261553236,-0.028399543418550832
2020-10,0.08653835697744496,0.10711732264276153,0.06429952954957478,0.05069387330038306,0.05218567465034828,0.012746785460183483,0.02483563347531623,0.031856453373686706,0.02483563347531623,0.031856453373686706,0.030727429093103175,0.02698952905198711,0.02483563347531623,0.031856453373686706,0.02483563347531623,0.031856453373686706,0.08244373310423954,0.0952348129679808,0.07474001561067367,0.0868612729519267,0.07055964599515512,0.05207844806357994,0.06739594927373989,0.0506614633829071,0.13014210202711796,0.13950463181518274,0.1443374530253682,0.1566065834332672,0.1443374530253682,0.1566065834332672,0.08653835697744496,0.10711732264276153,0.06429952954957478,0.05069387330038306,0.05218567465034828,0.012746785460183483,0.055009444828798645,0.05871292000788414,0.055009444828798645,0.05871292000788414,0.030727429093103175,0.02698952905198711,0.055009444828798645,0.05871292000788414,0.055009444828798645,0.05871292000788414,0.08244373310423954,0.09130454458589987,0.08038024730531274,0.09093224322974729,0.07524042572186182,0.06239099624481449,0.06739594927373989,0.050557608660579255,0.1299893609325134,0.136123746694758,0.13538109294758902,0.12926887551031202,0.13538109294758902,0.12926887551031202
