Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Transaction Cost Bps
75,0.17255600611528266,0.1494555648911978,1.1462417526056095,1.602910737125122,-0.1382391684611448,0.01427601738646233,7.73061352438879,5.0,0.0,2.7044874618731907,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,0.0
75,0.1866716290719066,0.1623021239336165,1.1437179914304008,1.4138017593967025,-0.16695639249921457,0.015468988265853655,6.111999999999999,5.0,0.0,2.914512995578627,TabPFN[Direct allocation scorer],0.0
75,0.1689148961447351,0.14848840225435866,1.1308028612331922,2.007157027157372,-0.12521124211070167,0.013992592510764498,5.4719999999999995,5.0,0.0,2.6524248132732255,12M momentum top-k portfolio,0.0
75,0.15268232563528983,0.15407231602441138,1.002744794913155,1.7527526162572948,-0.15548041762535558,0.012874601077807767,9.632,5.0,0.0,2.4304417278386397,Rule[Risk-adjusted momentum top-k],0.0
75,0.13516573969484713,0.1403967685599921,0.9760532673013544,1.8649935352314904,-0.15857148903595042,0.011419560389294366,11.102953762750134,5.0,0.0,2.20861730354466,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,0.0
75,0.15996029761953245,0.1727092266133149,0.9503403857970163,1.2889619738184765,-0.17286240376638284,0.01367771275420017,10.682943346189393,5.0,0.0,2.527956110144777,XGBoost[GPU allocation scorer] | inverse-vol capped top-k,0.0
75,0.13980254063531694,0.15243279147075225,0.9382339207091807,1.4430365958262283,-0.21196977016342933,0.011918134632187403,0.16,5.0,0.0,2.2656098767920527,FeatureSensitivity[Logistic metadata_only],0.0
75,0.12562793932844185,0.1365955649900086,0.937898418442506,1.4138975159137426,-0.11361261825362579,0.010676063697532469,3.8748250653368324,5.0,0.0,2.0951634123202756,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,0.0
75,0.13981701870678998,0.15349813177826535,0.9338889899743319,1.249583845909234,-0.14136536398294575,0.011945851270779262,3.1039999999999996,5.0,0.0,2.265789747615596,TabPFN[Direct allocation scorer] Calibration Base,0.0
75,0.12326060006118245,0.13477379609159987,0.9328251233705311,1.4837489836467963,-0.20720412971787527,0.010476698580521788,1.0785023793053605,5.0,0.0,2.0677750243919935,FeatureSensitivity[Logistic metadata_only] | inverse-vol capped top-k,0.0
75,0.16551382775014778,0.18387689652902392,0.9306958263272792,1.1999040192066497,-0.19681716120564807,0.01426112167979796,8.991999999999999,5.0,0.0,2.6045574417787156,XGBoost[GPU allocation scorer],0.0
75,0.15346583113125623,0.1781629306493765,0.8947981999805772,1.263182479811647,-0.23312908739421634,0.013284989137360544,0.16,1.0,0.0,2.440785348829742,SPY only,0.0
75,0.14996947934819582,0.17967875645730869,0.8718375590666835,1.1695468658069075,-0.18136054183256023,0.013054224037156427,10.208000000000002,5.0,0.0,2.394911467283407,XGBoost[GPU allocation scorer] Calibrated,0.0
75,0.14996947934819582,0.17967875645730869,0.8718375590666835,1.1695468658069075,-0.18136054183256023,0.013054224037156427,10.208000000000002,5.0,0.0,2.394911467283407,XGBoost[GPU allocation scorer] Calibration Base,0.0
75,0.11232824367289806,0.13662290190271154,0.8510793204040701,1.1360427974498817,-0.16752142999584718,0.009689743875249306,0.16,25.0,0.0,1.9451631327536685,Equal weight universe,0.0
75,0.12927349018607415,0.16640711487353468,0.8165021362474031,1.1795443518006379,-0.15701746458405286,0.011322647065084008,11.36889110288163,5.0,0.0,2.137935418695581,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,0.0
75,0.12927349018607415,0.16640711487353468,0.8165021362474031,1.1795443518006379,-0.15701746458405286,0.011322647065084008,11.36889110288163,5.0,0.0,2.137935418695581,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,0.0
75,0.10401808033047755,0.1498534519295842,0.7373461100713724,1.1831222543146198,-0.1295144659441957,0.009207821655087194,7.392,5.0,0.0,1.8560991053144658,Rule[6M momentum top-k],0.0
75,0.0651546283117419,0.09168996236317369,0.7359823713804613,0.9913910596032725,-0.14254649352918225,0.005623516327652818,1.1787370643941144,25.0,0.0,1.4836419944850823,Inverse volatility universe,0.0
75,0.08115513589679324,0.13431130481951095,0.6492799988176284,1.1098636896307925,-0.16020588986732165,0.0072671369862005175,8.928340990230508,5.0,0.0,1.6285462552550205,Rule[6M momentum top-k] | inverse-vol capped top-k,0.0
75,0.08966982170349969,0.15758725610062768,0.6272992698551948,0.7526871188667601,-0.1945040664659915,0.008237864224200612,10.335999999999999,5.0,0.0,1.7103826040188694,FeatureSensitivity[Logistic full],0.0
75,0.08961079374111813,0.15771898265406434,0.6265730389606203,0.75006276205783,-0.1945040664659915,0.008235205188611205,10.144,5.0,0.0,1.709803609568121,FeatureSensitivity[Logistic ticker_ablated],0.0
75,0.08801703365412838,0.15731843605425938,0.6184106323649681,0.7384115860704418,-0.1945040664659915,0.008107282793581864,10.016,5.0,0.0,1.69423282291066,FeatureSensitivity[Logistic identity_ablated],0.0
75,0.08801703365412838,0.15731843605425938,0.6184106323649681,0.7384115860704418,-0.1945040664659915,0.008107282793581864,10.016,5.0,0.0,1.69423282291066,FeatureSensitivity[Logistic strict_time_series],0.0
75,0.0716983988309472,0.12845613913555612,0.6040520995699451,0.9994446427393745,-0.24937026853843214,0.006466183378956806,0.16,2.0,0.0,1.541535876466572,60/40 SPY/TLT,0.0
