                                            Model Evaluation Window  months  mean_spearman_ic  median_spearman_ic  mean_top_k_hit_rate  mean_selected_forward_return  mean_universe_forward_return  mean_active_forward_return
        XGBoost[GPU allocation scorer] Calibrated       calibration      24          0.098590            0.131923             0.283333                      0.015035                      0.005788                    0.009247
  XGBoost[GPU allocation scorer] Calibration Base       calibration      24          0.098590            0.131923             0.283333                      0.015035                      0.005788                    0.009247
TabPFN[Direct allocation scorer] Calibration Base       calibration      24          0.036218           -0.024811             0.308333                      0.007755                      0.005788                    0.001967
                       Rule[Low volatility top-k]       calibration      24         -0.090160           -0.203462             0.125000                      0.004705                      0.005788                   -0.001083
                         Rule[12M momentum top-k]       calibration      24         -0.059583            0.013846             0.183333                      0.000221                      0.005788                   -0.005567
               Rule[Risk-adjusted momentum top-k]       calibration      24         -0.144423           -0.091154             0.166667                     -0.003900                      0.005788                   -0.009688
                          Rule[6M momentum top-k]       calibration      24         -0.140769           -0.138846             0.183333                     -0.004110                      0.005788                   -0.009899
                 TabPFN[Direct allocation scorer]           holdout      75          0.042948            0.044624             0.317333                      0.015469                      0.009690                    0.005779
                   XGBoost[GPU allocation scorer]           holdout      75          0.036267            0.025385             0.309333                      0.014261                      0.009690                    0.004571
                         Rule[12M momentum top-k]           holdout      75          0.046441            0.036154             0.261333                      0.013993                      0.009690                    0.004303
        XGBoost[GPU allocation scorer] Calibrated           holdout      75          0.028092            0.030769             0.290667                      0.013054                      0.009690                    0.003364
  XGBoost[GPU allocation scorer] Calibration Base           holdout      75          0.028092            0.030769             0.290667                      0.013054                      0.009690                    0.003364
               Rule[Risk-adjusted momentum top-k]           holdout      75          0.001118           -0.003077             0.274667                      0.012875                      0.009690                    0.003185
TabPFN[Direct allocation scorer] Calibration Base           holdout      75          0.026571            0.049231             0.290667                      0.011946                      0.009690                    0.002256
       FeatureSensitivity[Logistic metadata_only]           holdout      75          0.033022            0.043470             0.269333                      0.011918                      0.009690                    0.002228
                          Rule[6M momentum top-k]           holdout      75          0.010995            0.013846             0.253333                      0.009208                      0.009690                   -0.000482
                FeatureSensitivity[Logistic full]           holdout      75         -0.016745           -0.013846             0.240000                      0.008238                      0.009690                   -0.001452
      FeatureSensitivity[Logistic ticker_ablated]           holdout      75         -0.016535           -0.026154             0.240000                      0.008235                      0.009690                   -0.001455
    FeatureSensitivity[Logistic identity_ablated]           holdout      75         -0.017369           -0.027692             0.240000                      0.008107                      0.009690                   -0.001582
  FeatureSensitivity[Logistic strict_time_series]           holdout      75         -0.017369           -0.027692             0.240000                      0.008107                      0.009690                   -0.001582
                       Rule[Low volatility top-k]           holdout      75         -0.081692           -0.096923             0.141333                      0.002501                      0.009690                   -0.007189
              Dummy[Preholdout prior probability]           holdout      75               NaN                 NaN                  NaN                           NaN                      0.009690                         NaN
