month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,FeatureSensitivity[Logistic full],FeatureSensitivity[Logistic full] | inverse-vol capped top-k,FeatureSensitivity[Logistic identity_ablated],FeatureSensitivity[Logistic identity_ablated] | inverse-vol capped top-k,FeatureSensitivity[Logistic metadata_only],FeatureSensitivity[Logistic metadata_only] | inverse-vol capped top-k,FeatureSensitivity[Logistic strict_time_series],FeatureSensitivity[Logistic strict_time_series] | inverse-vol capped top-k,FeatureSensitivity[Logistic ticker_ablated],FeatureSensitivity[Logistic ticker_ablated] | inverse-vol capped top-k,Rule[6M momentum top-k],Rule[6M momentum top-k] | inverse-vol capped top-k,Rule[Risk-adjusted momentum top-k],Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] | inverse-vol capped top-k,TabPFN[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,XGBoost[GPU allocation scorer] Calibration Base,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,-0.05454846589056889,-0.07824875075996068,-0.017954954619769554,-0.038901356020923705,-0.04340951969189545,-0.008439333977597918,-0.06894755812331355,-0.07119153028276642,-0.06894755812331355,-0.07119153028276642,-0.0208970355399866,-0.017506848815996914,-0.06894755812331355,-0.07119153028276642,-0.06894755812331355,-0.07119153028276642,-0.07124430154067286,-0.07267987918790265,-0.05503705420020756,-0.054981987564777346,-0.04370906562568293,-0.03698385570480468,-0.038717149649664696,-0.028797515942975947,-0.07669758160606242,-0.07388474164848342,-0.0580105888725366,-0.05471810651810885,-0.0580105888725366,-0.05471810651810885
2020-02,-0.14485390904387144,-0.16354859531727128,-0.06355479485252381,-0.0940642993259792,-0.04848857073837694,-0.029427475767875258,-0.19530406646599152,-0.17028165084311236,-0.19530406646599152,-0.17028165084311236,-0.09220609046682816,-0.07076791049601006,-0.19530406646599152,-0.17028165084311236,-0.19530406646599152,-0.17028165084311236,-0.08378570734090866,-0.06850260844164534,0.010806091602125312,0.00036607150397328263,-0.16735639249921458,-0.13870130352879423,-0.14156536398294578,-0.10383545791205313,-0.19721716120564797,-0.1733386406502301,-0.18196054183256025,-0.15771007716408184,-0.18196054183256025,-0.15771007716408184
2020-03,0.10528192565396918,0.15053660514150402,0.08851092612651605,0.04591733157447381,0.052773552110761825,0.019483687570130373,0.09176869697917163,0.06075296792869335,0.09176869697917163,0.06075296792869335,0.07937151051243199,0.06743191416159172,0.09176869697917163,0.06075296792869335,0.09176869697917163,0.06075296792869335,0.04371972493366937,0.020192347959518558,0.022697535517873412,0.015069628688505497,0.03629038804292084,0.030334437683138326,0.036490388042920846,0.030549229447613492,0.006138645143533284,0.004839215614423906,0.0059386451435332836,0.004716471340715484,0.0059386451435332836,0.004716471340715484
2020-04,0.05812336290824614,0.06417563380504232,0.026107545494459306,0.02708333075305777,0.034638821546781516,0.01809785983821761,0.07042234289334395,0.05480585931773505,0.07042234289334395,0.05480585931773505,0.0696172903722041,0.05927107446132415,0.07042234289334395,0.05480585931773505,0.07042234289334395,0.05480585931773505,0.034638821546781516,0.02013893265986966,0.023943502151655686,0.015276343008602056,0.05596914273012591,0.04689566469562575,0.05596914273012591,0.04689566469562575,0.0735711673794756,0.0641901394929999,0.05953267425327982,0.04144042335224726,0.05953267425327982,0.04144042335224726
2020-05,0.01999273641633628,0.024083804976337664,0.01667339659677749,0.009764223173493609,0.03624280499015369,0.009376396932598086,0.022943770151255243,0.019919869817900164,0.022943770151255243,0.019919869817900164,0.028752161224284437,0.024460780084070204,0.022943770151255243,0.019919869817900164,0.022943770151255243,0.019919869817900164,0.034696014247577935,0.022645534791833226,0.03604280499015369,0.02966427092364978,0.017267792492696585,0.018994419988898507,0.010139115871907878,0.013531985084008354,0.03436487132259592,0.032344002526720574,0.028801325868295712,0.0243938810343493,0.028801325868295712,0.0243938810343493
2020-06,0.05777397312960613,0.060568107729919385,0.05260086781843394,0.03654942901791328,0.12582929989663044,0.03749434770859035,0.04299362031941758,0.03527923415716185,0.04299362031941758,0.03527923415716185,0.11603582248462622,0.11289717090770811,0.04299362031941758,0.03527923415716185,0.04299362031941758,0.03527923415716185,0.06201439197863419,0.05181168314536842,0.1324339653024569,0.13414004442744665,0.07661828576551288,0.1108962801253502,0.09104684903288722,0.12337542137096916,0.11033898372850356,0.10901586540382058,0.12134828154420137,0.10990368531814508,0.12134828154420137,0.10990368531814508
2020-07,0.036529708015603554,0.06667241125666723,0.022756059700349374,0.016659505830199147,0.0749771970159947,-0.0032737908186361688,0.04202054268897347,0.048302628248581676,0.04202054268897347,0.048302628248581676,0.05299560717477236,0.029972980425222385,0.04202054268897347,0.048302628248581676,0.04202054268897347,0.048302628248581676,0.0747771970159947,0.04714180681096165,0.10221267605082206,0.08388921802787142,0.06527224378796202,0.07033923211904519,0.05783451778561828,0.05491521986293239,0.05741513307056616,0.07020665191858731,0.06953763103038527,0.05466206260541706,0.06953763103038527,0.05466206260541706
2020-08,-0.02717035640383174,-0.03188986732147259,-0.016862806004914764,-0.012011011423171652,-0.06673630957636748,-0.0010295248180070883,-0.01771721813061764,-0.014553225907504934,-0.01771721813061764,-0.014553225907504934,-0.056655817911895084,-0.034464388875815995,-0.01771721813061764,-0.014553225907504934,-0.01771721813061764,-0.014553225907504934,-0.06673630957636748,-0.05082390503878844,-0.06425819604557434,-0.0476798888456892,-0.08467799964898355,-0.06723173128312898,-0.08901142552678135,-0.06904829258715939,-0.053654880682950414,-0.036538301868474475,-0.053654880682950414,-0.036361132152930596,-0.053654880682950414,-0.036361132152930596
2020-09,-0.010365286670362833,-0.022180523411653885,-0.02226645338729467,-0.007693247976542609,-0.022112852484255208,-0.00561950306525787,-0.010664814943069747,-0.014742144563273954,-0.010664814943069747,-0.014742144563273954,-0.019442365117299555,-0.022269269974153672,-0.010664814943069747,-0.014742144563273954,-0.010664814943069747,-0.014742144563273954,-0.020308414903256564,-0.023011850459061213,-0.020308414903256564,-0.023014164624132857,-0.014425069025948355,-0.01809320982089169,-0.01191285804473803,-0.016422585311251545,-0.018738401234400227,-0.021750060773110827,-0.02425162606182982,-0.02890994235268779,-0.02425162606182982,-0.02890994235268779
2020-10,0.08653835697744496,0.10711732264276153,0.06429952954957478,0.05069387330038305,0.05218567465034828,0.012746785460183483,0.02483563347531623,0.02532562845527172,0.02483563347531623,0.02532562845527172,0.030727429093103175,0.02698952905198711,0.02483563347531623,0.02532562845527172,0.02483563347531623,0.02532562845527172,0.08244373310423954,0.09523481296798078,0.07248392293281807,0.08125653230924,0.07055964599515512,0.05209695700880607,0.06739594927373989,0.0506614633829071,0.13014210202711796,0.13954067506288756,0.1443374530253682,0.15859646747786196,0.1443374530253682,0.15859646747786196
