metric,value
feature_set_variant,identity_ablated
raw_numeric_feature_candidates,517
ticker_identity_feature_columns,25
group_metadata_feature_columns,9
strict_time_series_feature_columns,483
excluded_variant_feature_columns,34
post_variant_feature_candidates,483
