book_text
P | Packt> | Apress
O'REILLY | O'REILLY
Geron OREILLY
YUDKOWSKY
O'REILLY
Derby/Larsen | CABACUS) | McKinney OREILLY
VanderPlas | ames | Eryk Lewinson
Ramalho
Statistical Methods for Data Analysis in Particle
Start.nl
Fundamentals of Data Visualization Wilke | PYTHON VOLUME | Physics | Statistical Methods in Experimental Physics | Python 3 Object-Oriented Programming-Third Edition
"Hands-On Machine Learning with | Scikit-Learn,Keras & TensorFlow | Python Data Science Handbook | Steve Jobs | by Walter Isaacson"
HOW TO ACTUALLY CHANGE YOUR MIND R:AZ 2 | Fluent Python | COACHING AGILE TEAmS | Numerical Python
Katja Verbruggen &Welmoed Hoogvorst | Python for Finance Cookbook
Clean Code
SCRUM INSIGHTS FOR PRACTITIONERS
CIENTIFIC | Agile Retrospectives | Second Edition
THIRD
Martin | S | Johansson
