Model,Publication Label,Holdout,bin,rows,fraud_rows,score_min,score_max,mean_score,observed_fraud_rate,abs_calibration_error
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,9,5696,1,8.522938151e-05,0.000273285,0.000153711,0.000175562,2.185064897e-05
XGBoost[Raw + TabICL embeddings] Calibration Base,Raw + TabICL base,full,10,5696,70,0.0002733,0.999566615,0.015246936,0.012289326,0.00295761
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,1,5697,0,0.000262497,0.0002625,0.000262498,0.0,0.000262498
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,2,5697,0,0.0002625,0.000262504,0.000262502,0.0,0.000262502
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,3,5696,0,0.000262504,0.00026251,0.000262507,0.0,0.000262507
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,4,5696,1,0.00026251,0.000262519,0.000262514,0.000175562,8.695232662e-05
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,5,5696,0,0.000262519,0.000262535,0.000262526,0.0,0.000262526
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,6,5696,1,0.000262535,0.000262563,0.000262548,0.000175562,8.698602396e-05
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,7,5696,1,0.000262563,0.000262619,0.000262587,0.000175562,8.702559646e-05
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,8,5696,1,0.000262619,0.000262773,0.000262681,0.000175562,8.711966988e-05
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,9,5696,1,0.000262773,0.000263383,0.000262995,0.000175562,8.743302687e-05
XGBoost[Raw + TabICL embeddings] Calibrated,Raw + TabICL calibrated,full,10,5696,70,0.000263383,0.983399985,0.010791021,0.012289326,0.001498305
