Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Holdout,Rows,Fraud Rate,Average Precision,Top 0.5% Alerts,Top 0.5% Precision,Top 0.5% Recall,Top 1% Alerts,Top 1% Precision,Top 1% Recall,CV/Validation Average Precision,ROC AUC,Log Loss,Brier Score,ECE Quantile 10,Shared Feature Prep Seconds,Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
XGBoost[Raw all-history incumbent],XGBoost,classical_incumbent,Raw all-history incumbent,none,none,sampled,20075,0.0037359900373599006,0.8410975016873178,101,0.6237623762376238,0.84,201,0.31840796019900497,0.8533333333333334,0.7973692502289911,0.9832693333333333,0.0071464387856478165,0.0009870668920327974,0.0006675599662826423,0.0,0.0,166.11469852799996,0.0,0.08080801500000234,166.19550654299996,166.19550654299996,raw all-history rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw],XGBoost,classical,Raw,none,none,sampled,20075,0.0037359900373599006,0.8363659680371082,101,0.6138613861386139,0.8266666666666667,201,0.32338308457711445,0.8666666666666667,0.7809144670826111,0.984614,0.007561353500814062,0.0010704935006588907,0.0008771123091767412,0.0,0.0,139.72124058600002,0.0,0.0815447459999632,139.80278533199998,139.80278533199998,rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw + TabICL embeddings],XGBoost,classical,Raw + TabICL embeddings,TabICL,none,sampled,20075,0.0037359900373599006,0.835654300976287,101,0.6039603960396039,0.8133333333333334,201,0.3283582089552239,0.88,0.7781695469540796,0.98118,0.005862658402283763,0.0010791982919068869,0.00027870059282265457,122.14484560099982,122.14484560099982,1066.3300586149999,0.0,0.7805426709996937,1067.1106012859996,1189.2554468869994,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,sampled,20075,0.0037359900373599006,0.8336632243180151,101,0.6039603960396039,0.8133333333333334,201,0.31840796019900497,0.8533333333333334,0.7973692502289911,0.9763553333333335,0.007638899653842412,0.001014986892189221,0.0006466811081760464,0.0,0.0,165.93502464999983,0.0,0.08263686899999811,166.01766151899983,166.01766151899983,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,sampled,20075,0.0037359900373599006,0.8336632243180151,101,0.6039603960396039,0.8133333333333334,201,0.31840796019900497,0.8533333333333334,0.7973692502289911,0.9763553333333334,0.008023192050261573,0.0009961224525434165,0.000892721728282304,0.0,0.0,164.03179408999995,2.250794952999968,0.27204968900014137,166.55463873200006,166.55463873200006,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,sampled,20075,0.0037359900373599006,0.8321825643252709,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7809144670826111,0.9782513333333334,0.007662048128082494,0.0010257005694546714,0.0008429767249418107,0.0,0.0,139.55479299599983,0.0,0.07936452900003133,139.63415752499986,139.63415752499986,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,sampled,20075,0.0037359900373599006,0.8321825643252709,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7809144670826111,0.9782513333333334,0.008341978107063212,0.0010729639285677627,0.0009680715353773718,0.0,0.0,137.88388650699994,2.036540384999853,0.2601877269999022,140.1806146189997,140.1806146189997,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,sampled,20075,0.0037359900373599006,0.8271764408134238,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7781695469540796,0.9730226666666667,0.006526973781727567,0.001065621119415264,0.0003547161830824833,122.14484560099982,122.14484560099982,1065.7844025509999,0.0,0.7752363810000134,1066.5596389319999,1188.7044845329997,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,sampled,20075,0.0037359900373599006,0.8271764408134238,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7781695469540796,0.9730226666666667,0.008067297233336192,0.0011398317970224667,0.000839920888073686,122.14484560099982,122.14484560099982,1062.885361448,7.7749997879996045,3.88141848999976,1074.5417797259993,1196.686625326999,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
Dummy[Raw],Dummy,baseline,Raw,none,none,sampled,20075,0.0037359900373599006,0.0037359900373599006,101,0.0,0.0,201,0.0,0.0,,0.5,0.025756292319067203,0.003726936382081723,0.0023194614726737943,0.0,0.0,0.07931452000002537,0.0,0.08678541800009043,0.1660999380001158,0.1660999380001158,simple baseline fit on pre-holdout data,,
