Embedding Source,Package Version,Model Class,Checkpoint Version,Model Path,Embedding API,Interface Stability,Fit Mode,Device,Embedding Columns,Shared Prep Seconds
TabPFN,7.1.1,TabPFNClassifier,default TabPFNClassifier checkpoint for the installed tabpfn package,auto,TabPFNClassifier.get_embeddings,public,fit_preprocessors,"cuda:0, cuda:1",192,371.370513
TabICL,2.1.1,TabICLClassifier,tabicl-classifier-v2-20260212.ckpt,/root/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-classifier-v2-20260212.ckpt,"TabICL sklearn internals: X_encoder_, ensemble_generator_, col_embedder, row_interactor",internal_validated,kv_cache=repr,cuda:0,512,120.4522673
