Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Holdout,Rows,Fraud Rate,Average Precision,Top 0.5% Alerts,Top 0.5% Precision,Top 0.5% Recall,Top 1% Alerts,Top 1% Precision,Top 1% Recall,CV/Validation Average Precision,ROC AUC,Log Loss,Brier Score,ECE Quantile 10,Shared Feature Prep Seconds,Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,full,56962,0.001316667251852112,0.7977784026490721,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7781695469540796,0.9729215227849362,0.0030909417976321056,0.000430449510666846,0.00029838420784556363,124.44197612800053,124.44197612800053,1018.413466603,7.108292348999839,10.814160135999828,1036.3359190879996,1160.7778952160002,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabICL embeddings],XGBoost,classical,Raw + TabICL embeddings,TabICL,none,full,56962,0.001316667251852112,0.7970291142277164,285,0.21754385964912282,0.8266666666666667,570,0.11929824561403508,0.9066666666666666,0.7781695469540796,0.981023901184219,0.0025834227459669273,0.0004512501974756992,0.00048470947003594284,124.44197612800053,124.44197612800053,1021.4975374409996,0.0,2.381293232000189,1023.8788306729998,1148.3208068010003,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabPFN embeddings],XGBoost,classical,Raw + TabPFN embeddings,TabPFN,none,full,56962,0.001316667251852112,0.7908612992480595,285,0.21052631578947367,0.8,570,0.11052631578947368,0.84,0.7894373196063951,0.986006175986312,0.002499646073639205,0.0003807315594607837,0.0001839700356197116,376.58256332500014,376.58256332500014,462.12128656799973,0.0,1.1732627819997106,463.29454934999944,839.8771126749996,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,full,56962,0.001316667251852112,0.789220635068822,285,0.21052631578947367,0.8,570,0.11228070175438597,0.8533333333333334,0.7894373196063951,0.9756408318244942,0.002684902602357774,0.0004075344773043701,0.00016092442478744047,376.58256332500014,376.58256332500014,461.2115274839996,0.0,0.8833140459996685,462.09484152999926,838.6774048549994,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN embeddings,TabPFN,sigmoid,full,56962,0.001316667251852112,0.789220635068822,285,0.21052631578947367,0.8,570,0.11228070175438597,0.8533333333333334,0.7894373196063951,0.9756408318244942,0.0033398827899559307,0.0004348657445008446,0.0005007592777120502,376.58256332500014,376.58256332500014,456.74831794299985,6.324641309999606,4.353331283999978,467.42629053699943,844.0088538619996,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
Dummy[Raw],Dummy,baseline,Raw,none,none,full,56962,0.001316667251852112,0.001316667251852112,285,0.0,0.0,570,0.0,0.0,,0.5,0.010063268088758511,0.0013149755956403425,0.0006378450124646141,0.0,0.0,0.11704180299989275,0.0,0.23803263500008143,0.3550744379999742,0.3550744379999742,simple baseline fit on pre-holdout data,,
XGBoost[Raw + TabPFN + TabICL embeddings],XGBoost,classical,Raw + TabPFN + TabICL embeddings,TabPFN+TabICL,none,sampled,20075,0.0037359900373599006,0.8441537336234736,101,0.6138613861386139,0.8266666666666667,201,0.3283582089552239,0.88,0.7837217687728677,0.9836386666666667,0.006831266238602871,0.0010775078251772864,0.0009684104939140744,501.02453945300067,501.02453945300067,1371.6668264699997,0.0,1.0377058359999864,1372.7045323059997,1873.7290717590004,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.9518600387910157, 'learning_rate': 0.146501361250436, 'max_delta_step': 5, 'max_depth': 2, 'min_child_weight': 0.35015835937028994, 'n_estimators': 482, 'reg_alpha': 0.013662775841358913, 'reg_lambda': 10.624824455988376, 'scale_pos_weight': 1.0, 'subsample': 0.8261953145395072}",
XGBoost[Raw all-history incumbent],XGBoost,classical_incumbent,Raw all-history incumbent,none,none,sampled,20075,0.0037359900373599006,0.8410975016873178,101,0.6237623762376238,0.84,201,0.31840796019900497,0.8533333333333334,0.7973692502289911,0.9832693333333333,0.0071464387856478165,0.0009870668920327974,0.0006675599662826423,0.0,0.0,167.668837059,0.0,0.0894849900000736,167.75832204900007,167.75832204900007,raw all-history rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw],XGBoost,classical,Raw,none,none,sampled,20075,0.0037359900373599006,0.8363659680371082,101,0.6138613861386139,0.8266666666666667,201,0.32338308457711445,0.8666666666666667,0.7796175963564582,0.984614,0.007561353500814062,0.0010704935006588907,0.0008771123091767412,0.0,0.0,140.82766912300008,0.0,0.0813577809999515,140.90902690400003,140.90902690400003,rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw + TabICL embeddings],XGBoost,classical,Raw + TabICL embeddings,TabICL,none,sampled,20075,0.0037359900373599006,0.835654300976287,101,0.6039603960396039,0.8133333333333334,201,0.3283582089552239,0.88,0.7781695469540796,0.98118,0.005862658402283763,0.0010791982919068869,0.00027870059282265457,124.44197612800053,124.44197612800053,1021.4975374409996,0.0,0.7630764790001194,1022.2606139199997,1146.7025900480003,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
