Feature,Preholdout Mean,Holdout Mean,Preholdout Std,Holdout Std,PSI
computed_yield_curve_10y_2y,1.3327107578768096,0.24017186505410568,0.8858573668206708,0.621813483819827,5.422388396648032
yield_curve_10y_2y,1.3327107578768096,0.24017186505410568,0.8858573668206708,0.621813483819827,5.406960061628509
corr_spy_tlt_126d,-0.3934182379630338,-0.04251503299925174,0.20554001147508233,0.23751687290863538,3.020401611982188
fed_funds_rate,1.300039738858927,2.7833163590070016,1.7056423379200454,2.18370920081833,2.4291241289884216
corr_qqq_tlt_126d,-0.33992055310273694,-0.003317923499367951,0.20241687468991637,0.2221477169309202,2.3640330762349007
hyg_volume_volatility_20d,0.5036469592068147,0.3674281412405408,0.20245838038786787,0.07798608031990154,1.9821918640093454
vnq_volume_volatility_20d,0.42372713855829564,0.30165805759038683,0.16506569344829408,0.08017948497963506,1.9565142854279967
corr_spy_eem_126d,0.8105741471883863,0.6960302135376111,0.09512596866930073,0.10605232442425823,1.8777334583563006
treasury_10y_yield,2.885279591257451,3.004901336728199,0.9751538849138225,1.400858940262773,1.8390604278714844
vnq_rv_60d,0.23550860924462502,0.21015759295391476,0.20912523705426075,0.12136323407564821,1.783821046207305
treasury_2y_yield,1.5525688333806416,2.764729471674093,1.4378700819378885,1.8329387423308021,1.7699769141902515
tlt_volume_volatility_20d,0.46211799845717405,0.37359684781938735,0.12163831183552554,0.07368361786407297,1.7356740116804734
iwm_rv_126d,0.214439407055045,0.24981821494423623,0.10451336364404347,0.0854635529913022,1.7247956050787747
corr_qqq_tlt_60d,-0.33498634126174387,0.009489132006856672,0.23297350815239112,0.23347577465725375,1.6549230950135687
gld_rv_126d,0.1731342260972659,0.16140042187428227,0.06551253099378239,0.038195759887656874,1.628184809656704
corr_spy_tlt_60d,-0.38566706677160345,-0.03189447573828872,0.2460719553679165,0.2685743052819119,1.6107496349885837
vnq_downside_rv_126d,0.14522207393723086,0.13644461992389437,0.12107619059774677,0.0839179287916404,1.578879367993237
corr_spy_hyg_126d,0.6922303009443225,0.7623546560438612,0.12589163947826876,0.0747974074135678,1.4765866224557966
spy_downside_rv_126d,0.10242480182628799,0.11491956231148664,0.0597259111813203,0.0631388698095446,1.4745183023165513
vnq_downside_rv_60d,0.13884643335245425,0.12938090294416657,0.12258923771188604,0.0904090022695496,1.4395703321199307
vix_close,18.801541300028386,20.9877975811585,8.992123863471832,7.793622968037238,1.373001427645214
corr_spy_eem_60d,0.8042778294524929,0.6817522645880492,0.10988441118030452,0.13347405465236356,1.3710192384302475
spy_rv_126d,0.16497207938628203,0.18517183160373274,0.09488392787575592,0.08834177501087426,1.3404321480051433
eem_downside_rv_126d,0.15828294463563336,0.1237386402864635,0.092624782663848,0.061349435896602626,1.2207179127973595
iwm_rv_60d,0.20994660317019168,0.24394122899244106,0.11147766679315604,0.1019970939151357,1.2078594089342998
vnq_rv_126d,0.24225766613013597,0.21696504407917838,0.20403157635132066,0.10784379229233627,1.1089121677277995
qqq_rv_126d,0.18918331739071723,0.23551564503445557,0.08125359736888461,0.08372111271033934,1.0806917953353772
corr_qqq_tlt_20d,-0.32307027412757044,0.010679644606010695,0.30700789385594407,0.3222886460321376,1.0712899225081012
gld_volume_volatility_20d,0.4688236296553776,0.3853512402973167,0.08961000232064559,0.07879496871839603,0.9793022613053248
corr_spy_tlt_20d,-0.3703797462183519,-0.025971379511260776,0.3241846739018829,0.3599891426317892,0.9480027128812529
ief_volume_volatility_20d,0.641287289700491,0.47707154383443345,0.2134323590569937,0.16325985062264525,0.9086921131642401
gld_downside_rv_126d,0.10633760183799415,0.09902010807343604,0.04293865250737622,0.02901895380093921,0.904060326050438
eem_rv_126d,0.2614410830190117,0.20186149802155764,0.1557694608755881,0.07695083681301326,0.8975725665515069
tlt_return_252d,0.07259413406426041,-0.02517676682563841,0.11567911501670687,0.1515735668052955,0.8777669737996974
eem_rv_60d,0.25481998420535246,0.1970808347990275,0.16481564655645053,0.09050584584347138,0.7795477109021921
iwm_downside_rv_126d,0.1306140593339708,0.15080339453085545,0.06565866236078283,0.06901455619664727,0.7777695723278863
fed_funds_rate_change_5d,-0.003843092666287664,0.006651814131126672,0.11293540063363486,0.12153002444765522,0.7689358330057462
eem_downside_rv_60d,0.15220429396835375,0.11846354095561953,0.09538989693459346,0.06816823884687416,0.7671524609314977
qqq_return_252d,0.15074800609772449,0.22839194851897662,0.18262962759209125,0.22597208789823003,0.7572003914542385
iwm_rv_20d,0.2045309359501818,0.23819007787620394,0.1208300343426222,0.1167140782085051,0.7007875755012782
fed_funds_rate_change_20d,-0.01569797316585783,0.02660089115213241,0.18520634490459845,0.26053600892823126,0.6934894400068696
tlt_rv_126d,0.13290540474503898,0.16371163667231944,0.04184051345383418,0.04566885887496576,0.671403999762962
corr_spy_eem_20d,0.7951205180539201,0.6673667973689454,0.13821958578253848,0.1899640323615614,0.6621044736885069
qqq_downside_rv_126d,0.11620433283695193,0.14493009975734875,0.050258625700210925,0.05867208704971942,0.6158552660772183
tlt_downside_rv_126d,0.07831792566860384,0.0969625791084094,0.023987263362334997,0.027824058106225985,0.6134171077979564
tlt_rv_60d,0.1315154133967345,0.15982133487872607,0.04511434723369711,0.055465782355276966,0.6090527949031701
corr_spy_hyg_60d,0.6847049051254971,0.7521049309921879,0.14617899069779886,0.08213380006363694,0.5836950513271149
qqq_volume_volatility_20d,0.34159995448191516,0.2909048062319616,0.07740751494659383,0.05987122874996035,0.5739907406332136
qqq_rv_60d,0.1848933468460569,0.22823519269983664,0.08889065816808465,0.10298875413332077,0.5656536309470535
gld_return_252d,0.07545872794115543,0.1908231096611319,0.1699625912475521,0.20047109772321164,0.5252554930581772
corr_spy_gld_126d,0.020358696311077083,0.12235774786472414,0.23821778271842967,0.1985225425026882,0.48253773054390586
qqq_ma_distance_200d,0.05427714573057879,0.07850474688600535,0.0912635800977599,0.10372971574938934,0.4563942576468185
iwm_volume_volatility_20d,0.3952680152812693,0.29429036499254063,0.3982550860682381,0.06369470856574598,0.4521865557126534
hyg_return_252d,0.061570246389397926,0.044457151680722715,0.113437587022762,0.07393033567150055,0.4482625843800657
iwm_downside_rv_60d,0.1258175187883845,0.1440072537219492,0.06926151035099007,0.07776858121655861,0.42877654284963257
spy_ma_distance_200d,0.035666690520883164,0.058994639373131284,0.08302082520987564,0.07475131202328714,0.4257410029568507
ief_rv_126d,0.06248163786728823,0.07224909314684422,0.020061616397920864,0.022159103495184452,0.4242798871736899
hyg_downside_rv_60d,0.047654000035172846,0.04485849642410307,0.04774533352212274,0.03872221192791923,0.42315070092838014
tlt_downside_rv_60d,0.07720761643642186,0.09405949441338866,0.026423294717862818,0.03413341706638334,0.4202879068924028
iwm_rv_10d,0.2010965840398245,0.2342151265661391,0.12824128363754864,0.12668613955919064,0.41677755446554066
gld_rv_60d,0.171501589039639,0.16348252685495515,0.07144341645933341,0.055075803801909747,0.3876475972519189
spy_volume_volatility_20d,0.3287616334732812,0.29127766877213396,0.07027714049876153,0.06018090451994408,0.3852186912181449
corr_spy_hyg_20d,0.6609719658305494,0.7451780421557175,0.21293046739832533,0.12163082395030485,0.3739159250290206
eem_rv_20d,0.24816174355814255,0.1927996487735783,0.17655221910056548,0.1048608685002319,0.3734465664982539
vnq_rv_20d,0.22915348928276563,0.20212194824603089,0.21672835360825374,0.13409981284895162,0.3708680549478789
hyg_downside_rv_10d,0.0401672787455553,0.038771952642554064,0.050480646762318185,0.03984316564150697,0.36593412226453415
hyg_ma_distance_200d,0.022322185968825518,0.01650312024718362,0.05610734393571009,0.03756708529830535,0.36546846006411216
tlt_rv_20d,0.12972739395655689,0.15609193586038825,0.0499546925453729,0.06663925069256892,0.36205232364244216
hyg_rv_60d,0.08697605351923687,0.07645828123547978,0.07653949404265191,0.05990313260293901,0.3588341281996884
vnq_return_252d,0.0956498042221785,0.05650801165976303,0.24489042286234466,0.1787916681359842,0.3526897816784814
hyg_rv_126d,0.09073767181652244,0.08058428260665816,0.07321413427852803,0.054179822991018096,0.3513140076041177
gld_ma_distance_200d,0.02630259040676338,0.07230295458772086,0.08162312765785519,0.08863352656037841,0.3429461370909862
tlt_return_126d,0.03861211279288754,-0.016631283870577745,0.09360669610496017,0.10077657396050466,0.3421960712696958
corr_spy_gld_60d,0.02577543954683078,0.12711054105168523,0.2940855284647012,0.2577735931820602,0.34071623902206477
qqq_downside_rv_60d,0.11162933954179827,0.13772022938936357,0.05516872279076295,0.06956666788524415,0.3404162766807703
spy_return_252d,0.09951504430812329,0.16371810429257755,0.16328866648114954,0.1582553273210898,0.337209251636031
spy_rv_60d,0.1599431847657936,0.17759585902202954,0.10166030047272015,0.1029844771608429,0.3309221258193938
qqq_rv_20d,0.1791645855366131,0.22161875356381078,0.10016038728625483,0.1193944982044773,0.32959611786815474
eem_volume_volatility_20d,0.36884901217116645,0.3405678896480734,0.08235559568814212,0.06168757490382087,0.31716729235502644
tlt_drawdown_126d,-0.05169330170346468,-0.08048780497410803,0.047112146574447906,0.059533319759261856,0.3159245609029244
hyg_downside_rv_20d,0.04329802551862737,0.040970329867256426,0.048865303768809466,0.03941920146285102,0.3112779303913788
iwm_downside_rv_20d,0.11856834762255604,0.1359144990190667,0.07692143772180947,0.08510060399746908,0.28815121020605416
spy_return_126d,0.049680279235488685,0.08046432627073045,0.1130467491313999,0.10630955451304,0.28500511628696745
eem_downside_rv_20d,0.144179605620562,0.11236403121824998,0.10211743591955205,0.07549489313569602,0.2784975098188285
gld_return_126d,0.03884372362912792,0.09810084239611994,0.11416533066492117,0.12645712243740315,0.2780911715915022
qqq_downside_rv_20d,0.10384333491305595,0.1292637776728991,0.06464538697771367,0.0785234577307498,0.27431446443604157
spy_garman_klass_rv_20d,0.12998971912132634,0.13529577740926338,0.09059613632665427,0.07756144476072137,0.2719266950158804
spy_parkinson_rv_20d,0.12821116217627226,0.13496077716321075,0.08867511580923791,0.07527417994597306,0.27144673610984565
tlt_drawdown_200d,-0.0645898166255142,-0.1025715109558843,0.054290041204167354,0.07540457484514164,0.2713793959855521
ief_rv_60d,0.06191777270578793,0.07079239437929107,0.02123541559901448,0.025455109406019562,0.2706251870032027
