Embedding Source,Matrix,Rows,Embedding Columns,Approx Memory MB
TabPFN,X_tune,1509,192,1.1053504943847656
TabPFN,X_calibration,503,192,0.3685340881347656
TabPFN,X_holdout,1571,192,1.1507606506347656
TabPFN,X_fair_final_train,2012,192,1.4737586975097656
TabICL,X_tune,1509,512,2.9473915100097656
TabICL,X_calibration,503,512,0.9825477600097656
TabICL,X_holdout,1571,512,3.0684852600097656
TabICL,X_fair_final_train,2012,512,3.9298133850097656
