Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
XGBoost[Raw] Calibration Base,holdout,top_rate,0.1,158,0.7974683544303798,0.3442622950819672
XGBoost[Raw] Calibration Base,holdout,top_rate,0.2,315,0.7015873015873015,0.6038251366120219
XGBoost[Raw] Calibration Base,holdout,top_rate,0.3,472,0.5063559322033898,0.6530054644808743
XGBoost[Raw] Calibration Base,holdout,target_recall,0.5,230,0.7956521739130434,0.5
XGBoost[Raw] Calibration Base,holdout,target_recall,0.7,526,0.48859315589353614,0.7021857923497268
XGBoost[Raw] Calibration Base,holdout,target_recall,0.8,842,0.3479809976247031,0.8005464480874317
XGBoost[Raw] Calibration Base,holdout,target_recall,0.9,1152,0.2864583333333333,0.9016393442622951
XGBoost[Raw] Calibrated,holdout,top_rate,0.05,79,0.7468354430379747,0.16120218579234974
XGBoost[Raw] Calibrated,holdout,top_rate,0.1,158,0.7974683544303798,0.3442622950819672
XGBoost[Raw] Calibrated,holdout,top_rate,0.2,315,0.7015873015873015,0.6038251366120219
XGBoost[Raw] Calibrated,holdout,top_rate,0.3,472,0.5063559322033898,0.6530054644808743
XGBoost[Raw] Calibrated,holdout,target_recall,0.5,230,0.7956521739130434,0.5
XGBoost[Raw] Calibrated,holdout,target_recall,0.7,526,0.48859315589353614,0.7021857923497268
XGBoost[Raw] Calibrated,holdout,target_recall,0.8,842,0.3479809976247031,0.8005464480874317
XGBoost[Raw] Calibrated,holdout,target_recall,0.9,1152,0.2864583333333333,0.9016393442622951
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.05,79,0.8354430379746836,0.18032786885245902
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.1,158,0.6455696202531646,0.2786885245901639
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.2,315,0.5079365079365079,0.4371584699453552
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.3,472,0.4067796610169492,0.5245901639344263
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.5,408,0.4485294117647059,0.5
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.7,899,0.28587319243604004,0.7021857923497268
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.8,1210,0.2421487603305785,0.8005464480874317
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.9,1379,0.23930384336475707,0.9016393442622951
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.05,79,0.7721518987341772,0.16666666666666666
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.1,158,0.7025316455696202,0.30327868852459017
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.2,315,0.5936507936507937,0.5109289617486339
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.3,472,0.5233050847457628,0.674863387978142
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.5,309,0.5922330097087378,0.5
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.7,518,0.49613899613899615,0.7021857923497268
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.8,795,0.36855345911949683,0.8005464480874317
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.9,1108,0.29783393501805056,0.9016393442622951
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.05,79,0.7721518987341772,0.16666666666666666
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.1,158,0.7025316455696202,0.30327868852459017
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.2,315,0.5936507936507937,0.5109289617486339
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.3,472,0.5233050847457628,0.674863387978142
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.5,309,0.5922330097087378,0.5
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.7,518,0.49613899613899615,0.7021857923497268
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.8,795,0.36855345911949683,0.8005464480874317
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,target_recall,0.9,1108,0.29783393501805056,0.9016393442622951
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.05,79,0.5569620253164557,0.12021857923497267
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.1,158,0.5506329113924051,0.23770491803278687
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.2,315,0.5079365079365079,0.4371584699453552
XGBoost[Raw + TabICL embeddings],holdout,top_rate,0.3,472,0.4555084745762712,0.587431693989071
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.5,376,0.4867021276595745,0.5
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.7,739,0.34776725304465494,0.7021857923497268
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.8,952,0.3077731092436975,0.8005464480874317
XGBoost[Raw + TabICL embeddings],holdout,target_recall,0.9,1319,0.25018953752843065,0.9016393442622951
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.05,79,0.8607594936708861,0.18579234972677597
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.1,158,0.7025316455696202,0.30327868852459017
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.2,315,0.6031746031746031,0.5191256830601093
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.3,472,0.4830508474576271,0.6229508196721312
