date,Buy and hold SPY,Rule[SPY realized volatility 20d],Rule[VIX close],TabICL[Direct all-history] Calibration Base,TabPFN[Direct all-history] Calibration Base,XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost[Raw all-history incumbent] Calibrated,XGBoost[Raw all-history incumbent] Calibration Base,XGBoost[Raw] Calibrated,XGBoost[Raw] Calibration Base
2020-01-02,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755,-0.0075720329413859755
2020-01-03,0.0038150066179742925,0.0038150066179742925,0.0038150066179742925,0.0038150066179742925,0.0038150066179742925,0.0038150066179742925,0.0038150066179742925,0.0038150066179742925,0.0038150066179742925,0.0018575033089871463,0.0018575033089871463,0.0038150066179742925,0.0038150066179742925
2020-01-06,-0.002811816418341606,-0.002811816418341606,-0.002811816418341606,-0.002811816418341606,-0.002811816418341606,-0.002811816418341606,-0.002811816418341606,-0.002811816418341606,-0.002811816418341606,-0.001405908209170803,-0.001405908209170803,-0.002811816418341606,-0.002811816418341606
2020-01-07,0.005329484686449115,0.005329484686449115,0.005329484686449115,0.005329484686449115,0.005329484686449115,0.005329484686449115,0.005329484686449115,0.005329484686449115,0.005329484686449115,0.0026647423432245576,0.0026647423432245576,0.005329484686449115,0.005329484686449115
2020-01-08,0.006780669328638522,0.006780669328638522,0.006780669328638522,0.006780669328638522,0.006780669328638522,0.006780669328638522,0.006780669328638522,0.006780669328638522,0.006780669328638522,0.0067306693286385225,0.0067306693286385225,0.006780669328638522,0.006780669328638522
2020-01-09,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633,-0.002877710344841633
2020-01-10,0.006877162922436897,0.006877162922436897,0.006877162922436897,0.006877162922436897,0.006877162922436897,0.006877162922436897,0.006877162922436897,0.006877162922436897,0.006877162922436897,0.0033885814612184483,0.0033885814612184483,0.006877162922436897,0.006877162922436897
2020-01-13,-0.0015245406547399476,-0.0015245406547399476,-0.0015245406547399476,-0.0015245406547399476,-0.0015245406547399476,-0.0015245406547399476,-0.0015245406547399476,-0.0015245406547399476,-0.0015245406547399476,-0.0015745406547399475,-0.0015745406547399475,-0.0015245406547399476,-0.0015245406547399476
2020-01-14,0.0022601160897279815,0.0022601160897279815,0.0022601160897279815,0.0022601160897279815,0.0022601160897279815,0.0022601160897279815,0.0022601160897279815,0.0022601160897279815,0.0022601160897279815,0.0010800580448639908,0.0010800580448639908,0.0022601160897279815,0.0022601160897279815
2020-01-15,0.008318093483897337,0.008318093483897337,0.008318093483897337,0.008318093483897337,0.008318093483897337,0.008318093483897337,0.008318093483897337,0.008318093483897337,0.008318093483897337,0.004159046741948669,0.004159046741948669,0.008318093483897337,0.008318093483897337
2020-01-16,0.0031125367093451928,0.0031125367093451928,0.0031125367093451928,0.0031125367093451928,0.0031125367093451928,0.0031125367093451928,0.0031125367093451928,0.0031125367093451928,0.0031125367093451928,0.0030625367093451926,0.0030625367093451926,0.0031125367093451928,0.0031125367093451928
2020-01-17,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068,-0.001957859838482068
2020-01-21,0.00012035096518658861,0.00012035096518658861,0.00012035096518658861,0.00012035096518658861,0.00012035096518658861,0.00012035096518658861,0.00012035096518658861,0.00012035096518658861,0.00012035096518658861,1.0175482593294303e-05,1.0175482593294303e-05,0.00012035096518658861,0.00012035096518658861
2020-01-22,0.0011470263887625176,0.0011470263887625176,0.0011470263887625176,0.0011470263887625176,0.0011470263887625176,0.0011470263887625176,0.0011470263887625176,0.0011470263887625176,0.0011470263887625176,0.0010970263887625177,0.0010970263887625177,0.0011470263887625176,0.0011470263887625176
2020-01-23,-0.008892985887535398,-0.008892985887535398,-0.008892985887535398,-0.004496492943767699,-0.008892985887535398,-0.008892985887535398,-0.008892985887535398,-0.008892985887535398,-0.008892985887535398,-0.008892985887535398,-0.008892985887535398,-0.008892985887535398,-0.008892985887535398
2020-01-24,-0.016029606245467343,-0.016029606245467343,-0.016029606245467343,-0.008014803122733671,-0.016029606245467343,-0.016029606245467343,-0.016029606245467343,-0.016029606245467343,-0.016029606245467343,-0.008064803122733671,-0.008064803122733671,-0.016029606245467343,-0.016029606245467343
2020-01-27,0.010479276958070827,0.010479276958070827,0.010479276958070827,0.005239638479035413,0.010479276958070827,0.010479276958070827,0.010479276958070827,0.010479276958070827,0.010479276958070827,0.010429276958070827,0.010429276958070827,0.010479276958070827,0.010479276958070827
2020-01-28,-0.000825933642131349,-0.000825933642131349,-0.000825933642131349,-0.0004129668210656745,-0.000825933642131349,-0.000825933642131349,-0.000825933642131349,-0.000825933642131349,-0.000825933642131349,-0.000825933642131349,-0.000825933642131349,-0.000825933642131349,-0.000825933642131349
2020-01-29,0.003245632250082453,0.003245632250082453,0.003245632250082453,0.0016228161250412265,0.003245632250082453,0.003245632250082453,0.003245632250082453,0.003245632250082453,0.003245632250082453,0.003245632250082453,0.003245632250082453,0.003245632250082453,0.003245632250082453
2020-01-30,-0.01815811577421722,-0.01815811577421722,-0.01815811577421722,-0.00907905788710861,-0.01815811577421722,-0.01815811577421722,-0.01815811577421722,-0.01815811577421722,-0.01815811577421722,-0.01815811577421722,-0.01815811577421722,-0.01815811577421722,-0.01815811577421722
2020-01-31,0.007428274753684905,0.007428274753684905,0.007428274753684905,0.0037141373768424524,0.007428274753684905,0.007428274753684905,0.007428274753684905,0.007428274753684905,0.007428274753684905,0.007428274753684905,0.007428274753684905,0.007428274753684905,0.007428274753684905
2020-02-03,0.015241442613005862,0.015241442613005862,0.015241442613005862,0.007620721306502931,0.015241442613005862,0.015241442613005862,0.015241442613005862,0.015241442613005862,0.015241442613005862,0.015241442613005862,0.015241442613005862,0.015241442613005862,0.015241442613005862
2020-02-04,0.011548113316306008,0.011548113316306008,0.011548113316306008,0.011498113316306008,0.011548113316306008,0.011548113316306008,0.011548113316306008,0.011548113316306008,0.011548113316306008,0.011548113316306008,0.011548113316306008,0.011548113316306008,0.011548113316306008
2020-02-05,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366,0.0033649695245583366
