month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Rule[6M momentum top-k],Rule[Risk-adjusted momentum top-k],TabICL[Direct allocation scorer],TabICL[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] Calibration Base,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibration Base
2020-01,0.9530872913022448,0.9217512446195757,0.9820449434703211,0.9618242225700404,0.9808624955932779,0.9885605838536644,0.9175328246777603,0.9595386091002857,0.9253143341908746,0.9305952762201988,0.962496631690724,0.9726010606427241,0.8881021352481122,0.9055875557141306,0.9055875557141306
2020-02,0.8185542256857542,0.7710001546353946,0.9196312639737464,0.8681173021158659,0.9677501935121466,1.026004384230412,0.8518876285426412,0.9955632952605329,0.8290594814307567,0.8095894996303047,0.9496298469543308,0.7525112662847402,0.7382088244016305,0.7524412042568618,0.7524412042568618
2020-03,0.9127152320417581,0.8870637520206893,1.0010288127056692,0.9316533034687015,0.9867394514840768,1.0464787112269636,0.8683194610985098,1.0154301581767355,0.9139247875080715,0.8693649530807348,1.123615567520357,0.8115674056937454,0.8535662941996607,0.8937938459775505,0.8937938459775505
2020-04,0.95679633709941,0.9439920573088195,1.027163335253318,0.96080090605017,0.9866567239897407,1.046390975237969,0.8923064520683066,1.015345025275104,0.9687736111133719,0.8936706136819123,1.1906743592953384,0.8434645835023914,0.9005537045772481,0.9426977851528346,0.9426977851528346
2020-05,0.9792452398481494,0.9667266649395172,1.0442895254978,0.978175701257642,1.0185789832267473,1.057228274998829,0.9214735411909278,1.0481954648695073,1.0186866176279206,0.9228822935651062,1.2124644337737582,0.8893568732238025,0.9200417042401302,0.9503686336162132,0.9503686336162132
2020-06,1.021382985505111,1.0252794757913648,1.0992199250161139,1.0157474680808505,1.0968798362398455,1.112686889194261,0.9923096427524187,1.1287730149420014,1.1105535825013817,0.9938266896372819,1.304861463134164,0.9075625132650535,0.9482389073777573,0.9798120782832367,0.9798120782832367
2020-07,1.0492901838427675,1.0936375431165406,1.1242342512284615,1.0293018459606191,1.125357902278285,1.097458783798553,1.0180727743218319,1.187002163459067,1.168213043646604,1.0450944654833287,1.3540710588695464,0.9506841951745605,0.9573810015941179,0.989454075015905,0.989454075015905
2020-08,1.0124402829733075,1.058761280883535,1.105276067187455,1.0114231458044904,1.0764575281931577,1.088133158981136,0.9738342796976477,1.1427715626090014,1.0778675435885772,1.0069554099951619,1.2552837268083912,0.8779363222107116,0.8963413197689459,0.9263695122148609,0.9263695122148609
2020-09,1.002701501482617,1.0352779134094103,1.0806657080778905,1.0011069942211255,1.0533120823157371,1.0654418773204206,0.9633832717364227,1.127022520095578,1.06363944328201,0.9984919914536801,1.2563779450685777,0.8584110117580547,0.8814684838928265,0.9279425394012413,0.9279425394012413
2020-10,1.1103689458128145,1.1461737688594031,1.1501520376439527,1.0636957452969689,1.0766722111441525,1.1175860452746786,1.0898054616892991,1.2749186475214596,1.1532461766095403,1.1295214040595898,1.4085234846744157,1.0280639485981808,1.0732651861329707,1.1116467248862067,1.1116467248862067
2020-11,1.1565414420096904,1.181727617681218,1.1665774618760465,1.0928193354380753,1.1442879418269032,1.1393004286325592,1.1612822160567289,1.3476650294000792,1.2085528323919543,1.2036029964068844,1.4580585199712761,1.0493017945701104,1.1132844929610612,1.1598809241138952,1.1598809241138952
