month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Rule[6M momentum top-k],Rule[Risk-adjusted momentum top-k],TabICL[Direct allocation scorer],TabICL[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] Calibration Base,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibration Base
2020-01,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-02,0.0,0.0,0.0,0.18218871739272804,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.9999999999999998,1.9999999999999998
2020-03,0.0,0.0,0.0,0.20837086351471462,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2020-04,0.0,0.0,0.0,0.03768991214170887,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,1.3333333333333333
2020-05,0.0,0.0,0.0,0.01886112771499194,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2020-06,0.0,0.0,0.0,0.17271151063896442,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666
2020-07,0.0,0.0,0.0,0.04258759928842121,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666
2020-08,0.0,0.0,0.0,0.09331567285581038,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
2020-09,0.0,0.0,0.0,0.08907523656227626,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.9999999999999998,1.9999999999999998
2020-10,0.0,0.0,0.0,0.08333565239441053,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
2020-11,0.0,0.0,0.0,0.08796477674559107,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.9999999999999998,1.9999999999999998
2020-12,0.0,0.0,0.0,0.08449246518641862,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666
2021-01,0.0,0.0,0.0,0.044089425458388704,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2021-02,0.0,0.0,0.0,0.11086789686748813,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666
2021-03,0.0,0.0,0.0,0.07372181227749128,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0
2021-04,0.0,0.0,0.0,0.06997850778448493,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333
2021-05,0.0,0.0,0.0,0.0757796035928227,0.6666666666666666,1.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,1.9999999999999998,1.9999999999999998
2021-06,0.0,0.0,0.0,0.10365047544669875,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333
2021-07,0.0,0.0,0.0,0.060828812334105704,0.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666
2021-08,0.0,0.0,0.0,0.10362290144023316,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2021-09,0.0,0.0,0.0,0.051422952463883786,0.0,0.0,0.0,0.6666666666666666,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2021-10,0.0,0.0,0.0,0.06833619332147288,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,1.3333333333333333
2021-11,0.0,0.0,0.0,0.08699127389099132,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333
2021-12,0.0,0.0,0.0,0.07226826554160463,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666
2022-01,0.0,0.0,0.0,0.04357645173984852,0.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
2022-02,0.0,0.0,0.0,0.0730517168948142,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2022-03,0.0,0.0,0.0,0.10668340907884187,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2022-04,0.0,0.0,0.0,0.03302471926248124,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,0.0
2022-05,0.0,0.0,0.0,0.03879262163131508,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
