fold,train_rows,validation_rows,train_positive_rows,validation_positive_rows,train_start,train_end,validation_start,validation_end,used
1,500,470,150,141,2006-01,2010-02,2010-03,2014-01,True
2,970,470,291,141,2006-01,2014-01,2014-02,2017-12,True
