month,rows,positive_rows,mean_forward_return
2006-01,10,3,-0.00944970738764126
2006-02,10,3,0.01729018120867213
2006-03,10,3,0.030212931813706566
2006-04,10,3,-0.046650193474477145
2006-05,10,3,0.008560533504071034
2006-06,10,3,0.0002731486709625086
2006-07,10,3,0.020191626438305153
2006-08,10,3,0.003914446193934063
2006-09,10,3,0.038158115347622215
2006-10,10,3,0.03217686894036076
2006-11,10,3,0.010526456703166464
2006-12,10,3,0.005825046041890769
2007-01,10,3,-0.0198292557482155
2007-02,10,3,0.026681904916079257
2007-03,10,3,0.03164311145655017
2007-04,10,3,0.024014735483282257
2007-05,10,3,-0.003761239984442044
2007-06,10,3,-0.019984780675586754
2007-07,10,3,0.01811100812721613
2007-08,10,3,0.05054398590567379
2007-09,10,3,0.025284902128294297
2007-10,10,3,-0.023131871034512953
2007-11,10,3,0.0077126589914220944
2007-12,10,3,-0.036400745545026494
2008-01,10,3,-0.011497956251445484
2008-02,10,3,-0.0027049432156997953
2008-03,10,3,0.029449939221551424
2008-04,10,3,0.012689280370151268
2008-05,10,3,-0.053723848161567264
2008-06,10,3,-0.008983397322966769
2008-07,10,3,-0.012827071306446402
2008-08,10,3,-0.07157626637601228
2008-09,10,3,-0.15889611067331533
2008-10,10,3,-0.052166848750053986
2008-11,10,3,0.07718145880822402
2008-12,10,3,-0.0971802243604496
2009-01,10,3,-0.07719992257858292
2009-02,10,3,0.08640887510454873
2009-03,10,3,0.09182237242126119
2009-04,10,3,0.08485998031114296
2009-05,10,3,-0.016448396273511433
2009-06,10,3,0.0689392376467424
2009-07,10,3,0.013422418985009565
2009-08,10,3,0.04642565429241219
2009-09,10,3,-0.010512317787305426
2009-10,10,3,0.0538817358835334
2009-11,10,3,0.0033142054371689267
2009-12,10,3,-0.034748097341831485
2010-01,10,3,0.022212132430970498
2010-02,10,3,0.04740835373067487
2010-03,10,3,0.019407864996067625
2010-04,10,3,-0.05961712325906097
2010-05,10,3,-0.016711943520134553
2010-06,10,3,0.06345753703437411
2010-07,10,3,-0.020524701170007997
2010-08,10,3,0.06931055161507688
2010-09,10,3,0.026819117906086442
2010-10,10,3,0.005433151503265033
2010-11,10,3,0.0446545340578276
2010-12,10,3,0.003842806664021303
2011-01,10,3,0.030665332047191917
2011-02,10,3,0.0076814188206821956
2011-03,10,3,0.029742178860352898
2011-04,10,3,-0.015830654701165525
2011-05,10,3,-0.017807803073287033
2011-06,10,3,0.015676023953578023
2011-07,10,3,-0.0369326193455793
2011-08,10,3,-0.07534356508312219
2011-09,10,3,0.07119723249723774
2011-10,10,3,0.014563789613463796
2011-11,10,3,0.007346217482257866
2011-12,10,3,0.04941734701792191
2012-01,10,3,0.023658931915442438
2012-02,10,3,0.0014731803628411644
2012-03,10,3,-0.0020269773514884903
2012-04,10,3,-0.06428599247103586
2012-05,10,3,0.04670250441747702
2012-06,10,3,0.012992902121428973
2012-07,10,3,0.02005877353035316
2012-08,10,3,0.029852682961459785
2012-09,10,3,-0.01609846005497455
2012-10,10,3,0.007870478707491269
