Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Turnover Cap,Constraint Source
75,0.17003531779945003,0.13528000665352705,1.2345662211700321,2.184290445048536,-0.13405369180426674,0.013917677217841809,5.6475870320121935,6.1066666666666665,0.017648709475038105,2.668354767850195,Rule[Risk-adjusted momentum top-k],0.5,post_score_turnover_cap
75,0.15797879564361117,0.13364961339318718,1.1702576141662298,1.8150330890785533,-0.14101153277606082,0.01303370647531252,3.9674047425481613,4.0,0.012398139820463006,2.501086965835092,12M momentum top-k portfolio,0.5,post_score_turnover_cap
75,0.1729748079312734,0.1511041485323989,1.1359375200401682,2.0268355414128556,-0.2641528744309162,0.014303739312639537,5.976719042478374,6.6,0.018677247007744917,2.7105303860842285,TabPFN[Direct allocation scorer],0.5,post_score_turnover_cap
75,0.17800253895106,0.16242223042884718,1.0969305998053138,1.4169625936653558,-0.16387704130223812,0.014847159553836023,3.3451631329549354,3.8533333333333335,0.010453634790484173,2.783965926450188,TabICL[Direct allocation scorer] Calibration Base,0.5,post_score_turnover_cap
75,0.15048581406919448,0.15365018126864338,0.9945216590364155,1.2798479401871947,-0.23137344363606926,0.012734036098878103,4.781427591256754,4.573333333333333,0.014941961222677356,2.401640093286008,TabICL[Direct allocation scorer],0.5,post_score_turnover_cap
75,0.14218204675321555,0.15590399471004368,0.9351210901666343,1.3188658514852871,-0.14515236418796795,0.01214909279121577,4.491515022850413,4.32,0.014035984446407542,2.2953335742933976,Rule[6M momentum top-k],0.5,post_score_turnover_cap
75,0.15336577081554736,0.17820446790207872,0.8941408068496359,1.2618639113398749,-0.23312895360259178,0.013278323892847896,0.16,1.0,0.0005,2.4394623244516906,SPY only,0.5,post_score_turnover_cap
75,0.11659946432334678,0.13969672369863237,0.8627603093155172,1.136313935131854,-0.17812597605045855,0.010043732379049701,0.16,10.0,0.0005,1.9923188536936511,Equal weight universe,0.5,post_score_turnover_cap
75,0.0815484929645578,0.1115141353820557,0.7607424128554181,1.040463017709399,-0.18475965380651926,0.0070694610348359015,1.0432099390991172,10.0,0.003260031059684741,1.6322530099683887,Inverse volatility universe,0.5,post_score_turnover_cap
75,0.0632230549441366,0.09046287909342815,0.7240377843211385,1.141725470009151,-0.1971794307089474,0.005458211878509731,3.684190476190476,3.7333333333333334,0.011513095238095239,1.4669064157271192,Low volatility top-k portfolio,0.5,post_score_turnover_cap
