Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Source
75,0.17543502937760702,0.1419429385349157,1.2155617679051705,2.2172111502995553,-0.13955138360880703,0.014378367442263092,7.733333333333333,3.0,0.02416666666666667,2.7462586110269367,Rule[Risk-adjusted momentum top-k],model_score
75,0.18896847033142716,0.15524181596962994,1.1999698940359915,1.7422289912059994,-0.1300305080865911,0.015523792121585979,4.1066666666666665,3.0,0.012833333333333332,2.9499497084062387,TabICL[Direct allocation scorer] Calibration Base,model_score
75,0.1936732442212299,0.15940477850527446,1.1958489682414621,1.8900973693702348,-0.25981509329064745,0.015885336659024273,11.466666666666667,3.0,0.03583333333333333,3.023668122499632,TabPFN[Direct allocation scorer],model_score
75,0.15587363222596973,0.13619711053880276,1.1373345401031112,1.7819269191267408,-0.14748222528173904,0.012908473173168488,4.746666666666667,3.0,0.014833333333333332,2.472804199092445,12M momentum top-k portfolio,deterministic
75,0.13736662466684613,0.15424436461276847,0.915799383419589,1.2355281465081698,-0.2529628220031639,0.011771407834026637,6.7733333333333325,3.0,0.021166666666666667,2.2355171192095415,TabICL[Direct allocation scorer],model_score
75,0.13172331245297642,0.14990076345611708,0.9036522229129382,1.58434880807415,-0.15297974733951913,0.011288179842788895,5.706666666666666,3.0,0.017833333333333336,2.167088451538231,Rule[6M momentum top-k],model_score
75,0.15336577081554736,0.17820446790207872,0.8941408068496359,1.2618639113398749,-0.23312895360259178,0.013278323892847896,0.16,1.0,0.0005,2.4394623244516906,SPY only,deterministic
75,0.11659946432334678,0.13969672369863237,0.8627603093155172,1.136313935131854,-0.17812597605045855,0.010043732379049701,0.16,10.0,0.0005,1.9923188536936511,Equal weight universe,deterministic
75,0.0815484929645578,0.1115141353820557,0.7607424128554182,1.0404630177093992,-0.18475965380651949,0.007069461034835903,1.0432099390991172,10.0,0.003260031059684741,1.6322530099683887,Inverse volatility universe,deterministic
75,0.06416686133764249,0.09272633344411237,0.7182023834122103,1.1356424710745052,-0.2031133544033945,0.005549689473719739,4.213333333333333,3.0,0.013166666666666667,1.4750638395892195,Low volatility top-k portfolio,deterministic
75,0.07161113909290973,0.1284713894744848,0.603357815594169,0.9990043994156277,-0.24936998440344116,0.006459518076639406,0.16,2.0,0.0005,1.540751576575174,60/40 SPY/TLT,deterministic
75,0.09709235814624395,0.18648762334063718,0.5897069725864281,0.846543126307438,-0.20283320067331412,0.009164420982087106,10.4,3.0,0.0325,1.7845139089153943,XGBoost[GPU allocation scorer],model_score
75,0.09026946923075263,0.19698941615411492,0.5397212020213813,0.6921090960943505,-0.29692185897598933,0.008859947039349085,6.56,3.0,0.020500000000000004,1.7162737774043555,TabPFN[Direct allocation scorer] Calibration Base,model_score
75,0.08055424638848163,0.19289148397474296,0.49630115289013266,0.7919181782331415,-0.27950600077342325,0.007977688823279457,11.573333333333334,3.0,0.036166666666666666,1.6228974949006392,XGBoost[GPU allocation scorer] Calibrated,model_score
75,0.08055424638848163,0.19289148397474296,0.49630115289013266,0.7919181782331415,-0.27950600077342325,0.007977688823279457,11.573333333333334,3.0,0.036166666666666666,1.6228974949006392,XGBoost[GPU allocation scorer] Calibration Base,model_score
