Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Rule[12M momentum top-k],calibration,2018-01,10,3,-0.07878787878787878,0.3333333333333333,-0.025072532617208803,-0.037357848289056764,0.01228531567184796
Rule[12M momentum top-k],calibration,2018-02,10,3,-0.7696969696969697,0.0,-0.020324278412651497,-0.004879834603880695,-0.015444443808770802
Rule[12M momentum top-k],calibration,2018-03,10,3,-0.18787878787878787,0.0,-0.008075161870004788,0.004936484655085072,-0.013011646525089859
Rule[12M momentum top-k],calibration,2018-04,10,3,-0.16363636363636364,0.3333333333333333,0.01891166752382197,0.0196927192812849,-0.0007810517574629305
Rule[12M momentum top-k],calibration,2018-05,10,3,-0.16363636363636364,0.3333333333333333,-0.004759349334602943,-0.017649811638561518,0.012890462303958575
Rule[12M momentum top-k],calibration,2018-06,10,3,0.43030303030303024,0.0,0.025216650461346763,0.021503942384216945,0.0037127080771298185
Rule[12M momentum top-k],calibration,2018-07,10,3,0.5030303030303029,0.6666666666666666,0.02435848013877373,0.0033331032402737493,0.02102537689849998
Rule[12M momentum top-k],calibration,2018-08,10,3,0.1515151515151515,0.3333333333333333,0.003989436495618374,0.0010308395121858215,0.002958596983432553
Rule[12M momentum top-k],calibration,2018-09,10,3,-0.7212121212121211,0.0,-0.08960136109635586,-0.05855415218300754,-0.03104720891334832
Rule[12M momentum top-k],calibration,2018-10,10,3,0.01818181818181818,0.3333333333333333,0.02434297199015793,0.02208609694396373,0.0022568750461941997
Rule[12M momentum top-k],calibration,2018-11,10,3,-0.5151515151515151,0.0,-0.1278643663872632,-0.06940863131502847,-0.05845573507223473
Rule[12M momentum top-k],calibration,2018-12,10,3,-0.6242424242424242,0.0,0.047010028582234055,0.08087108825749723,-0.03386105967526317
Rule[12M momentum top-k],calibration,2019-01,10,3,-0.2727272727272727,0.3333333333333333,0.007260543661955425,0.018443545636626237,-0.01118300197467081
Rule[12M momentum top-k],calibration,2019-02,10,3,0.5393939393939393,0.6666666666666666,0.01884514605127204,0.013621026551570835,0.005224119499701203
Rule[12M momentum top-k],calibration,2019-03,10,3,0.04242424242424241,0.6666666666666666,0.0251892622490905,0.01995055461835693,0.005238707630733568
Rule[12M momentum top-k],calibration,2019-04,10,3,0.18787878787878787,0.3333333333333333,-0.029298184360777062,-0.040510647805731125,0.011212463444954062
Rule[12M momentum top-k],calibration,2019-05,10,3,-0.5272727272727272,0.3333333333333333,0.038956477132362353,0.0661632853965348,-0.02720680826417244
Rule[12M momentum top-k],calibration,2019-06,10,3,0.7212121212121211,0.6666666666666666,0.006852439094897782,-0.0078032699409497416,0.014655709035847522
Rule[12M momentum top-k],calibration,2019-07,10,3,0.8787878787878788,1.0,0.07928868273475313,-0.009043054089008528,0.08833173682376166
Rule[12M momentum top-k],calibration,2019-08,10,3,-0.9030303030303028,0.0,-0.03393817334213548,0.016539724622510677,-0.05047789796464616
Rule[12M momentum top-k],calibration,2019-09,10,3,-0.2121212121212121,0.0,0.010806896409038758,0.023355112898334484,-0.012548216489295726
Rule[12M momentum top-k],calibration,2019-10,10,3,-0.4545454545454545,0.3333333333333333,-0.004942019898631633,0.009739306874449082,-0.014681326773080716
Rule[12M momentum top-k],calibration,2019-11,10,3,-0.4545454545454545,0.3333333333333333,0.028998832814687292,0.036877546263869874,-0.007878713449182582
Rule[12M momentum top-k],calibration,2019-12,10,3,-0.09090909090909088,0.0,0.0009588886200414907,-0.012324218531833797,0.013283107151875287
Rule[12M momentum top-k],holdout,2020-01,10,3,0.43030303030303024,0.3333333333333333,-0.018637504406722183,-0.046412708697755226,0.027775204291033043
Rule[12M momentum top-k],holdout,2020-02,10,3,0.9151515151515152,0.6666666666666666,-0.013034801486828377,-0.14115503044078165,0.12812022895395328
Rule[12M momentum top-k],holdout,2020-03,10,3,-0.7818181818181817,0.0,0.0199553991301011,0.11503331532754513,-0.09507791619744403
Rule[12M momentum top-k],holdout,2020-04,10,3,-0.4666666666666666,0.0,-8.383924876187443e-05,0.04829666856664785,-0.04838050781540972
Rule[12M momentum top-k],holdout,2020-05,10,3,0.3696969696969697,0.3333333333333333,0.032687300484058955,0.023462571791186815,0.00922472869287214
Rule[12M momentum top-k],holdout,2020-06,10,3,0.6848484848484848,0.6666666666666666,0.07687263756910608,0.04303084042920241,0.033841797139903665
Rule[12M momentum top-k],holdout,2020-07,10,3,0.19999999999999998,0.3333333333333333,0.02596279473607917,0.027322952050014282,-0.0013601573139351113
Rule[12M momentum top-k],holdout,2020-08,10,3,-0.07878787878787878,0.0,-0.04311984186197885,-0.03511888459158772,-0.00800095727039113
Rule[12M momentum top-k],holdout,2020-09,10,3,-0.309090909090909,0.0,-0.021501494737344973,-0.009619116953831431,-0.011882377783513542
Rule[12M momentum top-k],holdout,2020-10,10,3,-0.7212121212121211,0.0,0.022511118265845693,0.10737736422155342,-0.08486624595570773
Rule[12M momentum top-k],holdout,2020-11,10,3,0.23636363636363633,0.6666666666666666,0.06313399818089833,0.04158302190545917,0.021550976275439164
Rule[12M momentum top-k],holdout,2020-12,10,3,-0.04242424242424241,0.3333333333333333,0.008379715698607626,0.002797609590922523,0.005582106107685103
Rule[12M momentum top-k],holdout,2021-01,10,3,-0.28484848484848485,0.3333333333333333,0.028180816323590374,0.033729429969185966,-0.005548613645595592
Rule[12M momentum top-k],holdout,2021-02,10,3,0.49090909090909085,0.0,-0.0008500130704518863,0.004336645314938459,-0.005186658385390346
Rule[12M momentum top-k],holdout,2021-03,10,3,0.1515151515151515,0.3333333333333333,0.028482138470981022,0.030510660463881845,-0.0020285219929008225
Rule[12M momentum top-k],holdout,2021-04,10,3,-0.09090909090909088,0.3333333333333333,0.012911958278708021,0.02519022701437964,-0.012278268735671618
Rule[12M momentum top-k],holdout,2021-05,10,3,-0.11515151515151514,0.0,-0.010610256688972494,0.005973712191582081,-0.016583968880554575
Rule[12M momentum top-k],holdout,2021-06,10,3,-0.5515151515151515,0.0,-0.04731051687946497,-0.004461621755732348,-0.04284889512373262
Rule[12M momentum top-k],holdout,2021-07,10,3,0.5636363636363636,0.3333333333333333,0.014364220336265054,0.013786948377583786,0.0005772719586812688
Rule[12M momentum top-k],holdout,2021-08,10,3,0.23636363636363633,0.6666666666666666,0.018141805327122434,-0.02094948755462861,0.03909129288175105
Rule[12M momentum top-k],holdout,2021-09,10,3,0.8545454545454544,0.6666666666666666,0.07525668497765421,0.04368420681442773,0.03157247816322648
Rule[12M momentum top-k],holdout,2021-10,10,3,-0.6363636363636362,0.0,-0.0370078136956267,-0.010032825572825288,-0.026974988122801413
Rule[12M momentum top-k],holdout,2021-11,10,3,0.4666666666666666,0.3333333333333333,0.011387407251937173,0.009382358384936973,0.0020050488670001997
Rule[12M momentum top-k],holdout,2021-12,10,3,-0.04242424242424241,0.3333333333333333,0.03979501197124391,-0.014714810007115886,0.054509821978359796
Rule[12M momentum top-k],holdout,2022-01,10,3,0.2121212121212121,0.3333333333333333,0.009142954578334509,-0.006280959240341411,0.01542391381867592
Rule[12M momentum top-k],holdout,2022-02,10,3,0.49090909090909085,0.6666666666666666,0.047585289056550094,0.009367362355919607,0.038217926700630483
Rule[12M momentum top-k],holdout,2022-03,10,3,0.1515151515151515,0.3333333333333333,-0.07131231204693833,-0.07759247385181244,0.006280161804874104
Rule[12M momentum top-k],holdout,2022-04,10,3,0.05454545454545454,0.3333333333333333,0.0605596188784698,0.02540402512719241,0.035155593751277386
Rule[12M momentum top-k],holdout,2022-05,10,3,-0.3696969696969697,0.3333333333333333,-0.09654104816893394,-0.07694146095123255,-0.019599587217701386
Rule[12M momentum top-k],holdout,2022-06,10,3,-0.19999999999999998,0.0,0.024948304591274395,0.053490233078186886,-0.02854192848691249
Rule[12M momentum top-k],holdout,2022-07,10,3,0.28484848484848485,0.3333333333333333,-0.017362609937134194,-0.03458490444779686,0.017222294510662668
Rule[12M momentum top-k],holdout,2022-08,10,3,0.5151515151515151,0.6666666666666666,-0.047817649592370115,-0.06273537257240581,0.0149177229800357
Rule[12M momentum top-k],holdout,2022-09,10,3,0.3939393939393939,0.3333333333333333,0.09885665501329803,0.05596002766278407,0.04289662735051396
Rule[12M momentum top-k],holdout,2022-10,10,3,-0.33333333333333326,0.3333333333333333,0.052318404929882156,0.06062204323376859,-0.008303638303886432
Rule[12M momentum top-k],holdout,2022-11,10,3,0.12727272727272726,0.3333333333333333,-0.023453416742391504,-0.031604201365334074,0.00815078462294257
Rule[12M momentum top-k],holdout,2022-12,10,3,-0.7454545454545454,0.0,0.04307374307299764,0.06063527893668794,-0.017561535863690303
Rule[12M momentum top-k],holdout,2023-01,10,3,-0.07878787878787878,0.3333333333333333,-0.04296217746175468,-0.03528615074094611,-0.007676026720808568
Rule[12M momentum top-k],holdout,2023-02,10,3,-0.07878787878787878,0.3333333333333333,0.04746249976891385,0.023152501123775794,0.024309998645138053
Rule[12M momentum top-k],holdout,2023-03,10,3,-0.06666666666666665,0.3333333333333333,0.004560875512054974,0.004398504708388473,0.00016237080366650076
Rule[12M momentum top-k],holdout,2023-04,10,3,-0.2727272727272727,0.0,-0.046654790688125135,-0.014266777824624034,-0.0323880128635011
Rule[12M momentum top-k],holdout,2023-05,10,3,-0.13939393939393938,0.3333333333333333,0.02713780729278244,0.038884460002522346,-0.011746652709739906
Rule[12M momentum top-k],holdout,2023-06,10,3,0.4424242424242424,0.0,0.02686746142296159,0.025915042039082715,0.0009524193838788761
Rule[12M momentum top-k],holdout,2023-07,10,3,0.4545454545454545,0.3333333333333333,0.0017887228277370475,-0.013389542336861404,0.015178265164598451
Rule[12M momentum top-k],holdout,2023-08,10,3,0.09090909090909088,0.0,-0.05412437805469813,-0.04800828480510807,-0.00611609324959006
Rule[12M momentum top-k],holdout,2023-09,10,3,0.07878787878787878,0.0,-0.02987198812940539,-0.019593918959083422,-0.010278069170321969
Rule[12M momentum top-k],holdout,2023-10,10,3,-0.2606060606060606,0.3333333333333333,0.06936433510948858,0.0678964426373849,0.001467892472103688
Rule[12M momentum top-k],holdout,2023-11,10,3,-0.10303030303030303,0.0,0.034462191279100995,0.04687333743334883,-0.012411146154247835
Rule[12M momentum top-k],holdout,2023-12,10,3,0.35757575757575755,0.6666666666666666,0.010931042961023577,0.003196557956533508,0.007734485004490069
Rule[12M momentum top-k],holdout,2024-01,10,3,0.5030303030303029,0.6666666666666666,0.0476799273060855,0.024345519541201732,0.02333440776488377
Rule[12M momentum top-k],holdout,2024-02,10,3,0.24848484848484845,0.3333333333333333,0.031516008665336694,0.03828165071516756,-0.006765642049830864
Rule[12M momentum top-k],holdout,2024-03,10,3,-0.4545454545454545,0.0,-0.04510006820360479,-0.030628625386007267,-0.014471442817597525
Rule[12M momentum top-k],holdout,2024-04,10,3,0.406060606060606,0.6666666666666666,0.05387151382067645,0.035890928357338335,0.017980585463338118
Rule[12M momentum top-k],holdout,2024-05,10,3,0.006060606060606061,0.6666666666666666,0.029317708439613194,0.007346964842629089,0.021970743596984105
Rule[12M momentum top-k],holdout,2024-06,10,3,-0.2121212121212121,0.3333333333333333,0.01964661711405376,0.03226047069025806,-0.012613853576204297
Rule[12M momentum top-k],holdout,2024-07,10,3,0.006060606060606061,0.3333333333333333,0.018517450184681577,0.010012217714262629,0.008505232470418948
Rule[12M momentum top-k],holdout,2024-08,10,3,0.19999999999999998,0.6666666666666666,0.03114295307278399,0.02236595669863455,0.008776996374149443
Rule[12M momentum top-k],holdout,2024-09,10,3,0.4545454545454545,0.6666666666666666,0.02145366237074568,-0.008569686341232941,0.03002334871197862
Rule[12M momentum top-k],holdout,2024-10,10,3,0.2121212121212121,0.3333333333333333,0.07022178438611015,0.03202664567721979,0.03819513870889037
Rule[12M momentum top-k],holdout,2024-11,10,3,-0.12727272727272726,0.0,-0.04913876601380326,-0.034869197889612256,-0.014269568124191001
Rule[12M momentum top-k],holdout,2024-12,10,3,0.12727272727272726,0.6666666666666666,0.03554837410124704,0.017267997382340406,0.018280376718906633
Rule[12M momentum top-k],holdout,2025-01,10,3,-0.5393939393939393,0.0,0.019113200140101688,0.022694081044865266,-0.003580880904763578
Rule[12M momentum top-k],holdout,2025-02,10,3,0.01818181818181818,0.3333333333333333,-0.007256309723328913,-0.015092759572639013,0.0078364498493101
Rule[12M momentum top-k],holdout,2025-03,10,3,0.28484848484848485,0.3333333333333333,0.005398772196436326,-0.007605747877611068,0.013004520074047395
Rule[12M momentum top-k],holdout,2025-04,10,3,0.09090909090909088,0.0,0.042804902515413724,0.03194699145211151,0.010857911063302216
Rule[12M momentum top-k],holdout,2025-05,10,3,-0.13939393939393938,0.3333333333333333,0.03255014090761029,0.037141855086904894,-0.004591714179294604
Rule[12M momentum top-k],holdout,2025-06,10,3,-0.5515151515151515,0.0,-0.010109478448633821,0.0033233440231801082,-0.013432822471813929
Rule[12M momentum top-k],holdout,2025-07,10,3,0.309090909090909,0.6666666666666666,0.02742841941251088,0.025034517874523387,0.0023939015379874917
Rule[12M momentum top-k],holdout,2025-08,10,3,0.43030303030303024,0.6666666666666666,0.05897214041748048,0.04439561252664139,0.014576527890839089
Rule[12M momentum top-k],holdout,2025-09,10,3,0.5272727272727272,0.6666666666666666,0.02514210003152284,0.017783980410238175,0.007358119621284666
Rule[12M momentum top-k],holdout,2025-10,10,3,-0.17575757575757575,0.3333333333333333,-0.0008839949366652075,0.003197241083351565,-0.004081236020016772
Rule[12M momentum top-k],holdout,2025-11,10,3,0.7696969696969697,0.6666666666666666,0.03861419159274818,0.01709268882657048,0.021521502766177703
Rule[12M momentum top-k],holdout,2025-12,10,3,0.35757575757575755,0.6666666666666666,0.056152382114594314,0.030712148914340653,0.02544023320025366
Rule[12M momentum top-k],holdout,2026-01,10,3,0.38181818181818183,0.6666666666666666,0.06186628795768597,0.029339747248758687,0.032526540708927285
Rule[12M momentum top-k],holdout,2026-02,10,3,-0.5878787878787878,0.0,-0.07085952817488173,-0.033125666992559824,-0.0377338611823219
Rule[12M momentum top-k],holdout,2026-03,10,3,-0.07878787878787878,0.3333333333333333,0.024531969675284,0.052665236338631974,-0.028133266663347974
Rule[6M momentum top-k],calibration,2018-01,10,3,-0.05454545454545454,0.3333333333333333,-0.025072532617208803,-0.037357848289056764,0.01228531567184796
Rule[6M momentum top-k],calibration,2018-02,10,3,-0.8181818181818182,0.0,-0.03959488176532522,-0.004879834603880695,-0.03471504716144452
Rule[6M momentum top-k],calibration,2018-03,10,3,0.006060606060606061,0.0,-0.008075161870004788,0.004936484655085072,-0.013011646525089859
Rule[6M momentum top-k],calibration,2018-04,10,3,0.33333333333333326,0.6666666666666666,0.030341471758915512,0.0196927192812849,0.010648752477630613
Rule[6M momentum top-k],calibration,2018-05,10,3,-0.04242424242424241,0.3333333333333333,-0.004759349334602943,-0.017649811638561518,0.012890462303958575
Rule[6M momentum top-k],calibration,2018-06,10,3,-0.13939393939393938,0.0,0.025216650461346763,0.021503942384216945,0.0037127080771298185
Rule[6M momentum top-k],calibration,2018-07,10,3,0.8060606060606059,0.6666666666666666,0.02435848013877373,0.0033331032402737493,0.02102537689849998
Rule[6M momentum top-k],calibration,2018-08,10,3,-0.2606060606060606,0.3333333333333333,0.003989436495618374,0.0010308395121858215,0.002958596983432553
Rule[6M momentum top-k],calibration,2018-09,10,3,-0.7333333333333332,0.0,-0.10443252166703705,-0.05855415218300754,-0.04587836948402951
Rule[6M momentum top-k],calibration,2018-10,10,3,0.1515151515151515,0.3333333333333333,0.020901583539478723,0.02208609694396373,-0.0011845134044850061
Rule[6M momentum top-k],calibration,2018-11,10,3,0.24848484848484845,0.3333333333333333,-0.0745520404685837,-0.06940863131502847,-0.005143409153555226
Rule[6M momentum top-k],calibration,2018-12,10,3,-0.8060606060606059,0.0,0.011196003521347345,0.08087108825749723,-0.06967508473614988
Rule[6M momentum top-k],calibration,2019-01,10,3,-0.6848484848484848,0.0,-0.010666345688991608,0.018443545636626237,-0.029109891325617844
Rule[6M momentum top-k],calibration,2019-02,10,3,0.24848484848484845,0.6666666666666666,0.022785592989953158,0.013621026551570835,0.009164566438382322
Rule[6M momentum top-k],calibration,2019-03,10,3,-0.5151515151515151,0.0,-0.007887746054180559,0.01995055461835693,-0.027838300672537487
Rule[6M momentum top-k],calibration,2019-04,10,3,-0.11515151515151514,0.0,-0.0773637484906367,-0.040510647805731125,-0.03685310068490557
Rule[6M momentum top-k],calibration,2019-05,10,3,-0.6969696969696969,0.0,0.02585665694792468,0.0661632853965348,-0.04030662844861012
Rule[6M momentum top-k],calibration,2019-06,10,3,0.2121212121212121,0.3333333333333333,0.006678898405953963,-0.0078032699409497416,0.014482168346903704
Rule[6M momentum top-k],calibration,2019-07,10,3,0.38181818181818183,0.3333333333333333,0.017939233163510464,-0.009043054089008528,0.026982287252518992
Rule[6M momentum top-k],calibration,2019-08,10,3,-0.8787878787878788,0.0,-0.03393817334213548,0.016539724622510677,-0.05047789796464616
Rule[6M momentum top-k],calibration,2019-09,10,3,-0.22424242424242422,0.0,0.01868488019323396,0.023355112898334484,-0.004670232705100523
Rule[6M momentum top-k],calibration,2019-10,10,3,-0.5151515151515151,0.0,-0.020453325480746038,0.009739306874449082,-0.03019263235519512
Rule[6M momentum top-k],calibration,2019-11,10,3,-0.1515151515151515,0.0,0.03637316435980146,0.036877546263869874,-0.0005043819040684155
Rule[6M momentum top-k],calibration,2019-12,10,3,0.1515151515151515,0.0,0.0009588886200414907,-0.012324218531833797,0.013283107151875287
Rule[6M momentum top-k],holdout,2020-01,10,3,0.12727272727272726,0.0,-0.08196717532223967,-0.046412708697755226,-0.03555446662448444
Rule[6M momentum top-k],holdout,2020-02,10,3,0.7333333333333332,0.3333333333333333,-0.07087867140685004,-0.14115503044078165,0.0702763590339316
Rule[6M momentum top-k],holdout,2020-03,10,3,-0.7575757575757575,0.0,0.0199553991301011,0.11503331532754513,-0.09507791619744403
Rule[6M momentum top-k],holdout,2020-04,10,3,-0.3939393939393939,0.3333333333333333,0.02795794851753164,0.04829666856664785,-0.02033872004911621
Rule[6M momentum top-k],holdout,2020-05,10,3,0.32121212121212117,0.3333333333333333,0.032687300484058955,0.023462571791186815,0.00922472869287214
Rule[6M momentum top-k],holdout,2020-06,10,3,0.6121212121212121,0.6666666666666666,0.07687263756910608,0.04303084042920241,0.033841797139903665
Rule[6M momentum top-k],holdout,2020-07,10,3,0.01818181818181818,0.3333333333333333,0.02596279473607917,0.027322952050014282,-0.0013601573139351113
Rule[6M momentum top-k],holdout,2020-08,10,3,-0.22424242424242422,0.0,-0.04311984186197885,-0.03511888459158772,-0.00800095727039113
Rule[6M momentum top-k],holdout,2020-09,10,3,0.0303030303030303,0.3333333333333333,-0.010398480260730944,-0.009619116953831431,-0.0007793633068995127
Rule[6M momentum top-k],holdout,2020-10,10,3,0.07878787878787878,0.3333333333333333,0.13156063783594343,0.10737736422155342,0.024183273614390016
Rule[6M momentum top-k],holdout,2020-11,10,3,0.6727272727272726,0.6666666666666666,0.0655867096285554,0.04158302190545917,0.024003687723096225
Rule[6M momentum top-k],holdout,2020-12,10,3,0.49090909090909085,0.6666666666666666,0.025734963100728463,0.002797609590922523,0.02293735350980594
Rule[6M momentum top-k],holdout,2021-01,10,3,0.5757575757575757,0.6666666666666666,0.06784915210294162,0.033729429969185966,0.03411972213375566
Rule[6M momentum top-k],holdout,2021-02,10,3,0.4666666666666666,0.3333333333333333,0.0146881248888275,0.004336645314938459,0.01035147957388904
Rule[6M momentum top-k],holdout,2021-03,10,3,-0.006060606060606061,0.3333333333333333,0.037004881634372655,0.030510660463881845,0.00649422117049081
Rule[6M momentum top-k],holdout,2021-04,10,3,0.2606060606060606,0.6666666666666666,0.03865784822394628,0.02519022701437964,0.013467621209566641
Rule[6M momentum top-k],holdout,2021-05,10,3,-0.01818181818181818,0.3333333333333333,0.008826164089355623,0.005973712191582081,0.002852451897773542
Rule[6M momentum top-k],holdout,2021-06,10,3,-0.5636363636363636,0.0,-0.04731051687946497,-0.004461621755732348,-0.04284889512373262
Rule[6M momentum top-k],holdout,2021-07,10,3,0.309090909090909,0.6666666666666666,0.01708190528271832,0.013786948377583786,0.0032949569051345332
Rule[6M momentum top-k],holdout,2021-08,10,3,-0.43030303030303024,0.3333333333333333,-0.03968646714161935,-0.02094948755462861,-0.01873697958699074
