month,Equal weight universe | turnover_cap_1,SPY only | turnover_cap_1,60/40 SPY/TLT | turnover_cap_1,Inverse volatility universe | turnover_cap_1,12M momentum top-k portfolio | turnover_cap_1,Low volatility top-k portfolio | turnover_cap_1,Rule[6M momentum top-k] | turnover_cap_1,Rule[Risk-adjusted momentum top-k] | turnover_cap_1,TabICL[Direct allocation scorer] | turnover_cap_1,TabICL[Direct allocation scorer] Calibration Base | turnover_cap_1,TabPFN[Direct allocation scorer] | turnover_cap_1,TabPFN[Direct allocation scorer] Calibration Base | turnover_cap_1,XGBoost[GPU allocation scorer] | turnover_cap_1,XGBoost[GPU allocation scorer] Calibrated | turnover_cap_1,XGBoost[GPU allocation scorer] Calibration Base | turnover_cap_1,Equal weight universe | turnover_cap_0.5,SPY only | turnover_cap_0.5,60/40 SPY/TLT | turnover_cap_0.5,Inverse volatility universe | turnover_cap_0.5,12M momentum top-k portfolio | turnover_cap_0.5,Low volatility top-k portfolio | turnover_cap_0.5,Rule[6M momentum top-k] | turnover_cap_0.5,Rule[Risk-adjusted momentum top-k] | turnover_cap_0.5,TabICL[Direct allocation scorer] | turnover_cap_0.5,TabICL[Direct allocation scorer] Calibration Base | turnover_cap_0.5,TabPFN[Direct allocation scorer] | turnover_cap_0.5,TabPFN[Direct allocation scorer] Calibration Base | turnover_cap_0.5,XGBoost[GPU allocation scorer] | turnover_cap_0.5,XGBoost[GPU allocation scorer] Calibrated | turnover_cap_0.5,XGBoost[GPU allocation scorer] Calibration Base | turnover_cap_0.5
2020-01,-0.04691270869775522,-0.07824875538042436,-0.017955056529678937,-0.038175777429959604,-0.019137504406722183,-0.011439416146335646,-0.08246717532223966,-0.04046139089971436,-0.0746856658091254,-0.06940472377980124,-0.037503368309275975,-0.02739893935727594,-0.1118978647518878,-0.09441244428586942,-0.09441244428586942,-0.04691270869775522,-0.07824875538042436,-0.017955056529678937,-0.038175777429959604,-0.019137504406722183,-0.011439416146335646,-0.08246717532223966,-0.04046139089971436,-0.0746856658091254,-0.06940472377980124,-0.037503368309275975,-0.02739893935727594,-0.1118978647518878,-0.09441244428586942,-0.09441244428586942
2020-02,-0.14115503044078168,-0.16354856135442375,-0.06355480969742501,-0.09742624302368386,-0.013368134820161708,0.037877092196799945,-0.097873321467153,0.004067087180684804,-0.10402395078455844,-0.14356912137284988,-0.013368134820161708,-0.22628989753778597,-0.20115387190517373,-0.19868356831395462,-0.19868356831395462,-0.14115503044078168,-0.16354856135442375,-0.06355480969742501,-0.09742624302368386,-0.02591384657094268,0.017128393934925212,-0.13736529655760746,-0.04614792034348792,-0.13450710413953199,-0.1638770413022381,-0.043851288175135256,-0.19564007751614576,-0.24971563833628777,-0.21346900532871635,-0.21346900532871635
2020-03,0.11503331532754513,0.1505364125901909,0.08851107168780051,0.07318826752787792,0.019622065796767764,0.0199553991301011,0.04472150305665037,0.019788732463434433,0.10236335025185135,0.07375094129316105,0.18321425039875924,0.07847874451179203,0.15618338413856267,0.17922725411467036,0.17922725411467036,0.11503331532754513,0.1505364125901909,0.08851107168780051,0.07318826752787792,0.044203933829851674,0.019872065796767764,0.09199880011337477,0.04618039735886409,0.10228001691851801,0.10210976850745788,0.1613168837493725,0.10054277782784542,0.17882500257862932,0.1540154601658209,0.1540154601658209
2020-04,0.048296668566647855,0.06417611491671282,0.026107662652596453,0.03128588979714583,-8.383924876187443e-05,-8.383924876187443e-05,0.027596837406420528,-8.383924876187443e-05,0.06001459239862883,0.02795794851753164,0.0596812590652955,0.03930317751164436,0.05504834328263263,0.05644715095400392,0.05644715095400392,0.048296668566647855,0.06417611491671282,0.026107662652596453,0.03128588979714583,-0.00025050591542854106,-8.383924876187443e-05,0.0339265560927338,-0.00025050591542854106,0.06001459239862883,0.030864236851918074,0.05559187733367359,0.03921984417831103,0.05448379117206209,0.06268365438570475,0.06268365438570475
2020-05,0.02346257179118682,0.024083473430391633,0.016673288129251906,0.018083658225198102,0.03235396715072562,0.010356836036736093,0.03268730048405895,0.03235396715072562,0.051521847769145625,0.03268730048405895,0.026605924098443597,0.05440926699120977,0.021640019427859015,0.00807045700561903,0.00807045700561903,0.02346257179118682,0.024083473430391633,0.016673288129251906,0.018083658225198102,0.02685468437222824,0.010356836036736093,0.032455157626916094,0.02685468437222824,0.051521847769145625,0.03264563381739228,0.03365176242671051,0.05203808843216218,0.020544176908616336,0.01699432815860469,0.01699432815860469
2020-06,0.04303084042920241,0.06056811400305273,0.05260073780030412,0.038410038988805795,0.07687263756910608,0.052456612736254384,0.07687263756910608,0.07687263756910608,0.09018177257239271,0.07687263756910608,0.07105472182307315,0.020470567653295243,0.038044362426904364,0.030981077894994668,0.030981077894994668,0.04303084042920241,0.06056811400305273,0.05260073780030412,0.038410038988805795,0.07678930423577274,0.052456612736254384,0.07687263756910608,0.07678930423577274,0.09018177257239271,0.07687263756910608,0.06640533456107,0.03852316365186084,0.0400170461442274,0.03179840826959589,0.03179840826959589
2020-07,0.027322952050014285,0.06667261848035477,0.02275643448874076,0.013344239888068092,0.02596279473607917,-0.013685885529517734,0.02596279473607917,0.0515862336769786,0.05191956701031193,0.0515862336769786,0.03766488693534208,0.04751373186886272,0.00947446295291615,0.009840659190038107,0.009840659190038107,0.027322952050014285,0.06667261848035477,0.02275643448874076,0.013344239888068092,0.02596279473607917,-0.013685885529517734,0.02596279473607917,0.04518037394175375,0.05191956701031193,0.04518037394175375,0.0361831339705811,0.04734706520219605,0.009350187351616326,0.009852000716157227,0.009852000716157227
2020-08,-0.03511888459158772,-0.031890147199609364,-0.016863197345473722,-0.017369734860858948,-0.04345317519531218,-0.008497471572589583,-0.04345317519531218,-0.037070183723629184,-0.06712572109424746,-0.03649340490051152,-0.06073517668011193,-0.07652159711195283,-0.06375693869372372,-0.06375693869372372,-0.06375693869372372,-0.03511888459158772,-0.031890147199609364,-0.016863197345473722,-0.017369734860858948,-0.040239227309033926,-0.009446662220575323,-0.040239227309033926,-0.03586054099170904,-0.05180956299737949,-0.03657673823384485,-0.05013063204810875,-0.07652159711195283,-0.06575840208166801,-0.06507680771663288,-0.06507680771663288
2020-09,-0.00961911695383143,-0.02218003991846751,-0.022266255318627692,-0.010199639612913489,-0.021501494737344973,-0.020853405186146645,-0.010731813594064275,-0.01378144419123247,-0.013200230762304106,-0.008404958608368207,0.0007050233240643947,-0.018866143291996346,-0.016592826357657204,-0.0069283740811549865,-0.0069283740811549865,-0.00961911695383143,-0.02218003991846751,-0.022266255318627692,-0.010199639612913489,-0.021584828070678307,-0.019803212581390506,-0.015096870668056568,-0.012911778840322465,-0.012737459092409434,-0.008404958608368207,-0.007942616478509346,-0.013805346873773175,-0.015311233638973883,-0.008811454397371446,-0.008811454397371446
2020-10,0.10737736422155342,0.10711699149920717,0.06429956002735829,0.0625195423038057,0.022177784932512358,0.04894135387788593,0.1312273045026101,0.1312273045026101,0.08424540279461253,0.1312273045026101,0.13799860623894072,0.1978026877757985,0.18781556781194483,0.1978026877757985,0.1978026877757985,0.10737736422155342,0.10711699149920717,0.06429956002735829,0.0625195423038057,0.031181416489147545,0.0488580205445526,0.11691129946015136,0.12111071279137516,0.08484699272596283,0.1121762685077843,0.13402349040156258,0.1980526877757985,0.14539776174508348,0.14513070603682268,0.14513070603682268
