date,Buy and hold SPY,Rule[SPY realized volatility 20d],Rule[VIX close],TabICL[Direct all-history] Calibration Base,TabPFN[Direct all-history] Calibration Base,XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost[Raw all-history incumbent] Calibrated,XGBoost[Raw all-history incumbent] Calibration Base,XGBoost[Raw] Calibrated,XGBoost[Raw] Calibration Base
2020-01-02,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154,-0.0075722377460211154
2020-01-07,0.00532958815953366,0.00532958815953366,0.00532958815953366,0.00532958815953366,0.00532958815953366,0.00532958815953366,0.00532958815953366,0.00532958815953366,0.00532958815953366,0.00261479407976683,0.00261479407976683,0.00532958815953366,0.00532958815953366
2020-01-10,0.0068771636275277714,0.0068771636275277714,0.0068771636275277714,0.0068771636275277714,0.0068771636275277714,0.0068771636275277714,0.0068771636275277714,0.0068771636275277714,0.0068771636275277714,0.0034385818137638857,0.0034385818137638857,0.0068771636275277714,0.0068771636275277714
2020-01-15,0.008318297833544985,0.008318297833544985,0.008318297833544985,0.008318297833544985,0.008318297833544985,0.008318297833544985,0.008318297833544985,0.008318297833544985,0.008318297833544985,0.004159148916772493,0.004159148916772493,0.008318297833544985,0.008318297833544985
2020-01-21,0.00012075417534274102,0.00012075417534274102,0.00012075417534274102,0.00012075417534274102,0.00012075417534274102,0.00012075417534274102,0.00012075417534274102,0.00012075417534274102,0.00012075417534274102,6.037708767137051e-05,6.037708767137051e-05,0.00012075417534274102,0.00012075417534274102
2020-01-24,-0.01602950467333386,-0.01602950467333386,-0.01602950467333386,-0.01602950467333386,-0.01602950467333386,-0.01602950467333386,-0.01602950467333386,-0.01602950467333386,-0.01602950467333386,-0.00801475233666693,-0.00801475233666693,-0.01602950467333386,-0.01602950467333386
2020-01-29,0.003245222955333693,0.003245222955333693,0.003245222955333693,0.0015726114776668466,0.003245222955333693,0.003245222955333693,0.003245222955333693,0.003245222955333693,0.003245222955333693,0.0016226114776668465,0.0016226114776668465,0.003245222955333693,0.003245222955333693
2020-02-04,0.011548215970869524,0.011548215970869524,0.011548215970869524,0.011498215970869525,0.011548215970869524,0.011548215970869524,0.011548215970869524,0.011548215970869524,0.011548215970869524,0.011498215970869525,0.011498215970869525,0.011548215970869524,0.011548215970869524
2020-02-07,0.007465169645309189,0.007465169645309189,0.007465169645309189,0.007465169645309189,0.007465169645309189,0.007465169645309189,0.007465169645309189,0.007465169645309189,0.007465169645309189,0.007465169645309189,0.007465169645309189,0.007465169645309189,0.007465169645309189
2020-02-12,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648,-0.0010668780101200648
